Date,Guggenheim CurrencyShares Euro_etf_Open_average,Guggenheim CurrencyShares Euro_etf_Open_max,Guggenheim CurrencyShares Euro_etf_Open_min,Guggenheim CurrencyShares Euro_etf_Open_volatility,Guggenheim CurrencyShares Euro_etf_Open_change,Guggenheim CurrencyShares Euro_etf_High_average,Guggenheim CurrencyShares Euro_etf_High_max,Guggenheim CurrencyShares Euro_etf_High_min,Guggenheim CurrencyShares Euro_etf_High_volatility,Guggenheim CurrencyShares Euro_etf_High_change,Guggenheim CurrencyShares Euro_etf_Low_average,Guggenheim CurrencyShares Euro_etf_Low_max,Guggenheim CurrencyShares Euro_etf_Low_min,Guggenheim CurrencyShares Euro_etf_Low_volatility,Guggenheim CurrencyShares Euro_etf_Low_change,Guggenheim CurrencyShares Euro_etf_Close_average,Guggenheim CurrencyShares Euro_etf_Close_max,Guggenheim CurrencyShares Euro_etf_Close_min,Guggenheim CurrencyShares Euro_etf_Close_volatility,Guggenheim CurrencyShares Euro_etf_Close_change
2018-01-14,117.92,117.92,117.92,0.0,0.0,118.04,118.04,118.04,0.0,0.0,117.69,117.69,117.69,0.0,0.0,117.71,117.71,117.71,0.0,0.0
2018-01-21,119.6,119.6,119.6,0.0,0.0,119.87,119.87,119.87,0.0,0.0,119.47,119.47,119.47,0.0,0.0,119.59,119.59,119.59,0.0,0.0
2018-01-28,119.96,119.96,119.96,0.0,0.0,120.26,120.26,120.26,0.0,0.0,119.48,119.48,119.48,0.0,0.0,120.0,120.0,120.0,0.0,0.0
2018-02-04,117.89,117.89,117.89,0.0,0.0,118.01,118.01,118.01,0.0,0.0,117.51,117.51,117.51,0.0,0.0,117.79,117.79,117.79,0.0,0.0
2018-02-11,119.69,119.69,119.69,0.0,0.0,119.9,119.9,119.9,0.0,0.0,119.27,119.27,119.27,0.0,0.0,119.4,119.4,119.4,0.0,0.0
2018-02-18,118.35,118.35,118.35,0.0,0.0,118.5,118.5,118.5,0.0,0.0,118.25,118.25,118.25,0.0,0.0,118.33,118.33,118.33,0.0,0.0
2018-02-25,118.6,118.6,118.6,0.0,0.0,118.67,118.67,118.67,0.0,0.0,118.33,118.33,118.33,0.0,0.0,118.61,118.61,118.61,0.0,0.0
2018-03-04,118.3,118.3,118.3,0.0,0.0,118.63,118.63,118.63,0.0,0.0,118.28,118.28,118.28,0.0,0.0,118.39,118.39,118.39,0.0,0.0
2018-03-11,118.26,118.26,118.26,0.0,0.0,118.27,118.27,118.27,0.0,0.0,117.91,117.91,117.91,0.0,0.0,118.17,118.17,118.17,0.0,0.0
2018-03-18,118.63,118.63,118.63,0.0,0.0,118.98,118.98,118.98,0.0,0.0,118.51,118.51,118.51,0.0,0.0,118.91,118.91,118.91,0.0,0.0
2018-03-25,118.5,118.5,118.5,0.0,0.0,118.61,118.61,118.61,0.0,0.0,118.13,118.13,118.13,0.0,0.0,118.33,118.33,118.33,0.0,0.0
2018-04-01,118.02,118.02,118.02,0.0,0.0,118.17,118.17,118.17,0.0,0.0,117.87,117.87,117.87,0.0,0.0,118.1,118.1,118.1,0.0,0.0
2018-04-08,118.45,118.45,118.45,0.0,0.0,118.65,118.65,118.65,0.0,0.0,118.43,118.43,118.43,0.0,0.0,118.59,118.59,118.59,0.0,0.0
2018-04-15,118.05,118.05,118.05,0.0,0.0,118.21,118.21,118.21,0.0,0.0,117.73,117.73,117.73,0.0,0.0,118.05,118.05,118.05,0.0,0.0
2018-04-22,116.13,116.13,116.13,0.0,0.0,116.59,116.59,116.59,0.0,0.0,116.02,116.02,116.02,0.0,0.0,116.56,116.56,116.56,0.0,0.0
2018-04-29,114.52,114.52,114.52,0.0,0.0,114.96,114.96,114.96,0.0,0.0,114.47,114.47,114.47,0.0,0.0,114.89,114.89,114.89,0.0,0.0
2018-05-06,114.86,114.86,114.86,0.0,0.0,114.95,114.95,114.95,0.0,0.0,114.64,114.64,114.64,0.0,0.0,114.73,114.73,114.73,0.0,0.0
2018-05-13,112.94,112.94,112.94,0.0,0.0,113.21,113.21,113.21,0.0,0.0,112.85,112.85,112.85,0.0,0.0,113.03,113.03,113.03,0.0,0.0
2018-05-20,111.91,111.91,111.91,0.0,0.0,112.13,112.13,112.13,0.0,0.0,111.85,111.85,111.85,0.0,0.0,111.99,111.99,111.99,0.0,0.0
2018-05-27,112.17,112.17,112.17,0.0,0.0,112.17,112.17,112.17,0.0,0.0,111.55,111.55,111.55,0.0,0.0,111.89,111.89,111.89,0.0,0.0
2018-06-03,112.98,112.98,112.98,0.0,0.0,113.06,113.06,113.06,0.0,0.0,112.83,112.83,112.83,0.0,0.0,112.96,112.96,112.96,0.0,0.0
2018-06-10,111.54,111.54,111.54,0.0,0.0,111.59,111.59,111.59,0.0,0.0,111.31,111.31,111.31,0.0,0.0,111.47,111.47,111.47,0.0,0.0
2018-06-17,111.93,111.93,111.93,0.0,0.0,111.96,111.96,111.96,0.0,0.0,111.52,111.52,111.52,0.0,0.0,111.9,111.9,111.9,0.0,0.0
2018-06-24,111.71,111.71,111.71,0.0,0.0,112.1,112.1,112.1,0.0,0.0,111.58,111.58,111.58,0.0,0.0,112.06,112.06,112.06,0.0,0.0
2018-07-01,112.82,112.82,112.82,0.0,0.0,112.91,112.91,112.91,0.0,0.0,112.59,112.59,112.59,0.0,0.0,112.68,112.68,112.68,0.0,0.0
2018-07-08,111.67,111.67,111.67,0.0,0.0,112.07,112.07,112.07,0.0,0.0,111.66,111.66,111.66,0.0,0.0,112.05,112.05,112.05,0.0,0.0
2018-07-15,112.35,112.35,112.35,0.0,0.0,112.57,112.57,112.57,0.0,0.0,112.22,112.22,112.22,0.0,0.0,112.47,112.47,112.47,0.0,0.0
2018-07-22,111.74,111.74,111.74,0.0,0.0,111.86,111.86,111.86,0.0,0.0,111.7,111.7,111.7,0.0,0.0,111.8,111.8,111.8,0.0,0.0
2018-07-29,110.94,110.94,110.94,0.0,0.0,111.25,111.25,111.25,0.0,0.0,110.84,110.84,110.84,0.0,0.0,110.95,110.95,110.95,0.0,0.0
2018-08-05,109.45,109.45,109.45,0.0,0.0,109.74,109.74,109.74,0.0,0.0,109.18,109.18,109.18,0.0,0.0,109.3,109.3,109.3,0.0,0.0
2018-08-12,109.33,109.33,109.33,0.0,0.0,109.7,109.7,109.7,0.0,0.0,109.28,109.28,109.28,0.0,0.0,109.68,109.68,109.68,0.0,0.0
2018-08-19,111.15,111.15,111.15,0.0,0.0,111.54,111.54,111.54,0.0,0.0,111.04,111.04,111.04,0.0,0.0,111.42,111.42,111.42,0.0,0.0
2018-08-26,111.42,111.42,111.42,0.0,0.0,111.63,111.63,111.63,0.0,0.0,111.02,111.02,111.02,0.0,0.0,111.21,111.21,111.21,0.0,0.0
2018-09-02,110.83,110.83,110.83,0.0,0.0,111.06,111.06,111.06,0.0,0.0,110.67,110.67,110.67,0.0,0.0,110.73,110.73,110.73,0.0,0.0
2018-09-09,111.8,111.8,111.8,0.0,0.0,111.8,111.8,111.8,0.0,0.0,111.32,111.32,111.32,0.0,0.0,111.37,111.37,111.37,0.0,0.0
2018-09-16,112.45,112.45,112.45,0.0,0.0,112.71,112.71,112.71,0.0,0.0,112.38,112.38,112.38,0.0,0.0,112.54,112.54,112.54,0.0,0.0
2018-09-23,110.84,110.84,110.84,0.0,0.0,111.36,111.36,111.36,0.0,0.0,110.84,110.84,110.84,0.0,0.0,111.16,111.16,111.16,0.0,0.0
2018-09-30,110.4,110.4,110.4,0.0,0.0,110.58,110.58,110.58,0.0,0.0,110.13,110.13,110.13,0.0,0.0,110.34,110.34,110.34,0.0,0.0
2018-10-07,110.59,110.59,110.59,0.0,0.0,110.74,110.74,110.74,0.0,0.0,110.43,110.43,110.43,0.0,0.0,110.66,110.66,110.66,0.0,0.0
2018-10-14,109.75,109.75,109.75,0.0,0.0,110.41,110.41,110.41,0.0,0.0,109.74,109.74,109.74,0.0,0.0,110.15,110.15,110.15,0.0,0.0
2018-10-21,108.64,108.64,108.64,0.0,0.0,109.26,109.26,109.26,0.0,0.0,108.64,108.64,108.64,0.0,0.0,109.17,109.17,109.17,0.0,0.0
2018-10-28,109.17,109.17,109.17,0.0,0.0,109.38,109.38,109.38,0.0,0.0,108.83,108.83,108.83,0.0,0.0,109.03,109.03,109.03,0.0,0.0
2018-11-04,108.61,108.61,108.61,0.0,0.0,108.68,108.68,108.68,0.0,0.0,108.28,108.28,108.28,0.0,0.0,108.47,108.47,108.47,0.0,0.0
2018-11-11,109.15,109.15,109.15,0.0,0.0,109.24,109.24,109.24,0.0,0.0,108.97,108.97,108.97,0.0,0.0,109.2,109.2,109.2,0.0,0.0
2018-11-18,108.58,108.58,108.58,0.0,0.0,108.65,108.65,108.65,0.0,0.0,108.39,108.39,108.39,0.0,0.0,108.42,108.42,108.42,0.0,0.0
2018-11-25,108.59,108.59,108.59,0.0,0.0,108.6,108.6,108.6,0.0,0.0,108.11,108.11,108.11,0.0,0.0,108.27,108.27,108.27,0.0,0.0
2018-12-02,108.86,108.86,108.86,0.0,0.0,109.22,109.22,109.22,0.0,0.0,108.8,108.8,108.8,0.0,0.0,109.11,109.11,109.11,0.0,0.0
2018-12-09,107.76,107.76,107.76,0.0,0.0,108.11,108.11,108.11,0.0,0.0,107.76,107.76,107.76,0.0,0.0,108.02,108.02,108.02,0.0,0.0
2018-12-16,109.16,109.16,109.16,0.0,0.0,109.17,109.17,109.17,0.0,0.0,108.55,108.55,108.55,0.0,0.0,108.58,108.58,108.58,0.0,0.0
2018-12-23,109.49,109.49,109.49,0.0,0.0,109.6,109.6,109.6,0.0,0.0,109.26,109.26,109.26,0.0,0.0,109.37,109.37,109.37,0.0,0.0
2018-12-30,108.41,108.41,108.41,0.0,0.0,109.09,109.09,109.09,0.0,0.0,108.41,108.41,108.41,0.0,0.0,108.93,108.93,108.93,0.0,0.0
2019-01-06,109.68,109.68,109.68,0.0,0.0,109.76,109.76,109.76,0.0,0.0,109.47,109.47,109.47,0.0,0.0,109.52,109.52,109.52,0.0,0.0
2019-01-13,108.91,108.91,108.91,0.0,0.0,108.91,108.91,108.91,0.0,0.0,108.46,108.46,108.46,0.0,0.0,108.58,108.58,108.58,0.0,0.0
2019-01-20,108.52,108.52,108.52,0.0,0.0,109.05,109.05,109.05,0.0,0.0,108.52,108.52,108.52,0.0,0.0,109.02,109.02,109.02,0.0,0.0
2019-01-27,109.47,109.47,109.47,0.0,0.0,109.7,109.7,109.7,0.0,0.0,109.32,109.32,109.32,0.0,0.0,109.42,109.42,109.42,0.0,0.0
2019-02-03,108.42,108.42,108.42,0.0,0.0,108.42,108.42,108.42,0.0,0.0,108.09,108.09,108.09,0.0,0.0,108.09,108.09,108.09,0.0,0.0
2019-02-10,107.79,107.79,107.79,0.0,0.0,107.95,107.95,107.95,0.0,0.0,107.49,107.49,107.49,0.0,0.0,107.88,107.88,107.88,0.0,0.0
2019-02-17,108.23,108.23,108.23,0.0,0.0,108.38,108.38,108.38,0.0,0.0,108.13,108.13,108.13,0.0,0.0,108.18,108.18,108.18,0.0,0.0
2019-02-24,108.62,108.62,108.62,0.0,0.0,108.87,108.87,108.87,0.0,0.0,108.36,108.36,108.36,0.0,0.0,108.46,108.46,108.46,0.0,0.0
2019-03-03,107.14,107.14,107.14,0.0,0.0,107.32,107.32,107.32,0.0,0.0,107.11,107.11,107.11,0.0,0.0,107.17,107.17,107.17,0.0,0.0
2019-03-10,107.88,107.88,107.88,0.0,0.0,108.23,108.23,108.23,0.0,0.0,107.88,107.88,107.88,0.0,0.0,108.04,108.04,108.04,0.0,0.0
2019-03-17,107.81,107.81,107.81,0.0,0.0,107.94,107.94,107.94,0.0,0.0,107.54,107.54,107.54,0.0,0.0,107.77,107.77,107.77,0.0,0.0
2019-03-24,107.15,107.15,107.15,0.0,0.0,107.22,107.22,107.22,0.0,0.0,106.97,106.97,106.97,0.0,0.0,107.02,107.02,107.02,0.0,0.0
2019-03-31,107.04,107.04,107.04,0.0,0.0,107.14,107.14,107.14,0.0,0.0,106.92,106.92,106.92,0.0,0.0,107.0,107.0,107.0,0.0,0.0
