Date,Fidelity Value_Open_average,Fidelity Value_Open_max,Fidelity Value_Open_min,Fidelity Value_Open_volatility,Fidelity Value_Open_change,Fidelity Value_High_average,Fidelity Value_High_max,Fidelity Value_High_min,Fidelity Value_High_volatility,Fidelity Value_High_change,Fidelity Value_Low_average,Fidelity Value_Low_max,Fidelity Value_Low_min,Fidelity Value_Low_volatility,Fidelity Value_Low_change,Fidelity Value_Close_average,Fidelity Value_Close_max,Fidelity Value_Close_min,Fidelity Value_Close_volatility,Fidelity Value_Close_change
2018-01-14,34.55,34.55,34.55,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2018-01-21,35.18,35.18,35.18,0.0,0.0,35.18,35.18,35.18,0.0,0.0,34.9,34.9,34.9,0.0,0.0,34.94,34.94,34.94,0.0,0.0
2018-01-28,33.27,33.27,33.27,0.0,0.0,33.58,33.58,33.58,0.0,0.0,32.11,32.11,32.11,0.0,0.0,32.18,32.18,32.18,0.0,0.0
2018-02-04,32.28,32.28,32.28,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2018-02-11,33.29,33.29,33.29,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.35,33.35,33.35,0.0,0.0
2018-02-18,33.67,33.67,33.67,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.8,33.8,33.8,0.0,0.0
2018-02-25,32.44,32.44,32.44,0.0,0.0,33.15,33.15,33.15,0.0,0.0,32.44,32.44,32.44,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2018-03-04,33.86,33.86,33.86,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.7,33.7,33.7,0.0,0.0
2018-03-11,33.19,33.19,33.19,0.0,0.0,33.19,33.19,33.19,0.0,0.0,32.63,32.63,32.63,0.0,0.0,32.81,32.81,32.81,0.0,0.0
2018-03-18,31.7,31.7,31.7,0.0,0.0,32.06,32.06,32.06,0.0,0.0,31.5,31.5,31.5,0.0,0.0,32.05,32.05,32.05,0.0,0.0
2018-03-25,32.01,32.01,32.01,0.0,0.0,32.01,32.01,32.01,0.0,0.0,30.98,30.98,30.98,0.0,0.0,31.3,31.3,31.3,0.0,0.0
2018-04-01,31.95,31.95,31.95,0.0,0.0,32.17,32.17,32.17,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.84,31.84,31.84,0.0,0.0
2018-04-08,32.49,32.49,32.49,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2018-04-15,32.39,32.39,32.39,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.34,32.34,32.34,0.0,0.0
2018-04-22,32.38,32.38,32.38,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.09,32.09,32.09,0.0,0.0
2018-04-29,32.21,32.21,32.21,0.0,0.0,32.22,32.22,32.22,0.0,0.0,32.06,32.06,32.06,0.0,0.0,32.09,32.09,32.09,0.0,0.0
2018-05-06,32.9,32.9,32.9,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.84,32.84,32.84,0.0,0.0
2018-05-13,33.04,33.04,33.04,0.0,0.0,33.1,33.1,33.1,0.0,0.0,32.96,32.96,32.96,0.0,0.0,33.03,33.03,33.03,0.0,0.0
2018-05-20,32.92,32.92,32.92,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2018-05-27,33.21,33.21,33.21,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.16,33.16,33.16,0.0,0.0,33.29,33.29,33.29,0.0,0.0
2018-06-03,33.76,33.76,33.76,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.79,33.79,33.79,0.0,0.0
