Date,Deutsche X-trackers High Yield Corporate_etf_Open_average,Deutsche X-trackers High Yield Corporate_etf_Open_max,Deutsche X-trackers High Yield Corporate_etf_Open_min,Deutsche X-trackers High Yield Corporate_etf_Open_volatility,Deutsche X-trackers High Yield Corporate_etf_Open_change,Deutsche X-trackers High Yield Corporate_etf_High_average,Deutsche X-trackers High Yield Corporate_etf_High_max,Deutsche X-trackers High Yield Corporate_etf_High_min,Deutsche X-trackers High Yield Corporate_etf_High_volatility,Deutsche X-trackers High Yield Corporate_etf_High_change,Deutsche X-trackers High Yield Corporate_etf_Low_average,Deutsche X-trackers High Yield Corporate_etf_Low_max,Deutsche X-trackers High Yield Corporate_etf_Low_min,Deutsche X-trackers High Yield Corporate_etf_Low_volatility,Deutsche X-trackers High Yield Corporate_etf_Low_change,Deutsche X-trackers High Yield Corporate_etf_Close_average,Deutsche X-trackers High Yield Corporate_etf_Close_max,Deutsche X-trackers High Yield Corporate_etf_Close_min,Deutsche X-trackers High Yield Corporate_etf_Close_volatility,Deutsche X-trackers High Yield Corporate_etf_Close_change
2018-01-14,50.56,50.56,50.56,0.0,0.0,50.64,50.64,50.64,0.0,0.0,50.52,50.52,50.52,0.0,0.0,50.64,50.64,50.64,0.0,0.0
2018-01-21,50.8,50.8,50.8,0.0,0.0,50.8,50.8,50.8,0.0,0.0,50.73,50.73,50.73,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2018-01-28,50.1,50.1,50.1,0.0,0.0,50.1,50.1,50.1,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.94,49.94,49.94,0.0,0.0
2018-02-04,49.32,49.32,49.32,0.0,0.0,49.39,49.39,49.39,0.0,0.0,48.68,48.68,48.68,0.0,0.0,49.23,49.23,49.23,0.0,0.0
2018-02-11,49.74,49.74,49.74,0.0,0.0,50.01,50.01,50.01,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.95,49.95,49.95,0.0,0.0
2018-02-18,49.68,49.68,49.68,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.92,49.92,49.92,0.0,0.0
2018-02-25,49.45,49.45,49.45,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2018-03-04,49.66,49.66,49.66,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.82,49.82,49.82,0.0,0.0
2018-03-11,49.57,49.57,49.57,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2018-03-18,49.36,49.36,49.36,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.15,49.15,49.15,0.0,0.0
2018-03-25,49.48,49.48,49.48,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.39,49.39,49.39,0.0,0.0,49.52,49.52,49.52,0.0,0.0
2018-04-01,49.34,49.34,49.34,0.0,0.0,49.46,49.46,49.46,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.35,49.35,49.35,0.0,0.0
2018-04-08,49.89,49.89,49.89,0.0,0.0,49.92,49.92,49.92,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2018-04-15,49.77,49.77,49.77,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.65,49.65,49.65,0.0,0.0
2018-04-22,49.54,49.54,49.54,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.47,49.47,49.47,0.0,0.0,49.56,49.56,49.56,0.0,0.0
2018-04-29,49.18,49.18,49.18,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.18,49.18,49.18,0.0,0.0,49.31,49.31,49.31,0.0,0.0
2018-05-06,49.47,49.47,49.47,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.42,49.42,49.42,0.0,0.0,49.47,49.47,49.47,0.0,0.0
2018-05-13,49.29,49.29,49.29,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.29,49.29,49.29,0.0,0.0
2018-05-20,49.37,49.37,49.37,0.0,0.0,49.41,49.41,49.41,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.4,49.4,49.4,0.0,0.0
2018-05-27,49.13,49.13,49.13,0.0,0.0,49.18,49.18,49.18,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.12,49.12,49.12,0.0,0.0
2018-06-03,49.36,49.36,49.36,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.43,49.43,49.43,0.0,0.0
2018-06-10,49.65,49.65,49.65,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.68,49.68,49.68,0.0,0.0
2018-06-17,49.66,49.66,49.66,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2018-06-24,49.25,49.25,49.25,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.11,49.11,49.11,0.0,0.0
2018-07-01,49.1,49.1,49.1,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.21,49.21,49.21,0.0,0.0
2018-07-08,49.36,49.36,49.36,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2018-07-15,49.38,49.38,49.38,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.37,49.37,49.37,0.0,0.0,49.37,49.37,49.37,0.0,0.0
2018-07-22,49.61,49.61,49.61,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.58,49.58,49.58,0.0,0.0
2018-07-29,49.53,49.53,49.53,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.58,49.58,49.58,0.0,0.0
2018-08-05,49.55,49.55,49.55,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2018-08-12,49.51,49.51,49.51,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.61,49.61,49.61,0.0,0.0
2018-08-19,49.77,49.77,49.77,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2018-08-26,49.78,49.78,49.78,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2018-09-02,49.41,49.41,49.41,0.0,0.0,49.46,49.46,49.46,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.43,49.43,49.43,0.0,0.0
2018-09-09,49.78,49.78,49.78,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2018-09-16,49.72,49.72,49.72,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.75,49.75,49.75,0.0,0.0
