Date,ProShares Ultra Bloomberg Natural Gas_Open_average,ProShares Ultra Bloomberg Natural Gas_Open_max,ProShares Ultra Bloomberg Natural Gas_Open_min,ProShares Ultra Bloomberg Natural Gas_Open_volatility,ProShares Ultra Bloomberg Natural Gas_Open_change,ProShares Ultra Bloomberg Natural Gas_High_average,ProShares Ultra Bloomberg Natural Gas_High_max,ProShares Ultra Bloomberg Natural Gas_High_min,ProShares Ultra Bloomberg Natural Gas_High_volatility,ProShares Ultra Bloomberg Natural Gas_High_change,ProShares Ultra Bloomberg Natural Gas_Low_average,ProShares Ultra Bloomberg Natural Gas_Low_max,ProShares Ultra Bloomberg Natural Gas_Low_min,ProShares Ultra Bloomberg Natural Gas_Low_volatility,ProShares Ultra Bloomberg Natural Gas_Low_change,ProShares Ultra Bloomberg Natural Gas_Close_average,ProShares Ultra Bloomberg Natural Gas_Close_max,ProShares Ultra Bloomberg Natural Gas_Close_min,ProShares Ultra Bloomberg Natural Gas_Close_volatility,ProShares Ultra Bloomberg Natural Gas_Close_change
2018-01-14,32.75,32.75,32.75,0.0,0.0,33.3,33.3,33.3,0.0,0.0,32.55,32.55,32.55,0.0,0.0,33.2,33.2,33.2,0.0,0.0
2018-01-21,36.5,36.5,36.5,0.0,0.0,38.85,38.85,38.85,0.0,0.0,36.4,36.4,36.4,0.0,0.0,38.7,38.7,38.7,0.0,0.0
2018-01-28,29.8,29.8,29.8,0.0,0.0,29.9,29.9,29.9,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.85,28.85,28.85,0.0,0.0
2018-02-04,25.25,25.25,25.25,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.45,25.45,25.45,0.0,0.0
2018-02-11,25.8,25.8,25.8,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.65,25.65,25.65,0.0,0.0
2018-02-18,27.35,27.35,27.35,0.0,0.0,27.4,27.4,27.4,0.0,0.0,26.4,26.4,26.4,0.0,0.0,27.05,27.05,27.05,0.0,0.0
2018-02-25,27.6,27.6,27.6,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.7,27.7,27.7,0.0,0.0
2018-03-04,28.9,28.9,28.9,0.0,0.0,29.4,29.4,29.4,0.0,0.0,28.75,28.75,28.75,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2018-03-11,26.45,26.45,26.45,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2018-03-18,25.88,25.88,25.88,0.0,0.0,26.33,26.33,26.33,0.0,0.0,25.79,25.79,25.79,0.0,0.0,26.29,26.29,26.29,0.0,0.0
