Date,Powershares S&P 500 Low Volatility Portfolio_etf_Open_average,Powershares S&P 500 Low Volatility Portfolio_etf_Open_max,Powershares S&P 500 Low Volatility Portfolio_etf_Open_min,Powershares S&P 500 Low Volatility Portfolio_etf_Open_volatility,Powershares S&P 500 Low Volatility Portfolio_etf_Open_change,Powershares S&P 500 Low Volatility Portfolio_etf_High_average,Powershares S&P 500 Low Volatility Portfolio_etf_High_max,Powershares S&P 500 Low Volatility Portfolio_etf_High_min,Powershares S&P 500 Low Volatility Portfolio_etf_High_volatility,Powershares S&P 500 Low Volatility Portfolio_etf_High_change,Powershares S&P 500 Low Volatility Portfolio_etf_Low_average,Powershares S&P 500 Low Volatility Portfolio_etf_Low_max,Powershares S&P 500 Low Volatility Portfolio_etf_Low_min,Powershares S&P 500 Low Volatility Portfolio_etf_Low_volatility,Powershares S&P 500 Low Volatility Portfolio_etf_Low_change,Powershares S&P 500 Low Volatility Portfolio_etf_Close_average,Powershares S&P 500 Low Volatility Portfolio_etf_Close_max,Powershares S&P 500 Low Volatility Portfolio_etf_Close_min,Powershares S&P 500 Low Volatility Portfolio_etf_Close_volatility,Powershares S&P 500 Low Volatility Portfolio_etf_Close_change
2018-01-14,48.18,48.18,48.18,0.0,0.0,48.31,48.31,48.31,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.23,48.23,48.23,0.0,0.0
2018-01-21,48.92,48.92,48.92,0.0,0.0,49.26,49.26,49.26,0.0,0.0,48.9,48.9,48.9,0.0,0.0,49.25,49.25,49.25,0.0,0.0
2018-01-28,48.31,48.31,48.31,0.0,0.0,48.42,48.42,48.42,0.0,0.0,47.85,47.85,47.85,0.0,0.0,47.87,47.87,47.87,0.0,0.0
2018-02-04,45.2,45.2,45.2,0.0,0.0,45.98,45.98,45.98,0.0,0.0,44.46,44.46,44.46,0.0,0.0,45.66,45.66,45.66,0.0,0.0
2018-02-11,47.13,47.13,47.13,0.0,0.0,47.62,47.62,47.62,0.0,0.0,47.09,47.09,47.09,0.0,0.0,47.38,47.38,47.38,0.0,0.0
2018-02-18,46.74,46.74,46.74,0.0,0.0,47.35,47.35,47.35,0.0,0.0,46.67,46.67,46.67,0.0,0.0,47.35,47.35,47.35,0.0,0.0
2018-02-25,45.93,45.93,45.93,0.0,0.0,46.31,46.31,46.31,0.0,0.0,45.8,45.8,45.8,0.0,0.0,46.23,46.23,46.23,0.0,0.0
2018-03-04,47.28,47.28,47.28,0.0,0.0,47.81,47.81,47.81,0.0,0.0,47.22,47.22,47.22,0.0,0.0,47.81,47.81,47.81,0.0,0.0
2018-03-11,47.53,47.53,47.53,0.0,0.0,47.87,47.87,47.87,0.0,0.0,47.53,47.53,47.53,0.0,0.0,47.76,47.76,47.76,0.0,0.0
2018-03-18,46.45,46.45,46.45,0.0,0.0,46.66,46.66,46.66,0.0,0.0,45.58,45.58,45.58,0.0,0.0,45.63,45.63,45.63,0.0,0.0
2018-03-25,46.69,46.69,46.69,0.0,0.0,47.18,47.18,47.18,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.97,46.97,46.97,0.0,0.0
2018-04-01,47.03,47.03,47.03,0.0,0.0,47.27,47.27,47.27,0.0,0.0,46.28,46.28,46.28,0.0,0.0,46.52,46.52,46.52,0.0,0.0
2018-04-08,46.88,46.88,46.88,0.0,0.0,46.91,46.91,46.91,0.0,0.0,46.6,46.6,46.6,0.0,0.0,46.76,46.76,46.76,0.0,0.0
2018-04-15,47.32,47.32,47.32,0.0,0.0,47.35,47.35,47.35,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.98,46.98,46.98,0.0,0.0
2018-04-22,46.68,46.68,46.68,0.0,0.0,46.98,46.98,46.98,0.0,0.0,46.63,46.63,46.63,0.0,0.0,46.88,46.88,46.88,0.0,0.0
2018-04-29,46.15,46.15,46.15,0.0,0.0,46.79,46.79,46.79,0.0,0.0,46.09,46.09,46.09,0.0,0.0,46.65,46.65,46.65,0.0,0.0
2018-05-06,47.05,47.05,47.05,0.0,0.0,47.23,47.23,47.23,0.0,0.0,47.04,47.04,47.04,0.0,0.0,47.11,47.11,47.11,0.0,0.0
2018-05-13,46.43,46.43,46.43,0.0,0.0,46.5,46.5,46.5,0.0,0.0,46.34,46.34,46.34,0.0,0.0,46.45,46.45,46.45,0.0,0.0
2018-05-20,46.81,46.81,46.81,0.0,0.0,47.02,47.02,47.02,0.0,0.0,46.79,46.79,46.79,0.0,0.0,46.88,46.88,46.88,0.0,0.0
