Date,GraniteShares Gold Trust_Open_average,GraniteShares Gold Trust_Open_max,GraniteShares Gold Trust_Open_min,GraniteShares Gold Trust_Open_volatility,GraniteShares Gold Trust_Open_change,GraniteShares Gold Trust_High_average,GraniteShares Gold Trust_High_max,GraniteShares Gold Trust_High_min,GraniteShares Gold Trust_High_volatility,GraniteShares Gold Trust_High_change,GraniteShares Gold Trust_Low_average,GraniteShares Gold Trust_Low_max,GraniteShares Gold Trust_Low_min,GraniteShares Gold Trust_Low_volatility,GraniteShares Gold Trust_Low_change,GraniteShares Gold Trust_Close_average,GraniteShares Gold Trust_Close_max,GraniteShares Gold Trust_Close_min,GraniteShares Gold Trust_Close_volatility,GraniteShares Gold Trust_Close_change
2018-01-14,13.32,13.32,13.32,0.0,0.0,13.32,13.32,13.32,0.0,0.0,13.32,13.32,13.32,0.0,0.0,13.32,13.32,13.32,0.0,0.0
2018-01-21,13.52,13.52,13.52,0.0,0.0,13.53,13.53,13.53,0.0,0.0,13.49,13.49,13.49,0.0,0.0,13.49,13.49,13.49,0.0,0.0
2018-01-28,13.36,13.36,13.36,0.0,0.0,13.36,13.36,13.36,0.0,0.0,13.29,13.29,13.29,0.0,0.0,13.29,13.29,13.29,0.0,0.0
2018-02-04,13.18,13.18,13.18,0.0,0.0,13.18,13.18,13.18,0.0,0.0,13.14,13.14,13.14,0.0,0.0,13.14,13.14,13.14,0.0,0.0
2018-02-11,13.47,13.47,13.47,0.0,0.0,13.47,13.47,13.47,0.0,0.0,13.47,13.47,13.47,0.0,0.0,13.47,13.47,13.47,0.0,0.0
2018-02-18,13.27,13.27,13.27,0.0,0.0,13.28,13.28,13.28,0.0,0.0,13.27,13.27,13.27,0.0,0.0,13.28,13.28,13.28,0.0,0.0
2018-02-25,13.07,13.07,13.07,0.0,0.0,13.18,13.18,13.18,0.0,0.0,13.03,13.03,13.03,0.0,0.0,13.18,13.18,13.18,0.0,0.0
2018-03-04,13.21,13.21,13.21,0.0,0.0,13.21,13.21,13.21,0.0,0.0,13.19,13.19,13.19,0.0,0.0,13.19,13.19,13.19,0.0,0.0
2018-03-11,13.12,13.12,13.12,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.1,13.1,13.1,0.0,0.0,13.1,13.1,13.1,0.0,0.0
2018-03-18,13.46,13.46,13.46,0.0,0.0,13.46,13.46,13.46,0.0,0.0,13.46,13.46,13.46,0.0,0.0,13.46,13.46,13.46,0.0,0.0
2018-03-25,13.21,13.21,13.21,0.0,0.0,13.23,13.23,13.23,0.0,0.0,13.21,13.21,13.21,0.0,0.0,13.23,13.23,13.23,0.0,0.0
2018-04-01,13.32,13.32,13.32,0.0,0.0,13.32,13.32,13.32,0.0,0.0,13.32,13.32,13.32,0.0,0.0,13.32,13.32,13.32,0.0,0.0
2018-04-08,13.38,13.38,13.38,0.0,0.0,13.38,13.38,13.38,0.0,0.0,13.35,13.35,13.35,0.0,0.0,13.36,13.36,13.36,0.0,0.0
2018-04-15,13.36,13.36,13.36,0.0,0.0,13.36,13.36,13.36,0.0,0.0,13.36,13.36,13.36,0.0,0.0,13.36,13.36,13.36,0.0,0.0
