Date,Schwab amental EM Large Company_Open_average,Schwab amental EM Large Company_Open_max,Schwab amental EM Large Company_Open_min,Schwab amental EM Large Company_Open_volatility,Schwab amental EM Large Company_Open_change,Schwab amental EM Large Company_High_average,Schwab amental EM Large Company_High_max,Schwab amental EM Large Company_High_min,Schwab amental EM Large Company_High_volatility,Schwab amental EM Large Company_High_change,Schwab amental EM Large Company_Low_average,Schwab amental EM Large Company_Low_max,Schwab amental EM Large Company_Low_min,Schwab amental EM Large Company_Low_volatility,Schwab amental EM Large Company_Low_change,Schwab amental EM Large Company_Close_average,Schwab amental EM Large Company_Close_max,Schwab amental EM Large Company_Close_min,Schwab amental EM Large Company_Close_volatility,Schwab amental EM Large Company_Close_change
2018-01-14,31.94,31.94,31.94,0.0,0.0,32.19,32.19,32.19,0.0,0.0,31.92,31.92,31.92,0.0,0.0,32.19,32.19,32.19,0.0,0.0
2018-01-21,32.78,32.78,32.78,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.7,32.7,32.7,0.0,0.0
2018-01-28,31.68,31.68,31.68,0.0,0.0,31.92,31.92,31.92,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.6,30.6,30.6,0.0,0.0
2018-02-04,30.09,30.09,30.09,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-02-11,31.57,31.57,31.57,0.0,0.0,31.99,31.99,31.99,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.71,31.71,31.71,0.0,0.0
2018-02-18,32.03,32.03,32.03,0.0,0.0,32.26,32.26,32.26,0.0,0.0,31.91,31.91,31.91,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2018-02-25,30.65,30.65,30.65,0.0,0.0,31.1,31.1,31.1,0.0,0.0,30.64,30.64,30.64,0.0,0.0,31.09,31.09,31.09,0.0,0.0
2018-03-04,31.82,31.82,31.82,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.84,31.84,31.84,0.0,0.0
2018-03-11,31.09,31.09,31.09,0.0,0.0,31.15,31.15,31.15,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2018-03-18,30.98,30.98,30.98,0.0,0.0,31.15,31.15,31.15,0.0,0.0,30.7,30.7,30.7,0.0,0.0,31.1,31.1,31.1,0.0,0.0
2018-03-25,30.94,30.94,30.94,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.61,30.61,30.61,0.0,0.0
2018-04-01,30.41,30.41,30.41,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.15,30.15,30.15,0.0,0.0
2018-04-08,30.45,30.45,30.45,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.54,30.54,30.54,0.0,0.0
2018-04-15,30.57,30.57,30.57,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2018-04-22,30.88,30.88,30.88,0.0,0.0,30.95,30.95,30.95,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.58,30.58,30.58,0.0,0.0
2018-04-29,30.02,30.02,30.02,0.0,0.0,30.17,30.17,30.17,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.94,29.94,29.94,0.0,0.0
2018-05-06,30.99,30.99,30.99,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.88,30.88,30.88,0.0,0.0
2018-05-13,30.29,30.29,30.29,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.2,30.2,30.2,0.0,0.0
2018-05-20,29.7,29.7,29.7,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.71,29.71,29.71,0.0,0.0
2018-05-27,29.75,29.75,29.75,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.76,29.76,29.76,0.0,0.0
2018-06-03,29.37,29.37,29.37,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.29,29.29,29.29,0.0,0.0
2018-06-10,28.03,28.03,28.03,0.0,0.0,28.08,28.08,28.08,0.0,0.0,27.9,27.9,27.9,0.0,0.0,28.02,28.02,28.02,0.0,0.0
2018-06-17,27.58,27.58,27.58,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.59,27.59,27.59,0.0,0.0
2018-06-24,27.29,27.29,27.29,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.39,27.39,27.39,0.0,0.0
2018-07-01,28.13,28.13,28.13,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.01,28.01,28.01,0.0,0.0,28.24,28.24,28.24,0.0,0.0
2018-07-08,28.01,28.01,28.01,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.98,27.98,27.98,0.0,0.0
2018-07-15,28.22,28.22,28.22,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.15,28.15,28.15,0.0,0.0,28.22,28.22,28.22,0.0,0.0
2018-07-22,29.09,29.09,29.09,0.0,0.0,29.12,29.12,29.12,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.05,29.05,29.05,0.0,0.0
2018-07-29,28.74,28.74,28.74,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.74,28.74,28.74,0.0,0.0
2018-08-05,27.74,27.74,27.74,0.0,0.0,27.81,27.81,27.81,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.55,27.55,27.55,0.0,0.0
2018-08-12,27.53,27.53,27.53,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.64,27.64,27.64,0.0,0.0
2018-08-19,28.35,28.35,28.35,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.45,28.45,28.45,0.0,0.0
2018-08-26,28.02,28.02,28.02,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.02,28.02,28.02,0.0,0.0,28.23,28.23,28.23,0.0,0.0
2018-09-02,27.37,27.37,27.37,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.19,27.19,27.19,0.0,0.0
2018-09-09,27.5,27.5,27.5,0.0,0.0,27.63,27.63,27.63,0.0,0.0,27.49,27.49,27.49,0.0,0.0,27.52,27.52,27.52,0.0,0.0
2018-09-16,28.36,28.36,28.36,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2018-09-23,28.97,28.97,28.97,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.92,28.92,28.92,0.0,0.0
2018-09-30,27.91,27.91,27.91,0.0,0.0,28.14,28.14,28.14,0.0,0.0,27.85,27.85,27.85,0.0,0.0,28.1,28.1,28.1,0.0,0.0
2018-10-07,27.5,27.5,27.5,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.44,27.44,27.44,0.0,0.0
2018-10-14,27.58,27.58,27.58,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.4,27.4,27.4,0.0,0.0
2018-10-21,26.93,26.93,26.93,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2018-10-28,27.72,27.72,27.72,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.86,27.86,27.86,0.0,0.0
2018-11-04,27.11,27.11,27.11,0.0,0.0,27.18,27.18,27.18,0.0,0.0,26.82,26.82,26.82,0.0,0.0,26.83,26.83,26.83,0.0,0.0
2018-11-11,27.47,27.47,27.47,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.26,27.26,27.26,0.0,0.0,27.4,27.4,27.4,0.0,0.0
2018-11-18,26.95,26.95,26.95,0.0,0.0,27.02,27.02,27.02,0.0,0.0,26.79,26.79,26.79,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2018-11-25,28.19,28.19,28.19,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.01,28.01,28.01,0.0,0.0,28.13,28.13,28.13,0.0,0.0
2018-12-02,26.78,26.78,26.78,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.69,26.69,26.69,0.0,0.0
2018-12-09,26.1,26.1,26.1,0.0,0.0,26.22,26.22,26.22,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.86,25.86,25.86,0.0,0.0
2018-12-16,25.45,25.45,25.45,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.3,25.3,25.3,0.0,0.0
2018-12-23,25.97,25.97,25.97,0.0,0.0,26.02,26.02,26.02,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.83,25.83,25.83,0.0,0.0
2018-12-30,26.49,26.49,26.49,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.5,26.5,26.5,0.0,0.0
