Date,PowerShares Dynamic Energy Exploration & Productio_Open_average,PowerShares Dynamic Energy Exploration & Productio_Open_max,PowerShares Dynamic Energy Exploration & Productio_Open_min,PowerShares Dynamic Energy Exploration & Productio_Open_volatility,PowerShares Dynamic Energy Exploration & Productio_Open_change,PowerShares Dynamic Energy Exploration & Productio_High_average,PowerShares Dynamic Energy Exploration & Productio_High_max,PowerShares Dynamic Energy Exploration & Productio_High_min,PowerShares Dynamic Energy Exploration & Productio_High_volatility,PowerShares Dynamic Energy Exploration & Productio_High_change,PowerShares Dynamic Energy Exploration & Productio_Low_average,PowerShares Dynamic Energy Exploration & Productio_Low_max,PowerShares Dynamic Energy Exploration & Productio_Low_min,PowerShares Dynamic Energy Exploration & Productio_Low_volatility,PowerShares Dynamic Energy Exploration & Productio_Low_change,PowerShares Dynamic Energy Exploration & Productio_Close_average,PowerShares Dynamic Energy Exploration & Productio_Close_max,PowerShares Dynamic Energy Exploration & Productio_Close_min,PowerShares Dynamic Energy Exploration & Productio_Close_volatility,PowerShares Dynamic Energy Exploration & Productio_Close_change
2018-01-14,23.7,23.7,23.7,0.0,0.0,24.28,24.28,24.28,0.0,0.0,23.7,23.7,23.7,0.0,0.0,24.28,24.28,24.28,0.0,0.0
2018-01-21,23.69,23.69,23.69,0.0,0.0,23.77,23.77,23.77,0.0,0.0,23.31,23.31,23.31,0.0,0.0,23.39,23.39,23.39,0.0,0.0
2018-01-28,21.48,21.48,21.48,0.0,0.0,21.87,21.87,21.87,0.0,0.0,20.89,20.89,20.89,0.0,0.0,21.11,21.11,21.11,0.0,0.0
2018-02-04,20.53,20.53,20.53,0.0,0.0,20.63,20.63,20.63,0.0,0.0,20.36,20.36,20.36,0.0,0.0,20.53,20.53,20.53,0.0,0.0
2018-02-11,20.74,20.74,20.74,0.0,0.0,21.05,21.05,21.05,0.0,0.0,20.74,20.74,20.74,0.0,0.0,20.89,20.89,20.89,0.0,0.0
2018-02-18,20.77,20.77,20.77,0.0,0.0,20.77,20.77,20.77,0.0,0.0,20.53,20.53,20.53,0.0,0.0,20.63,20.63,20.63,0.0,0.0
2018-02-25,20.25,20.25,20.25,0.0,0.0,20.61,20.61,20.61,0.0,0.0,20.18,20.18,20.18,0.0,0.0,20.56,20.56,20.56,0.0,0.0
2018-03-04,20.75,20.75,20.75,0.0,0.0,20.95,20.95,20.95,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.78,20.78,20.78,0.0,0.0
2018-03-11,20.47,20.47,20.47,0.0,0.0,20.47,20.47,20.47,0.0,0.0,20.13,20.13,20.13,0.0,0.0,20.2,20.2,20.2,0.0,0.0
2018-03-18,21.23,21.23,21.23,0.0,0.0,21.39,21.39,21.39,0.0,0.0,21.05,21.05,21.05,0.0,0.0,21.39,21.39,21.39,0.0,0.0
2018-03-25,20.99,20.99,20.99,0.0,0.0,21.0,21.0,21.0,0.0,0.0,20.24,20.24,20.24,0.0,0.0,20.64,20.64,20.64,0.0,0.0
2018-04-01,21.37,21.37,21.37,0.0,0.0,21.73,21.73,21.73,0.0,0.0,21.37,21.37,21.37,0.0,0.0,21.64,21.64,21.64,0.0,0.0
2018-04-08,22.95,22.95,22.95,0.0,0.0,23.14,23.14,23.14,0.0,0.0,22.95,22.95,22.95,0.0,0.0,23.1,23.1,23.1,0.0,0.0
2018-04-15,23.67,23.67,23.67,0.0,0.0,23.85,23.85,23.85,0.0,0.0,23.46,23.46,23.46,0.0,0.0,23.83,23.83,23.83,0.0,0.0
2018-04-22,23.78,23.78,23.78,0.0,0.0,24.32,24.32,24.32,0.0,0.0,23.78,23.78,23.78,0.0,0.0,24.15,24.15,24.15,0.0,0.0
2018-04-29,24.9,24.9,24.9,0.0,0.0,25.14,25.14,25.14,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.53,24.53,24.53,0.0,0.0
2018-05-06,25.58,25.58,25.58,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.81,25.81,25.81,0.0,0.0
2018-05-13,26.81,26.81,26.81,0.0,0.0,27.1,27.1,27.1,0.0,0.0,26.62,26.62,26.62,0.0,0.0,27.07,27.07,27.07,0.0,0.0
2018-05-20,25.63,25.63,25.63,0.0,0.0,25.68,25.68,25.68,0.0,0.0,24.97,24.97,24.97,0.0,0.0,25.47,25.47,25.47,0.0,0.0
2018-05-27,26.9,26.9,26.9,0.0,0.0,26.9,26.9,26.9,0.0,0.0,25.91,25.91,25.91,0.0,0.0,26.08,26.08,26.08,0.0,0.0
2018-06-03,26.37,26.37,26.37,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.6,26.6,26.6,0.0,0.0
2018-06-10,25.63,25.63,25.63,0.0,0.0,26.41,26.41,26.41,0.0,0.0,25.58,25.58,25.58,0.0,0.0,26.17,26.17,26.17,0.0,0.0
2018-06-17,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.16,26.16,26.16,0.0,0.0
2018-06-24,26.89,26.89,26.89,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.7,26.7,26.7,0.0,0.0
2018-07-01,27.5,27.5,27.5,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2018-07-08,26.69,26.69,26.69,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.29,26.29,26.29,0.0,0.0,26.59,26.59,26.59,0.0,0.0
2018-07-15,26.57,26.57,26.57,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.46,26.46,26.46,0.0,0.0
2018-07-22,27.0,27.0,27.0,0.0,0.0,27.24,27.24,27.24,0.0,0.0,26.99,26.99,26.99,0.0,0.0,27.07,27.07,27.07,0.0,0.0
2018-07-29,26.58,26.58,26.58,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2018-08-05,26.53,26.53,26.53,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2018-08-12,25.48,25.48,25.48,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.84,25.84,25.84,0.0,0.0
2018-08-19,27.11,27.11,27.11,0.0,0.0,27.25,27.25,27.25,0.0,0.0,26.94,26.94,26.94,0.0,0.0,27.11,27.11,27.11,0.0,0.0
2018-08-26,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0,26.84,26.84,26.84,0.0,0.0,27.09,27.09,27.09,0.0,0.0
2018-09-02,25.65,25.65,25.65,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.71,25.71,25.71,0.0,0.0
2018-09-09,26.32,26.32,26.32,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.23,26.23,26.23,0.0,0.0,26.23,26.23,26.23,0.0,0.0
2018-09-16,27.05,27.05,27.05,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.05,27.05,27.05,0.0,0.0,27.26,27.26,27.26,0.0,0.0
2018-09-23,27.63,27.63,27.63,0.0,0.0,27.84,27.84,27.84,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.67,27.67,27.67,0.0,0.0
2018-09-30,27.44,27.44,27.44,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.36,27.36,27.36,0.0,0.0
