Date,MTX_Open_average,MTX_Open_max,MTX_Open_min,MTX_Open_volatility,MTX_Open_change,MTX_High_average,MTX_High_max,MTX_High_min,MTX_High_volatility,MTX_High_change,MTX_Low_average,MTX_Low_max,MTX_Low_min,MTX_Low_volatility,MTX_Low_change,MTX_Close_average,MTX_Close_max,MTX_Close_min,MTX_Close_volatility,MTX_Close_change,MTX_Volume_average,MTX_Volume_max,MTX_Volume_min,MTX_Volume_volatility,MTX_Volume_change
2018-01-14,75.71000000000001,76.65,74.75,1.9000000000000057,0.4000000000000057,76.27,77.0,75.3,1.7000000000000028,0.6500000000000057,75.236,76.4,74.7,1.7000000000000028,1.0700000000000074,75.93,76.9,75.05,1.8500000000000085,1.3500000000000085,282228,400870,158687,242183,-237581
2018-01-21,76.69,76.9,76.55,0.3500000000000085,-0.20000000000000284,76.82,77.15,76.55,0.6000000000000085,-0.20000000000000284,75.78,76.0,75.5,0.5,-0.45000000000000284,76.27,76.95,75.65,1.2999999999999972,-0.75,136174,188001,116913,71088,1739
2018-01-28,74.26,76.4,71.55,4.8500000000000085,-3.450000000000003,74.9,76.4,72.25,4.150000000000006,-3.9000000000000057,72.62,74.9,68.25,6.650000000000006,-5.450000000000003,73.44,75.85,68.45,7.3999999999999915,-7.3999999999999915,246020,373774,172091,201683,65895
2018-02-04,68.04,69.0,66.75,2.25,1.0499999999999972,69.17,69.65,68.05,1.6000000000000085,-0.19999999999998863,66.91,68.55,65.45,3.0999999999999943,1.1500000000000057,68.33,69.15,66.95,2.200000000000003,-0.15000000000000568,259428,517334,155313,362021,-113779
2018-02-11,69.4125,70.65,68.2,2.450000000000003,2.3500000000000085,70.4875,71.55,69.25,2.299999999999997,2.299999999999997,69.0125,70.1,68.15,1.9499999999999886,1.9499999999999886,70.325,71.25,69.05,2.200000000000003,2.200000000000003,141882,208931,86639,122292,-70029
2018-02-18,71.2,72.35,69.9,2.4499999999999886,1.6499999999999915,72.03,72.35,71.7,0.6499999999999915,0.6499999999999915,70.69,71.65,69.7,1.9500000000000028,1.9500000000000028,71.21,72.25,69.7,2.549999999999997,2.3999999999999915,95714,127787,76142,51645,-33374
2018-02-25,70.05,72.15,68.4,3.75,-2.450000000000003,71.12599999999999,72.6,70.05,2.549999999999997,-1.2199999999999989,68.97,71.0,67.75,3.25,-1.6500000000000057,70.01,71.2,68.7,2.5,0.20000000000000284,107332,128738,88990,39748,9474
2018-03-04,72.57,74.3,71.5,2.799999999999997,2.799999999999997,73.41,74.6,72.45,2.1499999999999915,1.5999999999999943,71.93,73.4,70.9,2.5,2.5,72.92,74.05,72.05,2.0,1.4500000000000028,118045,159261,83662,75599,-70567
2018-03-11,72.99,74.3,72.05,2.25,-2.25,73.31,74.7,72.15,2.549999999999997,-2.549999999999997,71.79,72.7,70.45,2.25,-2.25,72.39,73.05,71.7,1.3499999999999943,-1.3499999999999943,142500,237592,63336,174256,-98083
2018-03-18,70.0,71.65,67.75,3.9000000000000057,-3.9000000000000057,70.61,72.3,68.6,3.700000000000003,-3.1000000000000085,68.58,70.65,66.3,4.3500000000000085,-4.200000000000003,69.14999999999999,71.55,66.6,4.950000000000003,-2.4499999999999886,125776,247075,60118,186957,186957
2018-03-25,66.8875,68.2,66.3,1.9000000000000057,-1.6500000000000057,67.51249999999999,68.3,66.8,1.5,-0.9500000000000028,65.605,66.25,64.45,1.7999999999999972,-1.5999999999999943,66.15,66.95,65.1,1.8500000000000085,-1.3500000000000085,140083,180407,113916,66491,-27983
2018-04-01,66.56,67.75,64.9,2.8499999999999943,1.8500000000000085,67.776,68.8,66.38,2.4200000000000017,1.8200000000000074,65.96,67.6,64.85,2.75,1.3499999999999943,66.92,68.45,66.05,2.4000000000000057,0.6500000000000057,91097,135372,57820,77552,-42740
2018-04-08,68.55,69.15,67.75,1.4000000000000057,1.4000000000000057,69.19,70.35,68.7,1.6499999999999915,1.5499999999999972,67.978,68.7,67.19,1.5100000000000051,1.5100000000000051,68.82,69.85,68.4,1.4499999999999886,1.25,96297,151883,68036,83847,-16446
2018-04-15,71.62,73.05,70.4,2.6499999999999915,2.6499999999999915,72.336,73.53,70.9,2.6299999999999955,2.6299999999999955,71.34,72.7,69.7,3.0,3.0,72.07,73.1,70.8,2.299999999999997,2.049999999999997,96580,122763,71353,51410,21264
2018-04-22,72.21000000000001,73.15,71.45,1.7000000000000028,-1.7000000000000028,72.49,73.25,71.95,1.2999999999999972,-1.2999999999999972,70.71000000000001,71.65,68.95,2.700000000000003,-1.9500000000000028,71.29,72.2,69.05,3.1500000000000057,-2.9000000000000057,133098,170385,92934,77451,68708
2018-04-29,69.42999999999999,71.5,68.25,3.25,1.3499999999999943,70.11,71.7,68.75,2.950000000000003,2.549999999999997,68.01,69.45,66.7,2.75,2.299999999999997,68.96,70.8,67.6,3.200000000000003,2.3499999999999943,205487,359021,114866,244155,-155312
