Date,Madrona Global Bond_Open_average,Madrona Global Bond_Open_max,Madrona Global Bond_Open_volatility,Madrona Global Bond_Open_change,Madrona Global Bond_High_average,Madrona Global Bond_High_max,Madrona Global Bond_High_volatility,Madrona Global Bond_High_change,Madrona Global Bond_Low_average,Madrona Global Bond_Low_max,Madrona Global Bond_Low_volatility,Madrona Global Bond_Low_change,Madrona Global Bond_Close_average,Madrona Global Bond_Close_max,Madrona Global Bond_Close_volatility,Madrona Global Bond_Close_change
2016-01-03,24.71,24.71,0.0,0.0,24.71,24.71,0.0,0.0,24.31,24.31,0.0,0.0,24.31,24.31,0.0,0.0
2016-01-10,24.1,24.1,0.0,0.0,24.18,24.18,0.0,0.0,24.1,24.1,0.0,0.0,24.18,24.18,0.0,0.0
2016-01-17,24.22,24.22,0.0,0.0,24.23,24.23,0.0,0.0,24.22,24.22,0.0,0.0,24.23,24.23,0.0,0.0
2016-01-24,24.24,24.24,0.0,0.0,24.28,24.28,0.0,0.0,24.23,24.23,0.0,0.0,24.24,24.24,0.0,0.0
2016-01-31,24.42,24.42,0.0,0.0,24.42,24.42,0.0,0.0,24.19,24.19,0.0,0.0,24.19,24.19,0.0,0.0
2016-02-07,24.09,24.09,0.0,0.0,24.11,24.11,0.0,0.0,24.07,24.07,0.0,0.0,24.11,24.11,0.0,0.0
2016-02-14,24.28,24.28,0.0,0.0,24.29,24.29,0.0,0.0,24.27,24.27,0.0,0.0,24.28,24.28,0.0,0.0
2016-02-21,24.37,24.37,0.0,0.0,24.37,24.37,0.0,0.0,24.35,24.35,0.0,0.0,24.35,24.35,0.0,0.0
2016-02-28,24.52,24.52,0.0,0.0,24.54,24.54,0.0,0.0,24.51,24.51,0.0,0.0,24.51,24.51,0.0,0.0
2016-03-06,24.7,24.7,0.0,0.0,24.7,24.7,0.0,0.0,24.69,24.69,0.0,0.0,24.69,24.69,0.0,0.0
2016-03-13,24.96,24.96,0.0,0.0,24.96,24.96,0.0,0.0,24.91,24.91,0.0,0.0,24.91,24.91,0.0,0.0
2016-03-20,24.77,24.77,0.0,0.0,24.77,24.77,0.0,0.0,24.76,24.76,0.0,0.0,24.76,24.76,0.0,0.0
2016-03-27,25.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0
2016-04-03,25.12,25.12,0.0,0.0,25.12,25.12,0.0,0.0,25.12,25.12,0.0,0.0,25.12,25.12,0.0,0.0
