Date,PureFunds ISE Mobile PaymentsEtf_Open_average,PureFunds ISE Mobile PaymentsEtf_Open_max,PureFunds ISE Mobile PaymentsEtf_Open_min,PureFunds ISE Mobile PaymentsEtf_Open_volatility,PureFunds ISE Mobile PaymentsEtf_Open_change,PureFunds ISE Mobile PaymentsEtf_High_average,PureFunds ISE Mobile PaymentsEtf_High_max,PureFunds ISE Mobile PaymentsEtf_High_min,PureFunds ISE Mobile PaymentsEtf_High_volatility,PureFunds ISE Mobile PaymentsEtf_High_change,PureFunds ISE Mobile PaymentsEtf_Low_average,PureFunds ISE Mobile PaymentsEtf_Low_max,PureFunds ISE Mobile PaymentsEtf_Low_min,PureFunds ISE Mobile PaymentsEtf_Low_volatility,PureFunds ISE Mobile PaymentsEtf_Low_change,PureFunds ISE Mobile PaymentsEtf_Close_average,PureFunds ISE Mobile PaymentsEtf_Close_max,PureFunds ISE Mobile PaymentsEtf_Close_min,PureFunds ISE Mobile PaymentsEtf_Close_volatility,PureFunds ISE Mobile PaymentsEtf_Close_change
2018-01-14,37.48,37.48,37.48,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.42,37.42,37.42,0.0,0.0,37.58,37.58,37.58,0.0,0.0
2018-01-21,38.3,38.3,38.3,0.0,0.0,38.58,38.58,38.58,0.0,0.0,38.22,38.22,38.22,0.0,0.0,38.52,38.52,38.52,0.0,0.0
2018-01-28,37.73,37.73,37.73,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.02,37.02,37.02,0.0,0.0
2018-02-04,34.86,34.86,34.86,0.0,0.0,35.1,35.1,35.1,0.0,0.0,33.75,33.75,33.75,0.0,0.0,34.89,34.89,34.89,0.0,0.0
2018-02-11,36.76,36.76,36.76,0.0,0.0,37.2,37.2,37.2,0.0,0.0,36.75,36.75,36.75,0.0,0.0,36.99,36.99,36.99,0.0,0.0
2018-02-18,36.73,36.73,36.73,0.0,0.0,37.14,37.14,37.14,0.0,0.0,36.64,36.64,36.64,0.0,0.0,37.14,37.14,37.14,0.0,0.0
2018-02-25,36.05,36.05,36.05,0.0,0.0,36.63,36.63,36.63,0.0,0.0,35.83,35.83,35.83,0.0,0.0,36.6,36.6,36.6,0.0,0.0
2018-03-04,37.54,37.54,37.54,0.0,0.0,37.99,37.99,37.99,0.0,0.0,37.54,37.54,37.54,0.0,0.0,37.93,37.93,37.93,0.0,0.0
2018-03-11,37.78,37.78,37.78,0.0,0.0,37.96,37.96,37.96,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.91,37.91,37.91,0.0,0.0
2018-03-18,36.66,36.66,36.66,0.0,0.0,36.73,36.73,36.73,0.0,0.0,35.82,35.82,35.82,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2018-03-25,35.85,35.85,35.85,0.0,0.0,36.55,36.55,36.55,0.0,0.0,35.83,35.83,35.83,0.0,0.0,36.33,36.33,36.33,0.0,0.0
2018-04-01,36.0,36.0,36.0,0.0,0.0,36.15,36.15,36.15,0.0,0.0,35.21,35.21,35.21,0.0,0.0,35.44,35.44,35.44,0.0,0.0
2018-04-08,36.53,36.53,36.53,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.04,36.04,36.04,0.0,0.0,36.19,36.19,36.19,0.0,0.0
2018-04-15,37.21,37.21,37.21,0.0,0.0,37.28,37.28,37.28,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.99,36.99,36.99,0.0,0.0
2018-04-22,36.77,36.77,36.77,0.0,0.0,36.82,36.82,36.82,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.58,36.58,36.58,0.0,0.0
2018-04-29,36.75,36.75,36.75,0.0,0.0,37.33,37.33,37.33,0.0,0.0,36.65,36.65,36.65,0.0,0.0,37.12,37.12,37.12,0.0,0.0
2018-05-06,38.54,38.54,38.54,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.35,38.35,38.35,0.0,0.0,38.44,38.44,38.44,0.0,0.0
2018-05-13,38.56,38.56,38.56,0.0,0.0,38.77,38.77,38.77,0.0,0.0,38.56,38.56,38.56,0.0,0.0,38.62,38.62,38.62,0.0,0.0
2018-05-20,38.65,38.65,38.65,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.56,38.56,38.56,0.0,0.0
2018-05-27,38.44,38.44,38.44,0.0,0.0,38.62,38.62,38.62,0.0,0.0,38.35,38.35,38.35,0.0,0.0,38.6,38.6,38.6,0.0,0.0
2018-06-03,39.2,39.2,39.2,0.0,0.0,39.54,39.54,39.54,0.0,0.0,39.18,39.18,39.18,0.0,0.0,39.46,39.46,39.46,0.0,0.0
2018-06-10,39.99,39.99,39.99,0.0,0.0,39.99,39.99,39.99,0.0,0.0,39.61,39.61,39.61,0.0,0.0,39.98,39.98,39.98,0.0,0.0
2018-06-17,39.93,39.93,39.93,0.0,0.0,39.96,39.96,39.96,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.77,39.77,39.77,0.0,0.0
2018-06-24,38.69,38.69,38.69,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.81,38.81,38.81,0.0,0.0
2018-07-01,39.2,39.2,39.2,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.15,39.15,39.15,0.0,0.0,39.53,39.53,39.53,0.0,0.0
2018-07-08,40.43,40.43,40.43,0.0,0.0,40.43,40.43,40.43,0.0,0.0,40.06,40.06,40.06,0.0,0.0,40.42,40.42,40.42,0.0,0.0
2018-07-15,40.43,40.43,40.43,0.0,0.0,40.78,40.78,40.78,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.68,40.68,40.68,0.0,0.0
2018-07-22,41.37,41.37,41.37,0.0,0.0,41.42,41.42,41.42,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.71,40.71,40.71,0.0,0.0
2018-07-29,40.25,40.25,40.25,0.0,0.0,40.25,40.25,40.25,0.0,0.0,39.89,39.89,39.89,0.0,0.0,40.19,40.19,40.19,0.0,0.0
2018-08-05,40.42,40.42,40.42,0.0,0.0,40.69,40.69,40.69,0.0,0.0,40.33,40.33,40.33,0.0,0.0,40.53,40.53,40.53,0.0,0.0
2018-08-12,40.5,40.5,40.5,0.0,0.0,40.79,40.79,40.79,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.74,40.74,40.74,0.0,0.0
2018-08-19,41.57,41.57,41.57,0.0,0.0,41.86,41.86,41.86,0.0,0.0,41.56,41.56,41.56,0.0,0.0,41.85,41.85,41.85,0.0,0.0
2018-08-26,42.21,42.21,42.21,0.0,0.0,42.54,42.54,42.54,0.0,0.0,42.21,42.21,42.21,0.0,0.0,42.49,42.49,42.49,0.0,0.0
2018-09-02,41.88,41.88,41.88,0.0,0.0,42.18,42.18,42.18,0.0,0.0,41.73,41.73,41.73,0.0,0.0,41.96,41.96,41.96,0.0,0.0
2018-09-09,42.85,42.85,42.85,0.0,0.0,42.89,42.89,42.89,0.0,0.0,42.62,42.62,42.62,0.0,0.0,42.78,42.78,42.78,0.0,0.0
2018-09-16,42.98,42.98,42.98,0.0,0.0,43.19,43.19,43.19,0.0,0.0,42.81,42.81,42.81,0.0,0.0,42.89,42.89,42.89,0.0,0.0
2018-09-23,42.82,42.82,42.82,0.0,0.0,43.15,43.15,43.15,0.0,0.0,42.75,42.75,42.75,0.0,0.0,42.91,42.91,42.91,0.0,0.0
2018-09-30,42.34,42.34,42.34,0.0,0.0,42.49,42.49,42.49,0.0,0.0,41.66,41.66,41.66,0.0,0.0,42.02,42.02,42.02,0.0,0.0
2018-10-07,39.6,39.6,39.6,0.0,0.0,39.96,39.96,39.96,0.0,0.0,39.17,39.17,39.17,0.0,0.0,39.8,39.8,39.8,0.0,0.0
2018-10-14,40.48,40.48,40.48,0.0,0.0,40.99,40.99,40.99,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.43,40.43,40.43,0.0,0.0
2018-10-21,38.96,38.96,38.96,0.0,0.0,39.2,39.2,39.2,0.0,0.0,38.14,38.14,38.14,0.0,0.0,38.6,38.6,38.6,0.0,0.0
2018-10-28,39.72,39.72,39.72,0.0,0.0,39.95,39.95,39.95,0.0,0.0,38.94,38.94,38.94,0.0,0.0,39.34,39.34,39.34,0.0,0.0
2018-11-04,40.02,40.02,40.02,0.0,0.0,40.02,40.02,40.02,0.0,0.0,39.32,39.32,39.32,0.0,0.0,39.67,39.67,39.67,0.0,0.0
2018-11-11,38.59,38.59,38.59,0.0,0.0,38.98,38.98,38.98,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.68,38.68,38.68,0.0,0.0
2018-11-18,36.61,36.61,36.61,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.56,36.56,36.56,0.0,0.0
2018-11-25,38.47,38.47,38.47,0.0,0.0,38.87,38.87,38.87,0.0,0.0,38.26,38.26,38.26,0.0,0.0,38.85,38.85,38.85,0.0,0.0
2018-12-02,37.74,37.74,37.74,0.0,0.0,38.1,38.1,38.1,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.94,36.94,36.94,0.0,0.0
2018-12-09,36.72,36.72,36.72,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.42,36.42,36.42,0.0,0.0,36.45,36.45,36.45,0.0,0.0
2018-12-16,34.3,34.3,34.3,0.0,0.0,34.68,34.68,34.68,0.0,0.0,33.24,33.24,33.24,0.0,0.0,33.35,33.35,33.35,0.0,0.0
2018-12-23,34.93,34.93,34.93,0.0,0.0,35.05,35.05,35.05,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.61,34.61,34.61,0.0,0.0
2018-12-30,34.31,34.31,34.31,0.0,0.0,35.49,35.49,35.49,0.0,0.0,34.31,34.31,34.31,0.0,0.0,35.35,35.35,35.35,0.0,0.0
2019-01-06,36.99,36.99,36.99,0.0,0.0,37.05,37.05,37.05,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.96,36.96,36.96,0.0,0.0
2019-01-13,38.22,38.22,38.22,0.0,0.0,38.68,38.68,38.68,0.0,0.0,38.1,38.1,38.1,0.0,0.0,38.6,38.6,38.6,0.0,0.0
2019-01-20,39.21,39.21,39.21,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.13,39.13,39.13,0.0,0.0,39.47,39.47,39.47,0.0,0.0
2019-01-27,38.88,38.88,38.88,0.0,0.0,39.11,39.11,39.11,0.0,0.0,38.79,38.79,38.79,0.0,0.0,39.04,39.04,39.04,0.0,0.0
2019-02-03,38.61,38.61,38.61,0.0,0.0,39.2,39.2,39.2,0.0,0.0,38.45,38.45,38.45,0.0,0.0,39.14,39.14,39.14,0.0,0.0
2019-02-10,40.25,40.25,40.25,0.0,0.0,40.43,40.43,40.43,0.0,0.0,40.16,40.16,40.16,0.0,0.0,40.35,40.35,40.35,0.0,0.0
2019-02-17,40.44,40.44,40.44,0.0,0.0,40.85,40.85,40.85,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.85,40.85,40.85,0.0,0.0
2019-02-24,41.62,41.62,41.62,0.0,0.0,41.78,41.78,41.78,0.0,0.0,41.43,41.43,41.43,0.0,0.0,41.69,41.69,41.69,0.0,0.0
2019-03-03,40.21,40.21,40.21,0.0,0.0,40.73,40.73,40.73,0.0,0.0,40.15,40.15,40.15,0.0,0.0,40.68,40.68,40.68,0.0,0.0
2019-03-10,41.77,41.77,41.77,0.0,0.0,42.07,42.07,42.07,0.0,0.0,41.77,41.77,41.77,0.0,0.0,41.89,41.89,41.89,0.0,0.0
2019-03-17,42.82,42.82,42.82,0.0,0.0,42.86,42.86,42.86,0.0,0.0,42.07,42.07,42.07,0.0,0.0,42.07,42.07,42.07,0.0,0.0
2019-03-24,43.0,43.0,43.0,0.0,0.0,43.08,43.08,43.08,0.0,0.0,42.76,42.76,42.76,0.0,0.0,42.96,42.96,42.96,0.0,0.0
2019-03-31,43.4,43.4,43.4,0.0,0.0,43.59,43.59,43.59,0.0,0.0,43.39,43.39,43.39,0.0,0.0,43.46,43.46,43.46,0.0,0.0
2019-04-07,43.53,43.53,43.53,0.0,0.0,43.59,43.59,43.59,0.0,0.0,43.34,43.34,43.34,0.0,0.0,43.53,43.53,43.53,0.0,0.0
2019-04-14,43.27,43.27,43.27,0.0,0.0,43.42,43.42,43.42,0.0,0.0,42.69,42.69,42.69,0.0,0.0,42.97,42.97,42.97,0.0,0.0
2019-04-21,43.93,43.93,43.93,0.0,0.0,44.04,44.04,44.04,0.0,0.0,43.64,43.64,43.64,0.0,0.0,44.0,44.0,44.0,0.0,0.0
2019-04-28,44.08,44.08,44.08,0.0,0.0,44.42,44.42,44.42,0.0,0.0,44.03,44.03,44.03,0.0,0.0,44.42,44.42,44.42,0.0,0.0
2019-05-05,43.26,43.26,43.26,0.0,0.0,43.68,43.68,43.68,0.0,0.0,42.77,42.77,42.77,0.0,0.0,43.59,43.59,43.59,0.0,0.0
2019-05-12,43.87,43.87,43.87,0.0,0.0,44.24,44.24,44.24,0.0,0.0,43.57,43.57,43.57,0.0,0.0,43.87,43.87,43.87,0.0,0.0
2019-05-19,44.42,44.42,44.42,0.0,0.0,44.75,44.75,44.75,0.0,0.0,44.16,44.16,44.16,0.0,0.0,44.5,44.5,44.5,0.0,0.0
2019-05-26,44.12,44.12,44.12,0.0,0.0,44.12,44.12,44.12,0.0,0.0,43.7,43.7,43.7,0.0,0.0,43.99,43.99,43.99,0.0,0.0
2019-06-02,45.5,45.5,45.5,0.0,0.0,45.9,45.9,45.9,0.0,0.0,45.4,45.4,45.4,0.0,0.0,45.83,45.83,45.83,0.0,0.0
2019-06-09,46.19,46.19,46.19,0.0,0.0,46.19,46.19,46.19,0.0,0.0,45.92,45.92,45.92,0.0,0.0,46.06,46.06,46.06,0.0,0.0
2019-06-16,46.99,46.99,46.99,0.0,0.0,47.01,47.01,47.01,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.95,46.95,46.95,0.0,0.0
2019-06-23,46.71,46.71,46.71,0.0,0.0,46.91,46.91,46.91,0.0,0.0,46.57,46.57,46.57,0.0,0.0,46.9,46.9,46.9,0.0,0.0
2019-06-30,47.44,47.44,47.44,0.0,0.0,47.58,47.58,47.58,0.0,0.0,47.05,47.05,47.05,0.0,0.0,47.58,47.58,47.58,0.0,0.0
2019-07-07,48.61,48.61,48.61,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.2,48.2,48.2,0.0,0.0,48.64,48.64,48.64,0.0,0.0
2019-07-14,49.06,49.06,49.06,0.0,0.0,49.13,49.13,49.13,0.0,0.0,48.41,48.41,48.41,0.0,0.0,48.49,48.49,48.49,0.0,0.0
2019-07-21,49.21,49.21,49.21,0.0,0.0,50.03,50.03,50.03,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2019-07-28,49.0,49.0,49.0,0.0,0.0,49.0,49.0,49.0,0.0,0.0,47.96,47.96,47.96,0.0,0.0,48.44,48.44,48.44,0.0,0.0
2019-08-04,48.45,48.45,48.45,0.0,0.0,48.48,48.48,48.48,0.0,0.0,47.84,47.84,47.84,0.0,0.0,48.07,48.07,48.07,0.0,0.0
2019-08-11,47.29,47.29,47.29,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.29,47.29,47.29,0.0,0.0,47.7,47.7,47.7,0.0,0.0
2019-08-18,48.39,48.39,48.39,0.0,0.0,48.74,48.74,48.74,0.0,0.0,47.09,47.09,47.09,0.0,0.0,47.28,47.28,47.28,0.0,0.0
2019-08-25,48.53,48.53,48.53,0.0,0.0,48.6,48.6,48.6,0.0,0.0,47.89,47.89,47.89,0.0,0.0,48.21,48.21,48.21,0.0,0.0
2019-09-01,49.5,49.5,49.5,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2019-09-08,47.6,47.6,47.6,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.14,47.14,47.14,0.0,0.0,47.28,47.28,47.28,0.0,0.0
2019-09-15,47.96,47.96,47.96,0.0,0.0,47.96,47.96,47.96,0.0,0.0,47.11,47.11,47.11,0.0,0.0,47.27,47.27,47.27,0.0,0.0
