Date,iShares Broad USD Investment Grade Corporate Bond_Open_average,iShares Broad USD Investment Grade Corporate Bond_Open_max,iShares Broad USD Investment Grade Corporate Bond_Open_min,iShares Broad USD Investment Grade Corporate Bond_Open_volatility,iShares Broad USD Investment Grade Corporate Bond_Open_change,iShares Broad USD Investment Grade Corporate Bond_High_average,iShares Broad USD Investment Grade Corporate Bond_High_max,iShares Broad USD Investment Grade Corporate Bond_High_min,iShares Broad USD Investment Grade Corporate Bond_High_volatility,iShares Broad USD Investment Grade Corporate Bond_High_change,iShares Broad USD Investment Grade Corporate Bond_Low_average,iShares Broad USD Investment Grade Corporate Bond_Low_max,iShares Broad USD Investment Grade Corporate Bond_Low_min,iShares Broad USD Investment Grade Corporate Bond_Low_volatility,iShares Broad USD Investment Grade Corporate Bond_Low_change,iShares Broad USD Investment Grade Corporate Bond_Close_average,iShares Broad USD Investment Grade Corporate Bond_Close_max,iShares Broad USD Investment Grade Corporate Bond_Close_min,iShares Broad USD Investment Grade Corporate Bond_Close_volatility,iShares Broad USD Investment Grade Corporate Bond_Close_change
2018-01-14,55.48,55.48,55.48,0.0,0.0,55.52,55.52,55.52,0.0,0.0,55.4,55.4,55.4,0.0,0.0,55.41,55.41,55.41,0.0,0.0
2018-01-21,55.52,55.52,55.52,0.0,0.0,55.53,55.53,55.53,0.0,0.0,55.4,55.4,55.4,0.0,0.0,55.51,55.51,55.51,0.0,0.0
2018-01-28,54.84,54.84,54.84,0.0,0.0,55.17,55.17,55.17,0.0,0.0,54.8,54.8,54.8,0.0,0.0,55.09,55.09,55.09,0.0,0.0
2018-02-04,54.56,54.56,54.56,0.0,0.0,54.63,54.63,54.63,0.0,0.0,54.51,54.51,54.51,0.0,0.0,54.57,54.57,54.57,0.0,0.0
2018-02-11,54.57,54.57,54.57,0.0,0.0,54.62,54.62,54.62,0.0,0.0,54.51,54.51,54.51,0.0,0.0,54.59,54.59,54.59,0.0,0.0
2018-02-18,54.62,54.62,54.62,0.0,0.0,54.65,54.65,54.65,0.0,0.0,54.52,54.52,54.52,0.0,0.0,54.53,54.53,54.53,0.0,0.0
2018-02-25,54.32,54.32,54.32,0.0,0.0,54.32,54.32,54.32,0.0,0.0,54.13,54.13,54.13,0.0,0.0,54.19,54.19,54.19,0.0,0.0
2018-03-04,54.15,54.15,54.15,0.0,0.0,54.24,54.24,54.24,0.0,0.0,54.15,54.15,54.15,0.0,0.0,54.22,54.22,54.22,0.0,0.0
2018-03-11,54.14,54.14,54.14,0.0,0.0,54.28,54.28,54.28,0.0,0.0,54.14,54.14,54.14,0.0,0.0,54.2,54.2,54.2,0.0,0.0
2018-03-18,54.17,54.17,54.17,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.04,54.04,54.04,0.0,0.0,54.12,54.12,54.12,0.0,0.0
2018-03-25,54.24,54.24,54.24,0.0,0.0,54.41,54.41,54.41,0.0,0.0,54.24,54.24,54.24,0.0,0.0,54.35,54.35,54.35,0.0,0.0
2018-04-01,54.34,54.34,54.34,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.3,54.3,54.3,0.0,0.0,54.47,54.47,54.47,0.0,0.0
2018-04-08,54.33,54.33,54.33,0.0,0.0,54.44,54.44,54.44,0.0,0.0,54.29,54.29,54.29,0.0,0.0,54.37,54.37,54.37,0.0,0.0
2018-04-15,53.88,53.88,53.88,0.0,0.0,53.88,53.88,53.88,0.0,0.0,53.77,53.77,53.77,0.0,0.0,53.8,53.8,53.8,0.0,0.0
2018-04-22,53.84,53.84,53.84,0.0,0.0,53.85,53.85,53.85,0.0,0.0,53.78,53.78,53.78,0.0,0.0,53.8,53.8,53.8,0.0,0.0
2018-04-29,53.55,53.55,53.55,0.0,0.0,53.6,53.6,53.6,0.0,0.0,53.49,53.49,53.49,0.0,0.0,53.52,53.52,53.52,0.0,0.0
2018-05-06,53.65,53.65,53.65,0.0,0.0,53.72,53.72,53.72,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.66,53.66,53.66,0.0,0.0
2018-05-13,53.33,53.33,53.33,0.0,0.0,53.42,53.42,53.42,0.0,0.0,53.33,53.33,53.33,0.0,0.0,53.38,53.38,53.38,0.0,0.0
2018-05-20,53.77,53.77,53.77,0.0,0.0,53.88,53.88,53.88,0.0,0.0,53.77,53.77,53.77,0.0,0.0,53.87,53.87,53.87,0.0,0.0
2018-05-27,53.63,53.63,53.63,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.52,53.52,53.52,0.0,0.0,53.52,53.52,53.52,0.0,0.0
2018-06-03,53.41,53.41,53.41,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.46,53.46,53.46,0.0,0.0
2018-06-10,53.59,53.59,53.59,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.45,53.45,53.45,0.0,0.0,53.53,53.53,53.53,0.0,0.0
2018-06-17,53.41,53.41,53.41,0.0,0.0,53.45,53.45,53.45,0.0,0.0,53.36,53.36,53.36,0.0,0.0,53.37,53.37,53.37,0.0,0.0
2018-06-24,53.47,53.47,53.47,0.0,0.0,53.49,53.49,53.49,0.0,0.0,53.39,53.39,53.39,0.0,0.0,53.43,53.43,53.43,0.0,0.0
2018-07-01,53.69,53.69,53.69,0.0,0.0,53.78,53.78,53.78,0.0,0.0,53.69,53.69,53.69,0.0,0.0,53.73,53.73,53.73,0.0,0.0
2018-07-08,53.89,53.89,53.89,0.0,0.0,53.89,53.89,53.89,0.0,0.0,53.78,53.78,53.78,0.0,0.0,53.88,53.88,53.88,0.0,0.0
2018-07-15,53.71,53.71,53.71,0.0,0.0,53.71,53.71,53.71,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.55,53.55,53.55,0.0,0.0
2018-07-22,53.73,53.73,53.73,0.0,0.0,53.77,53.77,53.77,0.0,0.0,53.67,53.67,53.67,0.0,0.0,53.73,53.73,53.73,0.0,0.0
2018-07-29,53.81,53.81,53.81,0.0,0.0,53.91,53.91,53.91,0.0,0.0,53.8,53.8,53.8,0.0,0.0,53.8,53.8,53.8,0.0,0.0
2018-08-05,53.7,53.7,53.7,0.0,0.0,53.73,53.73,53.73,0.0,0.0,53.61,53.61,53.61,0.0,0.0,53.67,53.67,53.67,0.0,0.0
2018-08-12,53.99,53.99,53.99,0.0,0.0,54.11,54.11,54.11,0.0,0.0,53.99,53.99,53.99,0.0,0.0,54.11,54.11,54.11,0.0,0.0
2018-08-19,54.0,54.0,54.0,0.0,0.0,54.09,54.09,54.09,0.0,0.0,53.97,53.97,53.97,0.0,0.0,54.01,54.01,54.01,0.0,0.0
2018-08-26,53.96,53.96,53.96,0.0,0.0,54.04,54.04,54.04,0.0,0.0,53.86,53.86,53.86,0.0,0.0,53.94,53.94,53.94,0.0,0.0
2018-09-02,53.65,53.65,53.65,0.0,0.0,53.72,53.72,53.72,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.67,53.67,53.67,0.0,0.0
2018-09-09,53.58,53.58,53.58,0.0,0.0,53.71,53.71,53.71,0.0,0.0,53.58,53.58,53.58,0.0,0.0,53.6,53.6,53.6,0.0,0.0
2018-09-16,53.42,53.42,53.42,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.41,53.41,53.41,0.0,0.0,53.46,53.46,53.46,0.0,0.0
2018-09-23,53.43,53.43,53.43,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.34,53.34,53.34,0.0,0.0,53.38,53.38,53.38,0.0,0.0
