Date,Direxion Daily Total Bond Market Bear 1X SharesEtf_Open_average,Direxion Daily Total Bond Market Bear 1X SharesEtf_Open_max,Direxion Daily Total Bond Market Bear 1X SharesEtf_Open_min,Direxion Daily Total Bond Market Bear 1X SharesEtf_Open_volatility,Direxion Daily Total Bond Market Bear 1X SharesEtf_Open_change,Direxion Daily Total Bond Market Bear 1X SharesEtf_High_average,Direxion Daily Total Bond Market Bear 1X SharesEtf_High_max,Direxion Daily Total Bond Market Bear 1X SharesEtf_High_min,Direxion Daily Total Bond Market Bear 1X SharesEtf_High_volatility,Direxion Daily Total Bond Market Bear 1X SharesEtf_High_change,Direxion Daily Total Bond Market Bear 1X SharesEtf_Low_average,Direxion Daily Total Bond Market Bear 1X SharesEtf_Low_max,Direxion Daily Total Bond Market Bear 1X SharesEtf_Low_min,Direxion Daily Total Bond Market Bear 1X SharesEtf_Low_volatility,Direxion Daily Total Bond Market Bear 1X SharesEtf_Low_change,Direxion Daily Total Bond Market Bear 1X SharesEtf_Close_average,Direxion Daily Total Bond Market Bear 1X SharesEtf_Close_max,Direxion Daily Total Bond Market Bear 1X SharesEtf_Close_min,Direxion Daily Total Bond Market Bear 1X SharesEtf_Close_volatility,Direxion Daily Total Bond Market Bear 1X SharesEtf_Close_change
2018-01-14,31.45,31.45,31.45,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.49,31.49,31.49,0.0,0.0
2018-01-21,31.48,31.48,31.48,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.48,31.48,31.48,0.0,0.0
2018-01-28,31.67,31.67,31.67,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.76,31.76,31.76,0.0,0.0
2018-02-04,31.87,31.87,31.87,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2018-02-11,31.97,31.97,31.97,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.97,31.97,31.97,0.0,0.0
2018-02-18,31.98,31.98,31.98,0.0,0.0,31.98,31.98,31.98,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2018-02-25,31.98,31.98,31.98,0.0,0.0,31.98,31.98,31.98,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2018-03-04,31.94,31.94,31.94,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2018-03-11,31.87,31.87,31.87,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2018-03-18,31.84,31.84,31.84,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2018-03-25,31.73,31.73,31.73,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2018-04-01,31.72,31.72,31.72,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2018-04-08,31.7,31.7,31.7,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2018-04-15,31.83,31.83,31.83,0.0,0.0,31.83,31.83,31.83,0.0,0.0,31.83,31.83,31.83,0.0,0.0,31.83,31.83,31.83,0.0,0.0
2018-04-22,32.02,32.02,32.02,0.0,0.0,32.02,32.02,32.02,0.0,0.0,32.02,32.02,32.02,0.0,0.0,32.02,32.02,32.02,0.0,0.0
2018-04-29,32.01,32.01,32.01,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2018-05-06,32.01,32.01,32.01,0.0,0.0,32.01,32.01,32.01,0.0,0.0,32.01,32.01,32.01,0.0,0.0,32.01,32.01,32.01,0.0,0.0
2018-05-13,32.31,32.31,32.31,0.0,0.0,32.31,32.31,32.31,0.0,0.0,32.22,32.22,32.22,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2018-05-20,32.25,32.25,32.25,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2018-05-27,31.97,31.97,31.97,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.9,31.9,31.9,0.0,0.0
2018-06-03,32.06,32.06,32.06,0.0,0.0,32.06,32.06,32.06,0.0,0.0,32.06,32.06,32.06,0.0,0.0,32.06,32.06,32.06,0.0,0.0
2018-06-10,32.06,32.06,32.06,0.0,0.0,32.06,32.06,32.06,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2018-06-17,31.95,31.95,31.95,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.95,31.95,31.95,0.0,0.0
2018-06-24,31.89,31.89,31.89,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.89,31.89,31.89,0.0,0.0
2018-07-01,31.77,31.77,31.77,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.77,31.77,31.77,0.0,0.0
