Date,PowerShares S&P 500 Momentum Portfolio_Open_average,PowerShares S&P 500 Momentum Portfolio_Open_max,PowerShares S&P 500 Momentum Portfolio_Open_min,PowerShares S&P 500 Momentum Portfolio_Open_volatility,PowerShares S&P 500 Momentum Portfolio_Open_change,PowerShares S&P 500 Momentum Portfolio_High_average,PowerShares S&P 500 Momentum Portfolio_High_max,PowerShares S&P 500 Momentum Portfolio_High_min,PowerShares S&P 500 Momentum Portfolio_High_volatility,PowerShares S&P 500 Momentum Portfolio_High_change,PowerShares S&P 500 Momentum Portfolio_Low_average,PowerShares S&P 500 Momentum Portfolio_Low_max,PowerShares S&P 500 Momentum Portfolio_Low_min,PowerShares S&P 500 Momentum Portfolio_Low_volatility,PowerShares S&P 500 Momentum Portfolio_Low_change,PowerShares S&P 500 Momentum Portfolio_Close_average,PowerShares S&P 500 Momentum Portfolio_Close_max,PowerShares S&P 500 Momentum Portfolio_Close_min,PowerShares S&P 500 Momentum Portfolio_Close_volatility,PowerShares S&P 500 Momentum Portfolio_Close_change
2018-01-14,36.63,36.63,36.63,0.0,0.0,36.92,36.92,36.92,0.0,0.0,36.59,36.59,36.59,0.0,0.0,36.92,36.92,36.92,0.0,0.0
2018-01-21,37.46,37.46,37.46,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.25,37.25,37.25,0.0,0.0,37.25,37.25,37.25,0.0,0.0
2018-01-28,36.38,36.38,36.38,0.0,0.0,36.38,36.38,36.38,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.79,34.79,34.79,0.0,0.0
2018-02-04,34.77,34.77,34.77,0.0,0.0,35.3,35.3,35.3,0.0,0.0,34.77,34.77,34.77,0.0,0.0,35.2,35.2,35.2,0.0,0.0
2018-02-11,36.47,36.47,36.47,0.0,0.0,36.61,36.61,36.61,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.5,36.5,36.5,0.0,0.0
2018-02-18,37.13,37.13,37.13,0.0,0.0,37.36,37.36,37.36,0.0,0.0,37.13,37.13,37.13,0.0,0.0,37.28,37.28,37.28,0.0,0.0
2018-02-25,36.02,36.02,36.02,0.0,0.0,36.75,36.75,36.75,0.0,0.0,35.92,35.92,35.92,0.0,0.0,36.74,36.74,36.74,0.0,0.0
2018-03-04,38.04,38.04,38.04,0.0,0.0,38.04,38.04,38.04,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.87,37.87,37.87,0.0,0.0
2018-03-11,36.95,36.95,36.95,0.0,0.0,36.95,36.95,36.95,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.47,36.47,36.47,0.0,0.0
2018-03-18,35.43,35.43,35.43,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.96,35.96,35.96,0.0,0.0
2018-03-25,35.2,35.2,35.2,0.0,0.0,35.2,35.2,35.2,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.21,34.21,34.21,0.0,0.0
2018-04-01,34.97,34.97,34.97,0.0,0.0,35.35,35.35,35.35,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.79,34.79,34.79,0.0,0.0
2018-04-08,35.58,35.58,35.58,0.0,0.0,35.75,35.75,35.75,0.0,0.0,35.53,35.53,35.53,0.0,0.0,35.69,35.69,35.69,0.0,0.0
2018-04-15,36.21,36.21,36.21,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0
2018-04-22,35.9,35.9,35.9,0.0,0.0,35.93,35.93,35.93,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.72,35.72,35.72,0.0,0.0
