Date,iShares Short-Term National AMT-Free Muni Bond_etf_Open_average,iShares Short-Term National AMT-Free Muni Bond_etf_Open_max,iShares Short-Term National AMT-Free Muni Bond_etf_Open_min,iShares Short-Term National AMT-Free Muni Bond_etf_Open_volatility,iShares Short-Term National AMT-Free Muni Bond_etf_Open_change,iShares Short-Term National AMT-Free Muni Bond_etf_High_average,iShares Short-Term National AMT-Free Muni Bond_etf_High_max,iShares Short-Term National AMT-Free Muni Bond_etf_High_min,iShares Short-Term National AMT-Free Muni Bond_etf_High_volatility,iShares Short-Term National AMT-Free Muni Bond_etf_High_change,iShares Short-Term National AMT-Free Muni Bond_etf_Low_average,iShares Short-Term National AMT-Free Muni Bond_etf_Low_max,iShares Short-Term National AMT-Free Muni Bond_etf_Low_min,iShares Short-Term National AMT-Free Muni Bond_etf_Low_volatility,iShares Short-Term National AMT-Free Muni Bond_etf_Low_change,iShares Short-Term National AMT-Free Muni Bond_etf_Close_average,iShares Short-Term National AMT-Free Muni Bond_etf_Close_max,iShares Short-Term National AMT-Free Muni Bond_etf_Close_min,iShares Short-Term National AMT-Free Muni Bond_etf_Close_volatility,iShares Short-Term National AMT-Free Muni Bond_etf_Close_change
2018-01-14,104.94,104.94,104.94,0.0,0.0,105.05,105.05,105.05,0.0,0.0,104.93,104.93,104.93,0.0,0.0,105.02,105.02,105.02,0.0,0.0
2018-01-21,105.06,105.06,105.06,0.0,0.0,105.21,105.21,105.21,0.0,0.0,105.06,105.06,105.06,0.0,0.0,105.07,105.07,105.07,0.0,0.0
2018-01-28,104.86,104.86,104.86,0.0,0.0,104.91,104.91,104.91,0.0,0.0,104.8,104.8,104.8,0.0,0.0,104.9,104.9,104.9,0.0,0.0
2018-02-04,104.73,104.73,104.73,0.0,0.0,104.9,104.9,104.9,0.0,0.0,104.72,104.72,104.72,0.0,0.0,104.79,104.79,104.79,0.0,0.0
2018-02-11,104.79,104.79,104.79,0.0,0.0,104.84,104.84,104.84,0.0,0.0,104.72,104.72,104.72,0.0,0.0,104.83,104.83,104.83,0.0,0.0
2018-02-18,104.81,104.81,104.81,0.0,0.0,104.93,104.93,104.93,0.0,0.0,104.78,104.78,104.78,0.0,0.0,104.8,104.8,104.8,0.0,0.0
2018-02-25,104.82,104.82,104.82,0.0,0.0,104.88,104.88,104.88,0.0,0.0,104.69,104.69,104.69,0.0,0.0,104.79,104.79,104.79,0.0,0.0
2018-03-04,104.85,104.85,104.85,0.0,0.0,104.85,104.85,104.85,0.0,0.0,104.74,104.74,104.74,0.0,0.0,104.84,104.84,104.84,0.0,0.0
2018-03-11,104.83,104.83,104.83,0.0,0.0,104.83,104.83,104.83,0.0,0.0,104.69,104.69,104.69,0.0,0.0,104.7,104.7,104.7,0.0,0.0
2018-03-18,104.7,104.7,104.7,0.0,0.0,104.76,104.76,104.76,0.0,0.0,104.68,104.68,104.68,0.0,0.0,104.74,104.74,104.74,0.0,0.0
2018-03-25,104.8,104.8,104.8,0.0,0.0,104.91,104.91,104.91,0.0,0.0,104.8,104.8,104.8,0.0,0.0,104.88,104.88,104.88,0.0,0.0
2018-04-01,104.6,104.6,104.6,0.0,0.0,104.67,104.67,104.67,0.0,0.0,104.58,104.58,104.58,0.0,0.0,104.63,104.63,104.63,0.0,0.0
2018-04-08,104.6,104.6,104.6,0.0,0.0,104.61,104.61,104.61,0.0,0.0,104.52,104.52,104.52,0.0,0.0,104.61,104.61,104.61,0.0,0.0
2018-04-15,104.5,104.5,104.5,0.0,0.0,104.55,104.55,104.55,0.0,0.0,104.43,104.43,104.43,0.0,0.0,104.43,104.43,104.43,0.0,0.0
2018-04-22,104.4,104.4,104.4,0.0,0.0,104.46,104.46,104.46,0.0,0.0,104.38,104.38,104.38,0.0,0.0,104.41,104.41,104.41,0.0,0.0
2018-04-29,104.49,104.49,104.49,0.0,0.0,104.51,104.51,104.51,0.0,0.0,104.4,104.4,104.4,0.0,0.0,104.4,104.4,104.4,0.0,0.0
2018-05-06,104.6,104.6,104.6,0.0,0.0,104.65,104.65,104.65,0.0,0.0,104.53,104.53,104.53,0.0,0.0,104.57,104.57,104.57,0.0,0.0
2018-05-13,104.5,104.5,104.5,0.0,0.0,104.55,104.55,104.55,0.0,0.0,104.5,104.5,104.5,0.0,0.0,104.55,104.55,104.55,0.0,0.0
2018-05-20,104.72,104.72,104.72,0.0,0.0,104.75,104.75,104.75,0.0,0.0,104.69,104.69,104.69,0.0,0.0,104.74,104.74,104.74,0.0,0.0
2018-05-27,104.66,104.66,104.66,0.0,0.0,104.73,104.73,104.73,0.0,0.0,104.6,104.6,104.6,0.0,0.0,104.68,104.68,104.68,0.0,0.0
2018-06-03,104.99,104.99,104.99,0.0,0.0,105.01,105.01,105.01,0.0,0.0,104.9,104.9,104.9,0.0,0.0,104.9,104.9,104.9,0.0,0.0
2018-06-10,105.06,105.06,105.06,0.0,0.0,105.06,105.06,105.06,0.0,0.0,104.93,104.93,104.93,0.0,0.0,105.06,105.06,105.06,0.0,0.0
2018-06-17,105.04,105.04,105.04,0.0,0.0,105.04,105.04,105.04,0.0,0.0,104.96,104.96,104.96,0.0,0.0,104.96,104.96,104.96,0.0,0.0
2018-06-24,105.04,105.04,105.04,0.0,0.0,105.25,105.25,105.25,0.0,0.0,105.02,105.02,105.02,0.0,0.0,105.02,105.02,105.02,0.0,0.0
2018-07-01,104.99,104.99,104.99,0.0,0.0,105.08,105.08,105.08,0.0,0.0,104.98,104.98,104.98,0.0,0.0,105.0,105.0,105.0,0.0,0.0
2018-07-08,105.18,105.18,105.18,0.0,0.0,105.22,105.22,105.22,0.0,0.0,105.16,105.16,105.16,0.0,0.0,105.18,105.18,105.18,0.0,0.0
2018-07-15,105.26,105.26,105.26,0.0,0.0,105.32,105.32,105.32,0.0,0.0,105.26,105.26,105.26,0.0,0.0,105.3,105.3,105.3,0.0,0.0
2018-07-22,105.29,105.29,105.29,0.0,0.0,105.29,105.29,105.29,0.0,0.0,105.2,105.2,105.2,0.0,0.0,105.28,105.28,105.28,0.0,0.0
2018-07-29,105.1,105.1,105.1,0.0,0.0,105.16,105.16,105.16,0.0,0.0,105.1,105.1,105.1,0.0,0.0,105.16,105.16,105.16,0.0,0.0
2018-08-05,105.07,105.07,105.07,0.0,0.0,105.14,105.14,105.14,0.0,0.0,105.06,105.06,105.06,0.0,0.0,105.11,105.11,105.11,0.0,0.0
2018-08-12,105.12,105.12,105.12,0.0,0.0,105.2,105.2,105.2,0.0,0.0,105.12,105.12,105.12,0.0,0.0,105.18,105.18,105.18,0.0,0.0
2018-08-19,105.19,105.19,105.19,0.0,0.0,105.22,105.22,105.22,0.0,0.0,105.13,105.13,105.13,0.0,0.0,105.22,105.22,105.22,0.0,0.0
2018-08-26,105.18,105.18,105.18,0.0,0.0,105.18,105.18,105.18,0.0,0.0,105.12,105.12,105.12,0.0,0.0,105.17,105.17,105.17,0.0,0.0
2018-09-02,104.87,104.87,104.87,0.0,0.0,104.89,104.89,104.89,0.0,0.0,104.76,104.76,104.76,0.0,0.0,104.87,104.87,104.87,0.0,0.0
2018-09-09,104.85,104.85,104.85,0.0,0.0,104.85,104.85,104.85,0.0,0.0,104.75,104.75,104.75,0.0,0.0,104.85,104.85,104.85,0.0,0.0
2018-09-16,104.61,104.61,104.61,0.0,0.0,104.69,104.69,104.69,0.0,0.0,104.61,104.61,104.61,0.0,0.0,104.61,104.61,104.61,0.0,0.0
2018-09-23,104.67,104.67,104.67,0.0,0.0,104.74,104.74,104.74,0.0,0.0,104.66,104.66,104.66,0.0,0.0,104.73,104.73,104.73,0.0,0.0
2018-09-30,104.49,104.49,104.49,0.0,0.0,104.49,104.49,104.49,0.0,0.0,104.36,104.36,104.36,0.0,0.0,104.48,104.48,104.48,0.0,0.0
2018-10-07,104.46,104.46,104.46,0.0,0.0,104.49,104.49,104.49,0.0,0.0,104.35,104.35,104.35,0.0,0.0,104.46,104.46,104.46,0.0,0.0
