Date,FlexShares Ready Access Variable Income_etf_Open_average,FlexShares Ready Access Variable Income_etf_Open_max,FlexShares Ready Access Variable Income_etf_Open_min,FlexShares Ready Access Variable Income_etf_Open_volatility,FlexShares Ready Access Variable Income_etf_Open_change,FlexShares Ready Access Variable Income_etf_High_average,FlexShares Ready Access Variable Income_etf_High_max,FlexShares Ready Access Variable Income_etf_High_min,FlexShares Ready Access Variable Income_etf_High_volatility,FlexShares Ready Access Variable Income_etf_High_change,FlexShares Ready Access Variable Income_etf_Low_average,FlexShares Ready Access Variable Income_etf_Low_max,FlexShares Ready Access Variable Income_etf_Low_min,FlexShares Ready Access Variable Income_etf_Low_volatility,FlexShares Ready Access Variable Income_etf_Low_change,FlexShares Ready Access Variable Income_etf_Close_average,FlexShares Ready Access Variable Income_etf_Close_max,FlexShares Ready Access Variable Income_etf_Close_min,FlexShares Ready Access Variable Income_etf_Close_volatility,FlexShares Ready Access Variable Income_etf_Close_change
2018-01-14,75.4,75.4,75.4,0.0,0.0,75.47,75.47,75.47,0.0,0.0,75.4,75.4,75.4,0.0,0.0,75.46,75.46,75.46,0.0,0.0
2018-01-21,75.42,75.42,75.42,0.0,0.0,75.42,75.42,75.42,0.0,0.0,75.42,75.42,75.42,0.0,0.0,75.42,75.42,75.42,0.0,0.0
2018-01-28,75.23,75.23,75.23,0.0,0.0,75.43,75.43,75.43,0.0,0.0,75.23,75.23,75.23,0.0,0.0,75.34,75.34,75.34,0.0,0.0
2018-02-04,75.47,75.47,75.47,0.0,0.0,75.49,75.49,75.49,0.0,0.0,75.41,75.41,75.41,0.0,0.0,75.46,75.46,75.46,0.0,0.0
2018-02-11,75.38,75.38,75.38,0.0,0.0,75.4,75.4,75.4,0.0,0.0,75.37,75.37,75.37,0.0,0.0,75.4,75.4,75.4,0.0,0.0
2018-02-18,75.4,75.4,75.4,0.0,0.0,75.41,75.41,75.41,0.0,0.0,75.37,75.37,75.37,0.0,0.0,75.41,75.41,75.41,0.0,0.0
2018-02-25,75.24,75.24,75.24,0.0,0.0,75.3,75.3,75.3,0.0,0.0,75.24,75.24,75.24,0.0,0.0,75.29,75.29,75.29,0.0,0.0
2018-03-04,75.21,75.21,75.21,0.0,0.0,75.32,75.32,75.32,0.0,0.0,75.21,75.21,75.21,0.0,0.0,75.31,75.31,75.31,0.0,0.0
2018-03-11,75.31,75.31,75.31,0.0,0.0,75.33,75.33,75.33,0.0,0.0,75.31,75.31,75.31,0.0,0.0,75.32,75.32,75.32,0.0,0.0
2018-03-18,75.31,75.31,75.31,0.0,0.0,75.35,75.35,75.35,0.0,0.0,75.31,75.31,75.31,0.0,0.0,75.35,75.35,75.35,0.0,0.0
2018-03-25,75.2,75.2,75.2,0.0,0.0,75.33,75.33,75.33,0.0,0.0,75.2,75.2,75.2,0.0,0.0,75.32,75.32,75.32,0.0,0.0
2018-04-01,75.25,75.25,75.25,0.0,0.0,75.26,75.26,75.26,0.0,0.0,75.15,75.15,75.15,0.0,0.0,75.15,75.15,75.15,0.0,0.0
2018-04-08,75.6,75.6,75.6,0.0,0.0,75.6,75.6,75.6,0.0,0.0,75.25,75.25,75.25,0.0,0.0,75.29,75.29,75.29,0.0,0.0
2018-04-15,75.23,75.23,75.23,0.0,0.0,75.34,75.34,75.34,0.0,0.0,75.23,75.23,75.23,0.0,0.0,75.31,75.31,75.31,0.0,0.0
2018-04-22,75.31,75.31,75.31,0.0,0.0,75.32,75.32,75.32,0.0,0.0,75.31,75.31,75.31,0.0,0.0,75.31,75.31,75.31,0.0,0.0
2018-04-29,75.17,75.17,75.17,0.0,0.0,75.35,75.35,75.35,0.0,0.0,75.17,75.17,75.17,0.0,0.0,75.3,75.3,75.3,0.0,0.0
2018-05-06,75.34,75.34,75.34,0.0,0.0,75.39,75.39,75.39,0.0,0.0,75.2,75.2,75.2,0.0,0.0,75.39,75.39,75.39,0.0,0.0
2018-05-13,75.4,75.4,75.4,0.0,0.0,75.44,75.44,75.44,0.0,0.0,75.4,75.4,75.4,0.0,0.0,75.44,75.44,75.44,0.0,0.0
2018-05-20,75.46,75.46,75.46,0.0,0.0,75.46,75.46,75.46,0.0,0.0,75.45,75.45,75.45,0.0,0.0,75.45,75.45,75.45,0.0,0.0
2018-05-27,75.32,75.32,75.32,0.0,0.0,75.34,75.34,75.34,0.0,0.0,75.32,75.32,75.32,0.0,0.0,75.33,75.33,75.33,0.0,0.0
2018-06-03,75.32,75.32,75.32,0.0,0.0,75.32,75.32,75.32,0.0,0.0,75.27,75.27,75.27,0.0,0.0,75.27,75.27,75.27,0.0,0.0
2018-06-10,75.31,75.31,75.31,0.0,0.0,75.41,75.41,75.41,0.0,0.0,75.31,75.31,75.31,0.0,0.0,75.35,75.35,75.35,0.0,0.0
2018-06-17,75.4,75.4,75.4,0.0,0.0,75.5,75.5,75.5,0.0,0.0,75.4,75.4,75.4,0.0,0.0,75.41,75.41,75.41,0.0,0.0
2018-06-24,75.45,75.45,75.45,0.0,0.0,75.45,75.45,75.45,0.0,0.0,75.41,75.41,75.41,0.0,0.0,75.41,75.41,75.41,0.0,0.0
