Date,PowerShares S&P International Developed High Divid_etf_Open_average,PowerShares S&P International Developed High Divid_etf_Open_max,PowerShares S&P International Developed High Divid_etf_Open_min,PowerShares S&P International Developed High Divid_etf_Open_volatility,PowerShares S&P International Developed High Divid_etf_Open_change,PowerShares S&P International Developed High Divid_etf_High_average,PowerShares S&P International Developed High Divid_etf_High_max,PowerShares S&P International Developed High Divid_etf_High_min,PowerShares S&P International Developed High Divid_etf_High_volatility,PowerShares S&P International Developed High Divid_etf_High_change,PowerShares S&P International Developed High Divid_etf_Low_average,PowerShares S&P International Developed High Divid_etf_Low_max,PowerShares S&P International Developed High Divid_etf_Low_min,PowerShares S&P International Developed High Divid_etf_Low_volatility,PowerShares S&P International Developed High Divid_etf_Low_change,PowerShares S&P International Developed High Divid_etf_Close_average,PowerShares S&P International Developed High Divid_etf_Close_max,PowerShares S&P International Developed High Divid_etf_Close_min,PowerShares S&P International Developed High Divid_etf_Close_volatility,PowerShares S&P International Developed High Divid_etf_Close_change
2018-01-14,29.8,29.8,29.8,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2018-01-21,30.18,30.18,30.18,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2018-01-28,29.8,29.8,29.8,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.69,29.69,29.69,0.0,0.0
2018-02-04,27.75,27.75,27.75,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.92,27.92,27.92,0.0,0.0
2018-02-11,29.0,29.0,29.0,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.36,29.36,29.36,0.0,0.0
2018-02-18,29.19,29.19,29.19,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.13,29.13,29.13,0.0,0.0,29.13,29.13,29.13,0.0,0.0
2018-02-25,28.38,28.38,28.38,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.69,28.69,28.69,0.0,0.0
2018-03-04,29.05,29.05,29.05,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.05,29.05,29.05,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2018-03-11,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.78,28.78,28.78,0.0,0.0
2018-03-18,28.51,28.51,28.51,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.28,28.28,28.28,0.0,0.0
