Date,Fidelity MSCI Health Care_Open_average,Fidelity MSCI Health Care_Open_max,Fidelity MSCI Health Care_Open_min,Fidelity MSCI Health Care_Open_volatility,Fidelity MSCI Health Care_Open_change,Fidelity MSCI Health Care_High_average,Fidelity MSCI Health Care_High_max,Fidelity MSCI Health Care_High_min,Fidelity MSCI Health Care_High_volatility,Fidelity MSCI Health Care_High_change,Fidelity MSCI Health Care_Low_average,Fidelity MSCI Health Care_Low_max,Fidelity MSCI Health Care_Low_min,Fidelity MSCI Health Care_Low_volatility,Fidelity MSCI Health Care_Low_change,Fidelity MSCI Health Care_Close_average,Fidelity MSCI Health Care_Close_max,Fidelity MSCI Health Care_Close_min,Fidelity MSCI Health Care_Close_volatility,Fidelity MSCI Health Care_Close_change
2018-01-14,42.73,42.73,42.73,0.0,0.0,43.11,43.11,43.11,0.0,0.0,42.73,42.73,42.73,0.0,0.0,43.11,43.11,43.11,0.0,0.0
2018-01-21,44.24,44.24,44.24,0.0,0.0,44.44,44.44,44.44,0.0,0.0,44.21,44.21,44.21,0.0,0.0,44.23,44.23,44.23,0.0,0.0
2018-01-28,41.85,41.85,41.85,0.0,0.0,42.15,42.15,42.15,0.0,0.0,40.08,40.08,40.08,0.0,0.0,40.28,40.28,40.28,0.0,0.0
2018-02-04,40.07,40.07,40.07,0.0,0.0,40.52,40.52,40.52,0.0,0.0,39.7,39.7,39.7,0.0,0.0,40.21,40.21,40.21,0.0,0.0
2018-02-11,41.3,41.3,41.3,0.0,0.0,41.82,41.82,41.82,0.0,0.0,41.28,41.28,41.28,0.0,0.0,41.53,41.53,41.53,0.0,0.0
2018-02-18,41.62,41.62,41.62,0.0,0.0,42.03,42.03,42.03,0.0,0.0,41.58,41.58,41.58,0.0,0.0,41.99,41.99,41.99,0.0,0.0
2018-02-25,40.59,40.59,40.59,0.0,0.0,41.27,41.27,41.27,0.0,0.0,40.52,40.52,40.52,0.0,0.0,41.14,41.14,41.14,0.0,0.0
2018-03-04,42.33,42.33,42.33,0.0,0.0,42.36,42.36,42.36,0.0,0.0,42.15,42.15,42.15,0.0,0.0,42.18,42.18,42.18,0.0,0.0
2018-03-11,41.66,41.66,41.66,0.0,0.0,41.66,41.66,41.66,0.0,0.0,40.77,40.77,40.77,0.0,0.0,41.1,41.1,41.1,0.0,0.0
2018-03-18,39.54,39.54,39.54,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.05,39.05,39.05,0.0,0.0,39.88,39.88,39.88,0.0,0.0
2018-03-25,39.64,39.64,39.64,0.0,0.0,39.81,39.81,39.81,0.0,0.0,38.45,38.45,38.45,0.0,0.0,38.79,38.79,38.79,0.0,0.0
2018-04-01,39.25,39.25,39.25,0.0,0.0,39.9,39.9,39.9,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.37,39.37,39.37,0.0,0.0
2018-04-08,40.31,40.31,40.31,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.3,40.3,40.3,0.0,0.0
2018-04-15,40.4,40.4,40.4,0.0,0.0,40.42,40.42,40.42,0.0,0.0,40.13,40.13,40.13,0.0,0.0,40.31,40.31,40.31,0.0,0.0
2018-04-22,40.89,40.89,40.89,0.0,0.0,40.89,40.89,40.89,0.0,0.0,40.16,40.16,40.16,0.0,0.0,40.17,40.17,40.17,0.0,0.0
