Date,WisdomTree Europe Multifactor_etf_Open_average,WisdomTree Europe Multifactor_etf_Open_max,WisdomTree Europe Multifactor_etf_Open_min,WisdomTree Europe Multifactor_etf_Open_volatility,WisdomTree Europe Multifactor_etf_Open_change,WisdomTree Europe Multifactor_etf_High_average,WisdomTree Europe Multifactor_etf_High_max,WisdomTree Europe Multifactor_etf_High_min,WisdomTree Europe Multifactor_etf_High_volatility,WisdomTree Europe Multifactor_etf_High_change,WisdomTree Europe Multifactor_etf_Low_average,WisdomTree Europe Multifactor_etf_Low_max,WisdomTree Europe Multifactor_etf_Low_min,WisdomTree Europe Multifactor_etf_Low_volatility,WisdomTree Europe Multifactor_etf_Low_change,WisdomTree Europe Multifactor_etf_Close_average,WisdomTree Europe Multifactor_etf_Close_max,WisdomTree Europe Multifactor_etf_Close_min,WisdomTree Europe Multifactor_etf_Close_volatility,WisdomTree Europe Multifactor_etf_Close_change
2018-01-14,33.41,33.41,33.41,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.32,33.32,33.32,0.0,0.0
2018-01-21,33.62,33.62,33.62,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.87,33.87,33.87,0.0,0.0
2018-01-28,32.99,32.99,32.99,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.99,32.99,32.99,0.0,0.0
2018-02-04,30.64,30.64,30.64,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.33,30.33,30.33,0.0,0.0
2018-02-11,31.96,31.96,31.96,0.0,0.0,32.01,32.01,32.01,0.0,0.0,31.96,31.96,31.96,0.0,0.0,32.01,32.01,32.01,0.0,0.0
2018-02-18,31.79,31.79,31.79,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.79,31.79,31.79,0.0,0.0
2018-02-25,31.24,31.24,31.24,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.24,31.24,31.24,0.0,0.0
2018-03-04,31.52,31.52,31.52,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2018-03-11,31.66,31.66,31.66,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.66,31.66,31.66,0.0,0.0
2018-03-18,31.04,31.04,31.04,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2018-03-25,31.26,31.26,31.26,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2018-04-01,31.63,31.63,31.63,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2018-04-08,31.89,31.89,31.89,0.0,0.0,32.03,32.03,32.03,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2018-04-15,32.19,32.19,32.19,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.21,32.21,32.21,0.0,0.0
2018-04-22,32.21,32.21,32.21,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.16,32.16,32.16,0.0,0.0
2018-04-29,32.25,32.25,32.25,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2018-05-06,32.29,32.29,32.29,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.29,32.29,32.29,0.0,0.0
2018-05-13,32.25,32.25,32.25,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2018-05-20,31.47,31.47,31.47,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2018-05-27,30.76,30.76,30.76,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2018-06-03,31.26,31.26,31.26,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.26,31.26,31.26,0.0,0.0
