Date,HAS_Open_average,HAS_Open_max,HAS_Open_min,HAS_Open_volatility,HAS_Open_change,HAS_High_average,HAS_High_max,HAS_High_min,HAS_High_volatility,HAS_High_change,HAS_Low_average,HAS_Low_max,HAS_Low_min,HAS_Low_volatility,HAS_Low_change,HAS_Close_average,HAS_Close_max,HAS_Close_min,HAS_Close_volatility,HAS_Close_change,HAS_Volume_average,HAS_Volume_max,HAS_Volume_min,HAS_Volume_volatility,HAS_Volume_change
2018-01-14,91.38,92.58,90.58,2.0,-2.0,92.725,93.15,92.14,1.0100000000000051,-0.14999999999999147,90.09,91.3,88.3,3.0,-1.759999999999991,91.52250000000001,92.56,90.52,2.0400000000000063,1.1700000000000017,1669743,1910398,1386979,523419,339000
2018-01-21,94.126,96.49,91.85,4.640000000000001,3.1899999999999977,95.986,97.46,92.49,4.969999999999999,3.6200000000000045,91.934,95.22,89.69,5.530000000000001,1.7800000000000011,94.026,95.77,90.86,4.909999999999997,2.530000000000001,2355245,3606779,1475003,2131776,949617
2018-01-28,94.176,94.75,93.35,1.4000000000000057,1.4000000000000057,95.214,96.3,94.5,1.7999999999999972,0.8799999999999955,93.452,93.86,92.82,1.0400000000000063,0.9300000000000068,94.58,95.74,94.12,1.6199999999999903,-0.0799999999999983,1303956,1823310,935486,887824,887824
2018-02-04,95.164,101.01,90.6,10.41000000000001,3.6899999999999977,98.532,103.39,94.34,9.049999999999997,4.540000000000006,92.922,96.28,89.89,6.390000000000001,3.740000000000009,96.33800000000001,102.22,91.33,10.89,6.400000000000006,3645660,7270568,1990865,5279703,920628
2018-02-11,96.8,98.41,95.16,3.25,-1.1799999999999926,98.502,100.69,97.28,3.4099999999999966,1.3599999999999994,95.414,96.34,94.68,1.6599999999999966,-0.6400000000000006,97.02199999999999,98.85,95.56,3.289999999999992,2.219999999999999,1702412,2570355,1270626,1299729,1257392
2018-02-18,98.175,98.8,97.2,1.5999999999999943,-1.3199999999999932,98.9975,100.26,97.72,2.5400000000000063,-1.230000000000004,96.945,97.58,95.97,1.6099999999999994,-1.2800000000000011,97.905,99.07,97.31,1.759999999999991,-0.29999999999999716,1509145,1916783,1289988,626795,-113674
2018-02-25,96.866,98.88,93.96,4.920000000000002,-3.8500000000000085,98.144,100.55,95.93,4.61999999999999,-2.969999999999999,95.58,97.36,93.55,3.8100000000000023,-3.8100000000000023,96.276,98.52,94.4,4.11999999999999,-2.8699999999999903,1129548,1397997,888361,509636,-342554
2018-03-04,94.55,96.8,91.08,5.719999999999999,-4.320000000000007,95.388,97.16,92.15,5.009999999999991,-5.009999999999991,93.44,95.38,89.84,5.539999999999992,-4.939999999999998,94.346,96.8,91.46,5.340000000000003,-5.340000000000003,1336875,3198328,701800,2496528,2430205
2018-03-11,89.774,92.0,88.22,3.780000000000001,-3.780000000000001,90.088,92.18,88.64,3.5400000000000063,-3.470000000000013,88.29,90.0,87.3,2.700000000000003,-2.5799999999999983,88.768,90.07,87.74,2.3299999999999983,-2.3299999999999983,1809783,2079350,1353487,725863,-52252
2018-03-18,86.158,87.11,85.25,1.8599999999999994,-1.8599999999999994,86.662,87.29,85.94,1.3500000000000085,-1.3500000000000085,85.062,85.99,84.06,1.9299999999999926,-1.9299999999999926,85.526,86.6,84.22,2.3799999999999955,-2.230000000000004,1681212,1957403,1536402,421001,50222
