Date,iShares Edge MSCI Multifactor Global_etf_Open_average,iShares Edge MSCI Multifactor Global_etf_Open_max,iShares Edge MSCI Multifactor Global_etf_Open_min,iShares Edge MSCI Multifactor Global_etf_Open_volatility,iShares Edge MSCI Multifactor Global_etf_Open_change,iShares Edge MSCI Multifactor Global_etf_High_average,iShares Edge MSCI Multifactor Global_etf_High_max,iShares Edge MSCI Multifactor Global_etf_High_min,iShares Edge MSCI Multifactor Global_etf_High_volatility,iShares Edge MSCI Multifactor Global_etf_High_change,iShares Edge MSCI Multifactor Global_etf_Low_average,iShares Edge MSCI Multifactor Global_etf_Low_max,iShares Edge MSCI Multifactor Global_etf_Low_min,iShares Edge MSCI Multifactor Global_etf_Low_volatility,iShares Edge MSCI Multifactor Global_etf_Low_change,iShares Edge MSCI Multifactor Global_etf_Close_average,iShares Edge MSCI Multifactor Global_etf_Close_max,iShares Edge MSCI Multifactor Global_etf_Close_min,iShares Edge MSCI Multifactor Global_etf_Close_volatility,iShares Edge MSCI Multifactor Global_etf_Close_change
2018-01-14,32.34,32.34,32.34,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.5,32.5,32.5,0.0,0.0
2018-01-21,32.86,32.86,32.86,0.0,0.0,33.19,33.19,33.19,0.0,0.0,32.85,32.85,32.85,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2018-01-28,32.22,32.22,32.22,0.0,0.0,32.22,32.22,32.22,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.62,31.62,31.62,0.0,0.0
2018-02-04,29.97,29.97,29.97,0.0,0.0,30.26,30.26,30.26,0.0,0.0,29.38,29.38,29.38,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2018-02-11,31.67,31.67,31.67,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.81,31.81,31.81,0.0,0.0
2018-02-18,31.59,31.59,31.59,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2018-02-25,30.63,30.63,30.63,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.59,30.59,30.59,0.0,0.0,31.04,31.04,31.04,0.0,0.0
2018-03-04,31.29,31.29,31.29,0.0,0.0,31.82,31.82,31.82,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.74,31.74,31.74,0.0,0.0
2018-03-11,31.58,31.58,31.58,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.58,31.58,31.58,0.0,0.0
2018-03-18,30.89,30.89,30.89,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0
2018-03-25,30.64,30.64,30.64,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.92,30.92,30.92,0.0,0.0
2018-04-01,30.73,30.73,30.73,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2018-04-08,31.16,31.16,31.16,0.0,0.0,31.16,31.16,31.16,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2018-04-15,31.16,31.16,31.16,0.0,0.0,31.17,31.17,31.17,0.0,0.0,30.78,30.78,30.78,0.0,0.0,31.02,31.02,31.02,0.0,0.0
2018-04-22,30.84,30.84,30.84,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2018-04-29,30.43,30.43,30.43,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.77,30.77,30.77,0.0,0.0
2018-05-06,31.33,31.33,31.33,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.42,31.42,31.42,0.0,0.0
2018-05-13,31.26,31.26,31.26,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.26,31.26,31.26,0.0,0.0
