Date,Goldman Sachs Hedge Industry VIP_Open_average,Goldman Sachs Hedge Industry VIP_Open_max,Goldman Sachs Hedge Industry VIP_Open_min,Goldman Sachs Hedge Industry VIP_Open_volatility,Goldman Sachs Hedge Industry VIP_Open_change,Goldman Sachs Hedge Industry VIP_High_average,Goldman Sachs Hedge Industry VIP_High_max,Goldman Sachs Hedge Industry VIP_High_min,Goldman Sachs Hedge Industry VIP_High_volatility,Goldman Sachs Hedge Industry VIP_High_change,Goldman Sachs Hedge Industry VIP_Low_average,Goldman Sachs Hedge Industry VIP_Low_max,Goldman Sachs Hedge Industry VIP_Low_min,Goldman Sachs Hedge Industry VIP_Low_volatility,Goldman Sachs Hedge Industry VIP_Low_change,Goldman Sachs Hedge Industry VIP_Close_average,Goldman Sachs Hedge Industry VIP_Close_max,Goldman Sachs Hedge Industry VIP_Close_min,Goldman Sachs Hedge Industry VIP_Close_volatility,Goldman Sachs Hedge Industry VIP_Close_change
2018-01-14,55.96,55.96,55.96,0.0,0.0,56.54,56.54,56.54,0.0,0.0,55.96,55.96,55.96,0.0,0.0,56.52,56.52,56.52,0.0,0.0
2018-01-21,57.21,57.21,57.21,0.0,0.0,57.27,57.27,57.27,0.0,0.0,56.8,56.8,56.8,0.0,0.0,56.8,56.8,56.8,0.0,0.0
2018-01-28,54.77,54.77,54.77,0.0,0.0,55.46,55.46,55.46,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.59,53.59,53.59,0.0,0.0
2018-02-04,52.77,52.77,52.77,0.0,0.0,53.28,53.28,53.28,0.0,0.0,52.48,52.48,52.48,0.0,0.0,53.14,53.14,53.14,0.0,0.0
2018-02-11,54.9,54.9,54.9,0.0,0.0,54.9,54.9,54.9,0.0,0.0,54.66,54.66,54.66,0.0,0.0,54.66,54.66,54.66,0.0,0.0
2018-02-18,56.03,56.03,56.03,0.0,0.0,56.13,56.13,56.13,0.0,0.0,55.88,55.88,55.88,0.0,0.0,56.06,56.06,56.06,0.0,0.0
2018-02-25,54.4,54.4,54.4,0.0,0.0,55.45,55.45,55.45,0.0,0.0,54.33,54.33,54.33,0.0,0.0,55.4,55.4,55.4,0.0,0.0
2018-03-04,57.97,57.97,57.97,0.0,0.0,57.97,57.97,57.97,0.0,0.0,57.25,57.25,57.25,0.0,0.0,57.39,57.39,57.39,0.0,0.0
2018-03-11,56.04,56.04,56.04,0.0,0.0,56.07,56.07,56.07,0.0,0.0,55.23,55.23,55.23,0.0,0.0,55.56,55.56,55.56,0.0,0.0
2018-03-18,53.93,53.93,53.93,0.0,0.0,54.33,54.33,54.33,0.0,0.0,53.42,53.42,53.42,0.0,0.0,54.32,54.32,54.32,0.0,0.0
