Date,USAA MSCI USA Value Momentum Blend_Open_average,USAA MSCI USA Value Momentum Blend_Open_max,USAA MSCI USA Value Momentum Blend_Open_min,USAA MSCI USA Value Momentum Blend_Open_volatility,USAA MSCI USA Value Momentum Blend_Open_change,USAA MSCI USA Value Momentum Blend_High_average,USAA MSCI USA Value Momentum Blend_High_max,USAA MSCI USA Value Momentum Blend_High_min,USAA MSCI USA Value Momentum Blend_High_volatility,USAA MSCI USA Value Momentum Blend_High_change,USAA MSCI USA Value Momentum Blend_Low_average,USAA MSCI USA Value Momentum Blend_Low_max,USAA MSCI USA Value Momentum Blend_Low_min,USAA MSCI USA Value Momentum Blend_Low_volatility,USAA MSCI USA Value Momentum Blend_Low_change,USAA MSCI USA Value Momentum Blend_Close_average,USAA MSCI USA Value Momentum Blend_Close_max,USAA MSCI USA Value Momentum Blend_Close_min,USAA MSCI USA Value Momentum Blend_Close_volatility,USAA MSCI USA Value Momentum Blend_Close_change
2018-01-14,54.8,54.8,54.8,0.0,0.0,54.85,54.85,54.85,0.0,0.0,54.71,54.71,54.71,0.0,0.0,54.85,54.85,54.85,0.0,0.0
2018-01-21,55.2,55.2,55.2,0.0,0.0,55.2,55.2,55.2,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2018-01-28,52.53,52.53,52.53,0.0,0.0,52.88,52.88,52.88,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.25,51.25,51.25,0.0,0.0
2018-02-04,50.56,50.56,50.56,0.0,0.0,51.15,51.15,51.15,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.85,50.85,50.85,0.0,0.0
2018-02-11,52.3,52.3,52.3,0.0,0.0,53.85,53.85,53.85,0.0,0.0,52.3,52.3,52.3,0.0,0.0,52.49,52.49,52.49,0.0,0.0
2018-02-18,52.57,52.57,52.57,0.0,0.0,52.9,52.9,52.9,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.84,52.84,52.84,0.0,0.0
2018-02-25,50.87,50.87,50.87,0.0,0.0,51.67,51.67,51.67,0.0,0.0,50.87,50.87,50.87,0.0,0.0,51.67,51.67,51.67,0.0,0.0
2018-03-04,53.06,53.06,53.06,0.0,0.0,53.15,53.15,53.15,0.0,0.0,52.98,52.98,52.98,0.0,0.0,53.07,53.07,53.07,0.0,0.0
2018-03-11,52.6,52.6,52.6,0.0,0.0,52.6,52.6,52.6,0.0,0.0,51.96,51.96,51.96,0.0,0.0,52.29,52.29,52.29,0.0,0.0
2018-03-18,50.83,50.83,50.83,0.0,0.0,51.38,51.38,51.38,0.0,0.0,50.62,50.62,50.62,0.0,0.0,51.33,51.33,51.33,0.0,0.0
2018-03-25,50.9,50.9,50.9,0.0,0.0,51.09,51.09,51.09,0.0,0.0,49.53,49.53,49.53,0.0,0.0,50.0,50.0,50.0,0.0,0.0
