Date,Direxion NASDAQ-100 Equal Weighted Shares_etf_Open_average,Direxion NASDAQ-100 Equal Weighted Shares_etf_Open_max,Direxion NASDAQ-100 Equal Weighted Shares_etf_Open_min,Direxion NASDAQ-100 Equal Weighted Shares_etf_Open_volatility,Direxion NASDAQ-100 Equal Weighted Shares_etf_Open_change,Direxion NASDAQ-100 Equal Weighted Shares_etf_High_average,Direxion NASDAQ-100 Equal Weighted Shares_etf_High_max,Direxion NASDAQ-100 Equal Weighted Shares_etf_High_min,Direxion NASDAQ-100 Equal Weighted Shares_etf_High_volatility,Direxion NASDAQ-100 Equal Weighted Shares_etf_High_change,Direxion NASDAQ-100 Equal Weighted Shares_etf_Low_average,Direxion NASDAQ-100 Equal Weighted Shares_etf_Low_max,Direxion NASDAQ-100 Equal Weighted Shares_etf_Low_min,Direxion NASDAQ-100 Equal Weighted Shares_etf_Low_volatility,Direxion NASDAQ-100 Equal Weighted Shares_etf_Low_change,Direxion NASDAQ-100 Equal Weighted Shares_etf_Close_average,Direxion NASDAQ-100 Equal Weighted Shares_etf_Close_max,Direxion NASDAQ-100 Equal Weighted Shares_etf_Close_min,Direxion NASDAQ-100 Equal Weighted Shares_etf_Close_volatility,Direxion NASDAQ-100 Equal Weighted Shares_etf_Close_change
2018-01-14,45.99,45.99,45.99,0.0,0.0,46.02,46.02,46.02,0.0,0.0,45.8,45.8,45.8,0.0,0.0,46.0,46.0,46.0,0.0,0.0
2018-01-21,46.51,46.51,46.51,0.0,0.0,47.0,47.0,47.0,0.0,0.0,46.51,46.51,46.51,0.0,0.0,46.95,46.95,46.95,0.0,0.0
2018-01-28,45.79,45.79,45.79,0.0,0.0,45.79,45.79,45.79,0.0,0.0,45.2,45.2,45.2,0.0,0.0,45.21,45.21,45.21,0.0,0.0
2018-02-04,42.66,42.66,42.66,0.0,0.0,43.0,43.0,43.0,0.0,0.0,41.31,41.31,41.31,0.0,0.0,42.7,42.7,42.7,0.0,0.0
2018-02-11,44.93,44.93,44.93,0.0,0.0,45.21,45.21,45.21,0.0,0.0,44.73,44.73,44.73,0.0,0.0,44.84,44.84,44.84,0.0,0.0
2018-02-18,44.96,44.96,44.96,0.0,0.0,45.39,45.39,45.39,0.0,0.0,44.67,44.67,44.67,0.0,0.0,45.34,45.34,45.34,0.0,0.0
2018-02-25,43.99,43.99,43.99,0.0,0.0,44.85,44.85,44.85,0.0,0.0,43.79,43.79,43.79,0.0,0.0,44.85,44.85,44.85,0.0,0.0
2018-03-04,46.47,46.47,46.47,0.0,0.0,46.95,46.95,46.95,0.0,0.0,46.34,46.34,46.34,0.0,0.0,46.95,46.95,46.95,0.0,0.0
2018-03-11,46.59,46.59,46.59,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.47,46.47,46.47,0.0,0.0,46.5,46.5,46.5,0.0,0.0
2018-03-18,44.4,44.4,44.4,0.0,0.0,44.5,44.5,44.5,0.0,0.0,43.32,43.32,43.32,0.0,0.0,43.32,43.32,43.32,0.0,0.0
