Date,SPDR Solactive Canada_Open_average,SPDR Solactive Canada_Open_max,SPDR Solactive Canada_Open_min,SPDR Solactive Canada_Open_volatility,SPDR Solactive Canada_Open_change,SPDR Solactive Canada_High_average,SPDR Solactive Canada_High_max,SPDR Solactive Canada_High_min,SPDR Solactive Canada_High_volatility,SPDR Solactive Canada_High_change,SPDR Solactive Canada_Low_average,SPDR Solactive Canada_Low_max,SPDR Solactive Canada_Low_min,SPDR Solactive Canada_Low_volatility,SPDR Solactive Canada_Low_change,SPDR Solactive Canada_Close_average,SPDR Solactive Canada_Close_max,SPDR Solactive Canada_Close_min,SPDR Solactive Canada_Close_volatility,SPDR Solactive Canada_Close_change
2018-01-14,62.13,62.13,62.13,0.0,0.0,62.13,62.13,62.13,0.0,0.0,62.13,62.13,62.13,0.0,0.0,62.13,62.13,62.13,0.0,0.0
2018-01-21,62.37,62.37,62.37,0.0,0.0,62.43,62.43,62.43,0.0,0.0,62.23,62.23,62.23,0.0,0.0,62.23,62.23,62.23,0.0,0.0
2018-01-28,59.44,59.44,59.44,0.0,0.0,59.59,59.59,59.59,0.0,0.0,58.49,58.49,58.49,0.0,0.0,58.49,58.49,58.49,0.0,0.0
2018-02-04,57.8,57.8,57.8,0.0,0.0,58.06,58.06,58.06,0.0,0.0,57.8,57.8,57.8,0.0,0.0,58.06,58.06,58.06,0.0,0.0
2018-02-11,59.02,59.02,59.02,0.0,0.0,59.02,59.02,59.02,0.0,0.0,59.02,59.02,59.02,0.0,0.0,59.02,59.02,59.02,0.0,0.0
2018-02-18,59.3,59.3,59.3,0.0,0.0,59.41,59.41,59.41,0.0,0.0,59.3,59.3,59.3,0.0,0.0,59.41,59.41,59.41,0.0,0.0
2018-02-25,56.73,56.73,56.73,0.0,0.0,57.35,57.35,57.35,0.0,0.0,56.73,56.73,56.73,0.0,0.0,57.35,57.35,57.35,0.0,0.0
2018-03-04,58.38,58.38,58.38,0.0,0.0,58.38,58.38,58.38,0.0,0.0,58.38,58.38,58.38,0.0,0.0,58.38,58.38,58.38,0.0,0.0
2018-03-11,57.47,57.47,57.47,0.0,0.0,57.47,57.47,57.47,0.0,0.0,57.24,57.24,57.24,0.0,0.0,57.29,57.29,57.29,0.0,0.0
2018-03-18,56.71,56.71,56.71,0.0,0.0,56.91,56.91,56.91,0.0,0.0,56.52,56.52,56.52,0.0,0.0,56.52,56.52,56.52,0.0,0.0
2018-03-25,57.08,57.08,57.08,0.0,0.0,57.16,57.16,57.16,0.0,0.0,56.69,56.69,56.69,0.0,0.0,56.69,56.69,56.69,0.0,0.0
2018-04-01,58.0,58.0,58.0,0.0,0.0,58.24,58.24,58.24,0.0,0.0,58.0,58.0,58.0,0.0,0.0,58.24,58.24,58.24,0.0,0.0
2018-04-08,58.35,58.35,58.35,0.0,0.0,58.35,58.35,58.35,0.0,0.0,58.35,58.35,58.35,0.0,0.0,58.35,58.35,58.35,0.0,0.0
2018-04-15,58.34,58.34,58.34,0.0,0.0,58.34,58.34,58.34,0.0,0.0,58.22,58.22,58.22,0.0,0.0,58.27,58.27,58.27,0.0,0.0
2018-04-22,59.02,59.02,59.02,0.0,0.0,59.02,59.02,59.02,0.0,0.0,58.89,58.89,58.89,0.0,0.0,58.89,58.89,58.89,0.0,0.0
2018-04-29,59.08,59.08,59.08,0.0,0.0,59.08,59.08,59.08,0.0,0.0,59.08,59.08,59.08,0.0,0.0,59.08,59.08,59.08,0.0,0.0
2018-05-06,60.21,60.21,60.21,0.0,0.0,60.21,60.21,60.21,0.0,0.0,60.21,60.21,60.21,0.0,0.0,60.21,60.21,60.21,0.0,0.0
2018-05-13,60.35,60.35,60.35,0.0,0.0,60.42,60.42,60.42,0.0,0.0,60.29,60.29,60.29,0.0,0.0,60.39,60.39,60.39,0.0,0.0
2018-05-20,59.73,59.73,59.73,0.0,0.0,59.73,59.73,59.73,0.0,0.0,59.73,59.73,59.73,0.0,0.0,59.73,59.73,59.73,0.0,0.0
2018-05-27,59.16,59.16,59.16,0.0,0.0,59.16,59.16,59.16,0.0,0.0,59.04,59.04,59.04,0.0,0.0,59.04,59.04,59.04,0.0,0.0
2018-06-03,59.62,59.62,59.62,0.0,0.0,59.65,59.65,59.65,0.0,0.0,59.52,59.52,59.52,0.0,0.0,59.52,59.52,59.52,0.0,0.0
2018-06-10,59.04,59.04,59.04,0.0,0.0,59.12,59.12,59.12,0.0,0.0,58.98,58.98,58.98,0.0,0.0,59.12,59.12,59.12,0.0,0.0
2018-06-17,58.52,58.52,58.52,0.0,0.0,58.71,58.71,58.71,0.0,0.0,58.52,58.52,58.52,0.0,0.0,58.71,58.71,58.71,0.0,0.0
2018-06-24,58.34,58.34,58.34,0.0,0.0,58.38,58.38,58.38,0.0,0.0,58.04,58.04,58.04,0.0,0.0,58.29,58.29,58.29,0.0,0.0
2018-07-01,59.02,59.02,59.02,0.0,0.0,59.03,59.03,59.03,0.0,0.0,59.02,59.02,59.02,0.0,0.0,59.03,59.03,59.03,0.0,0.0
2018-07-08,59.73,59.73,59.73,0.0,0.0,59.9,59.9,59.9,0.0,0.0,59.73,59.73,59.73,0.0,0.0,59.84,59.84,59.84,0.0,0.0
2018-07-15,59.73,59.73,59.73,0.0,0.0,59.73,59.73,59.73,0.0,0.0,59.63,59.63,59.63,0.0,0.0,59.63,59.63,59.63,0.0,0.0
2018-07-22,59.59,59.59,59.59,0.0,0.0,59.59,59.59,59.59,0.0,0.0,59.59,59.59,59.59,0.0,0.0,59.59,59.59,59.59,0.0,0.0
2018-07-29,60.29,60.29,60.29,0.0,0.0,60.48,60.48,60.48,0.0,0.0,60.29,60.29,60.29,0.0,0.0,60.42,60.42,60.42,0.0,0.0
2018-08-05,58.95,58.95,58.95,0.0,0.0,58.95,58.95,58.95,0.0,0.0,58.95,58.95,58.95,0.0,0.0,58.95,58.95,58.95,0.0,0.0
2018-08-12,59.94,59.94,59.94,0.0,0.0,60.0,60.0,60.0,0.0,0.0,59.94,59.94,59.94,0.0,0.0,60.0,60.0,60.0,0.0,0.0
2018-08-19,59.66,59.66,59.66,0.0,0.0,59.66,59.66,59.66,0.0,0.0,59.66,59.66,59.66,0.0,0.0,59.66,59.66,59.66,0.0,0.0
