Date,Victory CEMP US Small Cap Volatility Weighted_Open_average,Victory CEMP US Small Cap Volatility Weighted_Open_max,Victory CEMP US Small Cap Volatility Weighted_Open_min,Victory CEMP US Small Cap Volatility Weighted_Open_volatility,Victory CEMP US Small Cap Volatility Weighted_Open_change,Victory CEMP US Small Cap Volatility Weighted_High_average,Victory CEMP US Small Cap Volatility Weighted_High_max,Victory CEMP US Small Cap Volatility Weighted_High_min,Victory CEMP US Small Cap Volatility Weighted_High_volatility,Victory CEMP US Small Cap Volatility Weighted_High_change,Victory CEMP US Small Cap Volatility Weighted_Low_average,Victory CEMP US Small Cap Volatility Weighted_Low_max,Victory CEMP US Small Cap Volatility Weighted_Low_min,Victory CEMP US Small Cap Volatility Weighted_Low_volatility,Victory CEMP US Small Cap Volatility Weighted_Low_change,Victory CEMP US Small Cap Volatility Weighted_Close_average,Victory CEMP US Small Cap Volatility Weighted_Close_max,Victory CEMP US Small Cap Volatility Weighted_Close_min,Victory CEMP US Small Cap Volatility Weighted_Close_volatility,Victory CEMP US Small Cap Volatility Weighted_Close_change
2016-01-03,30.43,30.43,30.43,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.43,30.43,30.43,0.0,0.0
2016-01-10,29.2,29.2,29.2,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.65,29.65,29.65,0.0,0.0
2016-01-17,29.52,29.52,29.52,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.69,29.69,29.69,0.0,0.0
2016-01-24,30.53,30.53,30.53,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.54,30.54,30.54,0.0,0.0
2016-01-31,29.27,29.27,29.27,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.41,29.41,29.41,0.0,0.0
2016-02-07,29.37,29.37,29.37,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.37,29.37,29.37,0.0,0.0
2016-02-14,30.8,30.8,30.8,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2016-02-21,31.26,31.26,31.26,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2016-02-28,32.74,32.74,32.74,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.73,32.73,32.73,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2016-03-06,32.56,32.56,32.56,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2016-03-13,33.22,33.22,33.22,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.22,33.22,33.22,0.0,0.0
