Date,iShares Currency Hedged MSCI United Kingdom_Open_average,iShares Currency Hedged MSCI United Kingdom_Open_max,iShares Currency Hedged MSCI United Kingdom_Open_min,iShares Currency Hedged MSCI United Kingdom_Open_volatility,iShares Currency Hedged MSCI United Kingdom_Open_change,iShares Currency Hedged MSCI United Kingdom_High_average,iShares Currency Hedged MSCI United Kingdom_High_max,iShares Currency Hedged MSCI United Kingdom_High_min,iShares Currency Hedged MSCI United Kingdom_High_volatility,iShares Currency Hedged MSCI United Kingdom_High_change,iShares Currency Hedged MSCI United Kingdom_Low_average,iShares Currency Hedged MSCI United Kingdom_Low_max,iShares Currency Hedged MSCI United Kingdom_Low_min,iShares Currency Hedged MSCI United Kingdom_Low_volatility,iShares Currency Hedged MSCI United Kingdom_Low_change,iShares Currency Hedged MSCI United Kingdom_Close_average,iShares Currency Hedged MSCI United Kingdom_Close_max,iShares Currency Hedged MSCI United Kingdom_Close_min,iShares Currency Hedged MSCI United Kingdom_Close_volatility,iShares Currency Hedged MSCI United Kingdom_Close_change
2018-01-14,24.59,24.59,24.59,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.55,24.55,24.55,0.0,0.0,24.56,24.56,24.56,0.0,0.0
2018-01-21,24.39,24.39,24.39,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2018-01-28,23.78,23.78,23.78,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.51,23.51,23.51,0.0,0.0
2018-02-04,22.57,22.57,22.57,0.0,0.0,22.57,22.57,22.57,0.0,0.0,22.57,22.57,22.57,0.0,0.0,22.57,22.57,22.57,0.0,0.0
2018-02-11,23.3,23.3,23.3,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.3,23.3,23.3,0.0,0.0
2018-02-18,23.15,23.15,23.15,0.0,0.0,23.16,23.16,23.16,0.0,0.0,23.15,23.15,23.15,0.0,0.0,23.16,23.16,23.16,0.0,0.0
2018-02-25,22.72,22.72,22.72,0.0,0.0,22.77,22.77,22.77,0.0,0.0,22.72,22.72,22.72,0.0,0.0,22.77,22.77,22.77,0.0,0.0
2018-03-04,23.17,23.17,23.17,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.17,23.17,23.17,0.0,0.0,23.2,23.2,23.2,0.0,0.0
2018-03-11,22.95,22.95,22.95,0.0,0.0,22.95,22.95,22.95,0.0,0.0,22.95,22.95,22.95,0.0,0.0,22.95,22.95,22.95,0.0,0.0
2018-03-18,22.25,22.25,22.25,0.0,0.0,22.25,22.25,22.25,0.0,0.0,22.21,22.21,22.21,0.0,0.0,22.21,22.21,22.21,0.0,0.0
2018-03-25,22.71,22.71,22.71,0.0,0.0,22.85,22.85,22.85,0.0,0.0,22.69,22.69,22.69,0.0,0.0,22.7,22.7,22.7,0.0,0.0
2018-04-01,23.08,23.08,23.08,0.0,0.0,23.14,23.14,23.14,0.0,0.0,23.02,23.02,23.02,0.0,0.0,23.02,23.02,23.02,0.0,0.0
2018-04-08,23.39,23.39,23.39,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.4,23.4,23.4,0.0,0.0
