Date,IQ US Real Estate Small Cap_Open_average,IQ US Real Estate Small Cap_Open_max,IQ US Real Estate Small Cap_Open_min,IQ US Real Estate Small Cap_Open_volatility,IQ US Real Estate Small Cap_Open_change,IQ US Real Estate Small Cap_High_average,IQ US Real Estate Small Cap_High_max,IQ US Real Estate Small Cap_High_min,IQ US Real Estate Small Cap_High_volatility,IQ US Real Estate Small Cap_High_change,IQ US Real Estate Small Cap_Low_average,IQ US Real Estate Small Cap_Low_max,IQ US Real Estate Small Cap_Low_min,IQ US Real Estate Small Cap_Low_volatility,IQ US Real Estate Small Cap_Low_change,IQ US Real Estate Small Cap_Close_average,IQ US Real Estate Small Cap_Close_max,IQ US Real Estate Small Cap_Close_min,IQ US Real Estate Small Cap_Close_volatility,IQ US Real Estate Small Cap_Close_change
2018-01-14,25.26,25.26,25.26,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.55,25.55,25.55,0.0,0.0
2018-01-21,25.39,25.39,25.39,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.15,25.15,25.15,0.0,0.0
2018-01-28,24.32,24.32,24.32,0.0,0.0,24.45,24.45,24.45,0.0,0.0,23.61,23.61,23.61,0.0,0.0,23.62,23.62,23.62,0.0,0.0
2018-02-04,23.4,23.4,23.4,0.0,0.0,23.41,23.41,23.41,0.0,0.0,22.69,22.69,22.69,0.0,0.0,23.38,23.38,23.38,0.0,0.0
2018-02-11,23.65,23.65,23.65,0.0,0.0,23.9,23.9,23.9,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.89,23.89,23.89,0.0,0.0
2018-02-18,23.54,23.54,23.54,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.42,23.42,23.42,0.0,0.0,23.52,23.52,23.52,0.0,0.0
2018-02-25,23.09,23.09,23.09,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.05,23.05,23.05,0.0,0.0,23.26,23.26,23.26,0.0,0.0
2018-03-04,23.61,23.61,23.61,0.0,0.0,23.77,23.77,23.77,0.0,0.0,23.61,23.61,23.61,0.0,0.0,23.73,23.73,23.73,0.0,0.0
2018-03-11,23.78,23.78,23.78,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.52,23.52,23.52,0.0,0.0,23.72,23.72,23.72,0.0,0.0
2018-03-18,22.89,22.89,22.89,0.0,0.0,23.04,23.04,23.04,0.0,0.0,22.78,22.78,22.78,0.0,0.0,23.04,23.04,23.04,0.0,0.0
2018-03-25,23.65,23.65,23.65,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.25,23.25,23.25,0.0,0.0,23.26,23.26,23.26,0.0,0.0
2018-04-01,23.77,23.77,23.77,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.62,23.62,23.62,0.0,0.0,23.62,23.62,23.62,0.0,0.0
2018-04-08,23.68,23.68,23.68,0.0,0.0,23.92,23.92,23.92,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.84,23.84,23.84,0.0,0.0
2018-04-15,23.54,23.54,23.54,0.0,0.0,23.58,23.58,23.58,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.45,23.45,23.45,0.0,0.0
