Date,Guggenheim Invest S&P SmallCap 600 Pure Value_Open_average,Guggenheim Invest S&P SmallCap 600 Pure Value_Open_max,Guggenheim Invest S&P SmallCap 600 Pure Value_Open_min,Guggenheim Invest S&P SmallCap 600 Pure Value_Open_volatility,Guggenheim Invest S&P SmallCap 600 Pure Value_Open_change,Guggenheim Invest S&P SmallCap 600 Pure Value_High_average,Guggenheim Invest S&P SmallCap 600 Pure Value_High_max,Guggenheim Invest S&P SmallCap 600 Pure Value_High_min,Guggenheim Invest S&P SmallCap 600 Pure Value_High_volatility,Guggenheim Invest S&P SmallCap 600 Pure Value_High_change,Guggenheim Invest S&P SmallCap 600 Pure Value_Low_average,Guggenheim Invest S&P SmallCap 600 Pure Value_Low_max,Guggenheim Invest S&P SmallCap 600 Pure Value_Low_min,Guggenheim Invest S&P SmallCap 600 Pure Value_Low_volatility,Guggenheim Invest S&P SmallCap 600 Pure Value_Low_change,Guggenheim Invest S&P SmallCap 600 Pure Value_Close_average,Guggenheim Invest S&P SmallCap 600 Pure Value_Close_max,Guggenheim Invest S&P SmallCap 600 Pure Value_Close_min,Guggenheim Invest S&P SmallCap 600 Pure Value_Close_volatility,Guggenheim Invest S&P SmallCap 600 Pure Value_Close_change
2018-01-14,75.66,75.66,75.66,0.0,0.0,76.27,76.27,76.27,0.0,0.0,75.66,75.66,75.66,0.0,0.0,76.27,76.27,76.27,0.0,0.0
2018-01-21,75.39,75.39,75.39,0.0,0.0,75.86,75.86,75.86,0.0,0.0,75.16,75.16,75.16,0.0,0.0,75.25,75.25,75.25,0.0,0.0
2018-01-28,70.16,70.16,70.16,0.0,0.0,70.76,70.76,70.76,0.0,0.0,68.11,68.11,68.11,0.0,0.0,68.11,68.11,68.11,0.0,0.0
2018-02-04,68.86,68.86,68.86,0.0,0.0,69.3,69.3,69.3,0.0,0.0,68.27,68.27,68.27,0.0,0.0,69.3,69.3,69.3,0.0,0.0
2018-02-11,71.2,71.2,71.2,0.0,0.0,72.34,72.34,72.34,0.0,0.0,71.2,71.2,71.2,0.0,0.0,71.62,71.62,71.62,0.0,0.0
2018-02-18,71.58,71.58,71.58,0.0,0.0,72.36,72.36,72.36,0.0,0.0,71.16,71.16,71.16,0.0,0.0,72.15,72.15,72.15,0.0,0.0
2018-02-25,69.89,69.89,69.89,0.0,0.0,71.07,71.07,71.07,0.0,0.0,69.89,69.89,69.89,0.0,0.0,70.98,70.98,70.98,0.0,0.0
2018-03-04,72.62,72.62,72.62,0.0,0.0,73.0,73.0,73.0,0.0,0.0,72.36,72.36,72.36,0.0,0.0,72.72,72.72,72.72,0.0,0.0
2018-03-11,72.0,72.0,72.0,0.0,0.0,72.0,72.0,72.0,0.0,0.0,70.66,70.66,70.66,0.0,0.0,71.37,71.37,71.37,0.0,0.0
2018-03-18,69.38,69.38,69.38,0.0,0.0,70.15,70.15,70.15,0.0,0.0,69.38,69.38,69.38,0.0,0.0,70.15,70.15,70.15,0.0,0.0
2018-03-25,69.87,69.87,69.87,0.0,0.0,69.92,69.92,69.92,0.0,0.0,67.71,67.71,67.71,0.0,0.0,67.97,67.97,67.97,0.0,0.0
2018-04-01,71.0,71.0,71.0,0.0,0.0,71.2,71.2,71.2,0.0,0.0,70.4,70.4,70.4,0.0,0.0,70.4,70.4,70.4,0.0,0.0
2018-04-08,72.44,72.44,72.44,0.0,0.0,73.21,73.21,73.21,0.0,0.0,72.44,72.44,72.44,0.0,0.0,73.21,73.21,73.21,0.0,0.0
