Date,VanEck Vectors ChinaAMC SME-ChiNext_Open_average,VanEck Vectors ChinaAMC SME-ChiNext_Open_max,VanEck Vectors ChinaAMC SME-ChiNext_Open_min,VanEck Vectors ChinaAMC SME-ChiNext_Open_volatility,VanEck Vectors ChinaAMC SME-ChiNext_Open_change,VanEck Vectors ChinaAMC SME-ChiNext_High_average,VanEck Vectors ChinaAMC SME-ChiNext_High_max,VanEck Vectors ChinaAMC SME-ChiNext_High_min,VanEck Vectors ChinaAMC SME-ChiNext_High_volatility,VanEck Vectors ChinaAMC SME-ChiNext_High_change,VanEck Vectors ChinaAMC SME-ChiNext_Low_average,VanEck Vectors ChinaAMC SME-ChiNext_Low_max,VanEck Vectors ChinaAMC SME-ChiNext_Low_min,VanEck Vectors ChinaAMC SME-ChiNext_Low_volatility,VanEck Vectors ChinaAMC SME-ChiNext_Low_change,VanEck Vectors ChinaAMC SME-ChiNext_Close_average,VanEck Vectors ChinaAMC SME-ChiNext_Close_max,VanEck Vectors ChinaAMC SME-ChiNext_Close_min,VanEck Vectors ChinaAMC SME-ChiNext_Close_volatility,VanEck Vectors ChinaAMC SME-ChiNext_Close_change
2018-01-14,35.78,35.78,35.78,0.0,0.0,35.97,35.97,35.97,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2018-01-21,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.81,35.81,35.81,0.0,0.0,35.83,35.83,35.83,0.0,0.0
2018-01-28,34.52,34.52,34.52,0.0,0.0,34.52,34.52,34.52,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.7,33.7,33.7,0.0,0.0
2018-02-04,32.65,32.65,32.65,0.0,0.0,33.19,33.19,33.19,0.0,0.0,32.58,32.58,32.58,0.0,0.0,33.03,33.03,33.03,0.0,0.0
2018-02-11,34.36,34.36,34.36,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.08,34.08,34.08,0.0,0.0,34.17,34.17,34.17,0.0,0.0
2018-02-18,35.21,35.21,35.21,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.21,35.21,35.21,0.0,0.0,35.53,35.53,35.53,0.0,0.0
2018-02-25,34.98,34.98,34.98,0.0,0.0,35.51,35.51,35.51,0.0,0.0,34.98,34.98,34.98,0.0,0.0,35.51,35.51,35.51,0.0,0.0
2018-03-04,37.0,37.0,37.0,0.0,0.0,37.1,37.1,37.1,0.0,0.0,36.74,36.74,36.74,0.0,0.0,36.77,36.77,36.77,0.0,0.0
2018-03-11,35.84,35.84,35.84,0.0,0.0,35.84,35.84,35.84,0.0,0.0,35.57,35.57,35.57,0.0,0.0,35.65,35.65,35.65,0.0,0.0
2018-03-18,34.63,34.63,34.63,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.94,34.94,34.94,0.0,0.0
2018-03-25,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.26,35.26,35.26,0.0,0.0
2018-04-01,34.48,34.48,34.48,0.0,0.0,34.76,34.76,34.76,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.4,34.4,34.4,0.0,0.0
2018-04-08,34.77,34.77,34.77,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2018-04-15,33.03,33.03,33.03,0.0,0.0,33.04,33.04,33.04,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.95,32.95,32.95,0.0,0.0
2018-04-22,33.43,33.43,33.43,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.47,33.47,33.47,0.0,0.0
2018-04-29,34.13,34.13,34.13,0.0,0.0,34.27,34.27,34.27,0.0,0.0,34.13,34.13,34.13,0.0,0.0,34.21,34.21,34.21,0.0,0.0
2018-05-06,34.76,34.76,34.76,0.0,0.0,35.07,35.07,35.07,0.0,0.0,34.76,34.76,34.76,0.0,0.0,34.99,34.99,34.99,0.0,0.0
2018-05-13,35.31,35.31,35.31,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.02,35.02,35.02,0.0,0.0,35.22,35.22,35.22,0.0,0.0
2018-05-20,33.79,33.79,33.79,0.0,0.0,33.9,33.9,33.9,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.9,33.9,33.9,0.0,0.0
2018-05-27,32.6,32.6,32.6,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.87,32.87,32.87,0.0,0.0
2018-06-03,32.9,32.9,32.9,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.84,32.84,32.84,0.0,0.0
2018-06-10,31.58,31.58,31.58,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2018-06-17,29.5,29.5,29.5,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.12,29.12,29.12,0.0,0.0,29.24,29.24,29.24,0.0,0.0
2018-06-24,28.61,28.61,28.61,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.74,28.74,28.74,0.0,0.0
2018-07-01,29.0,29.0,29.0,0.0,0.0,29.15,29.15,29.15,0.0,0.0,28.89,28.89,28.89,0.0,0.0,29.15,29.15,29.15,0.0,0.0
2018-07-08,29.46,29.46,29.46,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.41,29.41,29.41,0.0,0.0
2018-07-15,29.09,29.09,29.09,0.0,0.0,29.09,29.09,29.09,0.0,0.0,28.95,28.95,28.95,0.0,0.0,29.06,29.06,29.06,0.0,0.0
2018-07-22,28.33,28.33,28.33,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.17,28.17,28.17,0.0,0.0
2018-07-29,25.69,25.69,25.69,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2018-08-05,26.8,26.8,26.8,0.0,0.0,26.98,26.98,26.98,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.81,26.81,26.81,0.0,0.0
2018-08-12,25.52,25.52,25.52,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.61,25.61,25.61,0.0,0.0
2018-08-19,26.85,26.85,26.85,0.0,0.0,26.85,26.85,26.85,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2018-08-26,25.52,25.52,25.52,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.54,25.54,25.54,0.0,0.0
2018-09-02,24.7,24.7,24.7,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2018-09-09,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.86,23.86,23.86,0.0,0.0,23.86,23.86,23.86,0.0,0.0
2018-09-16,25.08,25.08,25.08,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.1,25.1,25.1,0.0,0.0
2018-09-23,25.25,25.25,25.25,0.0,0.0,25.31,25.31,25.31,0.0,0.0,25.09,25.09,25.09,0.0,0.0,25.09,25.09,25.09,0.0,0.0
