Date,SPDR S&P Emerging Markets Small Cap_Open_average,SPDR S&P Emerging Markets Small Cap_Open_max,SPDR S&P Emerging Markets Small Cap_Open_min,SPDR S&P Emerging Markets Small Cap_Open_volatility,SPDR S&P Emerging Markets Small Cap_Open_change,SPDR S&P Emerging Markets Small Cap_High_average,SPDR S&P Emerging Markets Small Cap_High_max,SPDR S&P Emerging Markets Small Cap_High_min,SPDR S&P Emerging Markets Small Cap_High_volatility,SPDR S&P Emerging Markets Small Cap_High_change,SPDR S&P Emerging Markets Small Cap_Low_average,SPDR S&P Emerging Markets Small Cap_Low_max,SPDR S&P Emerging Markets Small Cap_Low_min,SPDR S&P Emerging Markets Small Cap_Low_volatility,SPDR S&P Emerging Markets Small Cap_Low_change,SPDR S&P Emerging Markets Small Cap_Close_average,SPDR S&P Emerging Markets Small Cap_Close_max,SPDR S&P Emerging Markets Small Cap_Close_min,SPDR S&P Emerging Markets Small Cap_Close_volatility,SPDR S&P Emerging Markets Small Cap_Close_change
2018-01-14,54.85,54.85,54.85,0.0,0.0,55.18,55.18,55.18,0.0,0.0,54.79,54.79,54.79,0.0,0.0,55.13,55.13,55.13,0.0,0.0
2018-01-21,55.26,55.26,55.26,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.15,55.15,55.15,0.0,0.0,55.18,55.18,55.18,0.0,0.0
2018-01-28,53.02,53.02,53.02,0.0,0.0,53.33,53.33,53.33,0.0,0.0,51.54,51.54,51.54,0.0,0.0,51.59,51.59,51.59,0.0,0.0
2018-02-04,51.24,51.24,51.24,0.0,0.0,51.72,51.72,51.72,0.0,0.0,50.99,50.99,50.99,0.0,0.0,51.35,51.35,51.35,0.0,0.0
2018-02-11,52.88,52.88,52.88,0.0,0.0,53.41,53.41,53.41,0.0,0.0,52.88,52.88,52.88,0.0,0.0,53.09,53.09,53.09,0.0,0.0
2018-02-18,53.4,53.4,53.4,0.0,0.0,53.68,53.68,53.68,0.0,0.0,53.24,53.24,53.24,0.0,0.0,53.68,53.68,53.68,0.0,0.0
2018-02-25,51.91,51.91,51.91,0.0,0.0,52.74,52.74,52.74,0.0,0.0,51.91,51.91,51.91,0.0,0.0,52.63,52.63,52.63,0.0,0.0
2018-03-04,53.11,53.11,53.11,0.0,0.0,53.18,53.18,53.18,0.0,0.0,52.93,52.93,52.93,0.0,0.0,53.12,53.12,53.12,0.0,0.0
2018-03-11,52.65,52.65,52.65,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.1,52.1,52.1,0.0,0.0,52.38,52.38,52.38,0.0,0.0
2018-03-18,52.07,52.07,52.07,0.0,0.0,52.39,52.39,52.39,0.0,0.0,51.66,51.66,51.66,0.0,0.0,52.32,52.32,52.32,0.0,0.0
2018-03-25,52.38,52.38,52.38,0.0,0.0,52.49,52.49,52.49,0.0,0.0,51.3,51.3,51.3,0.0,0.0,51.68,51.68,51.68,0.0,0.0
2018-04-01,52.2,52.2,52.2,0.0,0.0,52.34,52.34,52.34,0.0,0.0,51.94,51.94,51.94,0.0,0.0,51.94,51.94,51.94,0.0,0.0
2018-04-08,52.57,52.57,52.57,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.45,52.45,52.45,0.0,0.0,52.62,52.62,52.62,0.0,0.0
2018-04-15,51.75,51.75,51.75,0.0,0.0,51.82,51.82,51.82,0.0,0.0,51.46,51.46,51.46,0.0,0.0,51.55,51.55,51.55,0.0,0.0
2018-04-22,51.36,51.36,51.36,0.0,0.0,51.5,51.5,51.5,0.0,0.0,51.11,51.11,51.11,0.0,0.0,51.12,51.12,51.12,0.0,0.0
2018-04-29,50.61,50.61,50.61,0.0,0.0,50.68,50.68,50.68,0.0,0.0,50.43,50.43,50.43,0.0,0.0,50.56,50.56,50.56,0.0,0.0
2018-05-06,51.06,51.06,51.06,0.0,0.0,51.09,51.09,51.09,0.0,0.0,50.78,50.78,50.78,0.0,0.0,50.81,50.81,50.81,0.0,0.0
2018-05-13,50.49,50.49,50.49,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.32,50.32,50.32,0.0,0.0,50.47,50.47,50.47,0.0,0.0
2018-05-20,50.5,50.5,50.5,0.0,0.0,50.81,50.81,50.81,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.73,50.73,50.73,0.0,0.0
2018-05-27,51.01,51.01,51.01,0.0,0.0,51.1,51.1,51.1,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.99,50.99,50.99,0.0,0.0
2018-06-03,50.85,50.85,50.85,0.0,0.0,51.04,51.04,51.04,0.0,0.0,50.85,50.85,50.85,0.0,0.0,50.91,50.91,50.91,0.0,0.0
2018-06-10,49.01,49.01,49.01,0.0,0.0,49.01,49.01,49.01,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.98,48.98,48.98,0.0,0.0
2018-06-17,47.84,47.84,47.84,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.64,47.64,47.64,0.0,0.0
2018-06-24,46.83,46.83,46.83,0.0,0.0,47.04,47.04,47.04,0.0,0.0,46.77,46.77,46.77,0.0,0.0,47.03,47.03,47.03,0.0,0.0
2018-07-01,47.26,47.26,47.26,0.0,0.0,47.5,47.5,47.5,0.0,0.0,47.17,47.17,47.17,0.0,0.0,47.45,47.45,47.45,0.0,0.0
2018-07-08,47.38,47.38,47.38,0.0,0.0,47.4,47.4,47.4,0.0,0.0,47.22,47.22,47.22,0.0,0.0,47.3,47.3,47.3,0.0,0.0
2018-07-15,47.39,47.39,47.39,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.18,47.18,47.18,0.0,0.0,47.26,47.26,47.26,0.0,0.0
2018-07-22,48.29,48.29,48.29,0.0,0.0,48.29,48.29,48.29,0.0,0.0,48.05,48.05,48.05,0.0,0.0,48.18,48.18,48.18,0.0,0.0
2018-07-29,47.69,47.69,47.69,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.56,47.56,47.56,0.0,0.0,47.62,47.62,47.62,0.0,0.0
2018-08-05,46.54,46.54,46.54,0.0,0.0,46.56,46.56,46.56,0.0,0.0,46.08,46.08,46.08,0.0,0.0,46.16,46.16,46.16,0.0,0.0
2018-08-12,46.05,46.05,46.05,0.0,0.0,46.07,46.07,46.07,0.0,0.0,45.81,45.81,45.81,0.0,0.0,46.07,46.07,46.07,0.0,0.0
2018-08-19,46.9,46.9,46.9,0.0,0.0,47.24,47.24,47.24,0.0,0.0,46.9,46.9,46.9,0.0,0.0,47.14,47.14,47.14,0.0,0.0
2018-08-26,46.38,46.38,46.38,0.0,0.0,46.85,46.85,46.85,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.74,46.74,46.74,0.0,0.0
2018-09-02,44.71,44.71,44.71,0.0,0.0,44.71,44.71,44.71,0.0,0.0,44.27,44.27,44.27,0.0,0.0,44.37,44.37,44.37,0.0,0.0
2018-09-09,44.82,44.82,44.82,0.0,0.0,44.95,44.95,44.95,0.0,0.0,44.73,44.73,44.73,0.0,0.0,44.77,44.77,44.77,0.0,0.0
2018-09-16,45.0,45.0,45.0,0.0,0.0,45.03,45.03,45.03,0.0,0.0,44.84,44.84,44.84,0.0,0.0,44.9,44.9,44.9,0.0,0.0
2018-09-23,45.02,45.02,45.02,0.0,0.0,45.05,45.05,45.05,0.0,0.0,44.82,44.82,44.82,0.0,0.0,44.94,44.94,44.94,0.0,0.0
