Date,ProShares UltraShort Russell2000_Open_average,ProShares UltraShort Russell2000_Open_max,ProShares UltraShort Russell2000_Open_min,ProShares UltraShort Russell2000_Open_volatility,ProShares UltraShort Russell2000_Open_change,ProShares UltraShort Russell2000_High_average,ProShares UltraShort Russell2000_High_max,ProShares UltraShort Russell2000_High_min,ProShares UltraShort Russell2000_High_volatility,ProShares UltraShort Russell2000_High_change,ProShares UltraShort Russell2000_Low_average,ProShares UltraShort Russell2000_Low_max,ProShares UltraShort Russell2000_Low_min,ProShares UltraShort Russell2000_Low_volatility,ProShares UltraShort Russell2000_Low_change,ProShares UltraShort Russell2000_Close_average,ProShares UltraShort Russell2000_Close_max,ProShares UltraShort Russell2000_Close_min,ProShares UltraShort Russell2000_Close_volatility,ProShares UltraShort Russell2000_Close_change
2018-01-14,16.52,16.52,16.52,0.0,0.0,16.53,16.53,16.53,0.0,0.0,16.1,16.1,16.1,0.0,0.0,16.12,16.12,16.12,0.0,0.0
2018-01-21,15.91,15.91,15.91,0.0,0.0,16.08,16.08,16.08,0.0,0.0,15.9,15.9,15.9,0.0,0.0,15.9,15.9,15.9,0.0,0.0
2018-01-28,16.63,16.63,16.63,0.0,0.0,17.17,17.17,17.17,0.0,0.0,16.62,16.62,16.62,0.0,0.0,17.12,17.12,17.12,0.0,0.0
2018-02-04,18.69,18.69,18.69,0.0,0.0,19.78,19.78,19.78,0.0,0.0,18.38,18.38,18.38,0.0,0.0,18.69,18.69,18.69,0.0,0.0
2018-02-11,17.27,17.27,17.27,0.0,0.0,17.27,17.27,17.27,0.0,0.0,16.89,16.89,16.89,0.0,0.0,17.11,17.11,17.11,0.0,0.0
2018-02-18,17.16,17.16,17.16,0.0,0.0,17.36,17.36,17.36,0.0,0.0,16.94,16.94,16.94,0.0,0.0,16.96,16.96,16.96,0.0,0.0
2018-02-25,18.14,18.14,18.14,0.0,0.0,18.21,18.21,18.21,0.0,0.0,17.18,17.18,17.18,0.0,0.0,17.26,17.26,17.26,0.0,0.0
2018-03-04,16.18,16.18,16.18,0.0,0.0,16.28,16.28,16.28,0.0,0.0,15.85,15.85,15.85,0.0,0.0,15.85,15.85,15.85,0.0,0.0
2018-03-11,16.27,16.27,16.27,0.0,0.0,16.31,16.31,16.31,0.0,0.0,16.0,16.0,16.0,0.0,0.0,16.1,16.1,16.1,0.0,0.0
2018-03-18,16.88,16.88,16.88,0.0,0.0,17.64,17.64,17.64,0.0,0.0,16.74,16.74,16.74,0.0,0.0,17.64,17.64,17.64,0.0,0.0
2018-03-25,17.35,17.35,17.35,0.0,0.0,17.43,17.43,17.43,0.0,0.0,16.89,16.89,16.89,0.0,0.0,17.18,17.18,17.18,0.0,0.0
2018-04-01,17.02,17.02,17.02,0.0,0.0,17.72,17.72,17.72,0.0,0.0,16.79,16.79,16.79,0.0,0.0,17.44,17.44,17.44,0.0,0.0
2018-04-08,16.35,16.35,16.35,0.0,0.0,16.73,16.73,16.73,0.0,0.0,16.35,16.35,16.35,0.0,0.0,16.63,16.63,16.63,0.0,0.0
2018-04-15,16.19,16.19,16.19,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.06,16.06,16.06,0.0,0.0,16.29,16.29,16.29,0.0,0.0
2018-04-22,16.43,16.43,16.43,0.0,0.0,16.67,16.67,16.67,0.0,0.0,16.35,16.35,16.35,0.0,0.0,16.49,16.49,16.49,0.0,0.0
2018-04-29,16.78,16.78,16.78,0.0,0.0,16.89,16.89,16.89,0.0,0.0,16.1,16.1,16.1,0.0,0.0,16.26,16.26,16.26,0.0,0.0
2018-05-06,15.52,15.52,15.52,0.0,0.0,15.59,15.59,15.59,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.45,15.45,15.45,0.0,0.0
2018-05-13,15.04,15.04,15.04,0.0,0.0,15.12,15.12,15.12,0.0,0.0,14.99,14.99,14.99,0.0,0.0,15.07,15.07,15.07,0.0,0.0
2018-05-20,15.09,15.09,15.09,0.0,0.0,15.14,15.14,15.14,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.08,15.08,15.08,0.0,0.0
2018-05-27,14.73,14.73,14.73,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.61,14.61,14.61,0.0,0.0,14.7,14.7,14.7,0.0,0.0
