Date,iShares US Oil Equipment & Services_Open_average,iShares US Oil Equipment & Services_Open_max,iShares US Oil Equipment & Services_Open_min,iShares US Oil Equipment & Services_Open_volatility,iShares US Oil Equipment & Services_Open_change,iShares US Oil Equipment & Services_High_average,iShares US Oil Equipment & Services_High_max,iShares US Oil Equipment & Services_High_min,iShares US Oil Equipment & Services_High_volatility,iShares US Oil Equipment & Services_High_change,iShares US Oil Equipment & Services_Low_average,iShares US Oil Equipment & Services_Low_max,iShares US Oil Equipment & Services_Low_min,iShares US Oil Equipment & Services_Low_volatility,iShares US Oil Equipment & Services_Low_change,iShares US Oil Equipment & Services_Close_average,iShares US Oil Equipment & Services_Close_max,iShares US Oil Equipment & Services_Close_min,iShares US Oil Equipment & Services_Close_volatility,iShares US Oil Equipment & Services_Close_change
2018-01-14,38.5,38.5,38.5,0.0,0.0,39.23,39.23,39.23,0.0,0.0,38.23,38.23,38.23,0.0,0.0,39.15,39.15,39.15,0.0,0.0
2018-01-21,39.51,39.51,39.51,0.0,0.0,39.61,39.61,39.61,0.0,0.0,39.29,39.29,39.29,0.0,0.0,39.35,39.35,39.35,0.0,0.0
2018-01-28,37.71,37.71,37.71,0.0,0.0,37.86,37.86,37.86,0.0,0.0,36.55,36.55,36.55,0.0,0.0,36.65,36.65,36.65,0.0,0.0
2018-02-04,33.37,33.37,33.37,0.0,0.0,33.37,33.37,33.37,0.0,0.0,31.26,31.26,31.26,0.0,0.0,32.41,32.41,32.41,0.0,0.0
2018-02-11,32.98,32.98,32.98,0.0,0.0,33.7,33.7,33.7,0.0,0.0,32.94,32.94,32.94,0.0,0.0,33.27,33.27,33.27,0.0,0.0
2018-02-18,33.48,33.48,33.48,0.0,0.0,34.08,34.08,34.08,0.0,0.0,33.32,33.32,33.32,0.0,0.0,34.06,34.06,34.06,0.0,0.0
2018-02-25,31.99,31.99,31.99,0.0,0.0,32.7,32.7,32.7,0.0,0.0,31.57,31.57,31.57,0.0,0.0,32.62,32.62,32.62,0.0,0.0
2018-03-04,33.66,33.66,33.66,0.0,0.0,34.39,34.39,34.39,0.0,0.0,33.66,33.66,33.66,0.0,0.0,34.21,34.21,34.21,0.0,0.0
2018-03-11,32.94,32.94,32.94,0.0,0.0,33.72,33.72,33.72,0.0,0.0,32.92,32.92,32.92,0.0,0.0,33.6,33.6,33.6,0.0,0.0
2018-03-18,33.46,33.46,33.46,0.0,0.0,33.85,33.85,33.85,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.95,32.95,32.95,0.0,0.0
