Date,Vanguard S&P 500 Growth_Open_average,Vanguard S&P 500 Growth_Open_max,Vanguard S&P 500 Growth_Open_min,Vanguard S&P 500 Growth_Open_volatility,Vanguard S&P 500 Growth_Open_change,Vanguard S&P 500 Growth_High_average,Vanguard S&P 500 Growth_High_max,Vanguard S&P 500 Growth_High_min,Vanguard S&P 500 Growth_High_volatility,Vanguard S&P 500 Growth_High_change,Vanguard S&P 500 Growth_Low_average,Vanguard S&P 500 Growth_Low_max,Vanguard S&P 500 Growth_Low_min,Vanguard S&P 500 Growth_Low_volatility,Vanguard S&P 500 Growth_Low_change,Vanguard S&P 500 Growth_Close_average,Vanguard S&P 500 Growth_Close_max,Vanguard S&P 500 Growth_Close_min,Vanguard S&P 500 Growth_Close_volatility,Vanguard S&P 500 Growth_Close_change
2018-01-14,145.3,145.3,145.3,0.0,0.0,146.46,146.46,146.46,0.0,0.0,145.17,145.17,145.17,0.0,0.0,146.46,146.46,146.46,0.0,0.0
2018-01-21,148.73,148.73,148.73,0.0,0.0,148.85,148.85,148.85,0.0,0.0,147.79,147.79,147.79,0.0,0.0,147.83,147.83,147.83,0.0,0.0
2018-01-28,142.18,142.18,142.18,0.0,0.0,144.09,144.09,144.09,0.0,0.0,137.27,137.27,137.27,0.0,0.0,137.76,137.76,137.76,0.0,0.0
2018-02-04,137.58,137.58,137.58,0.0,0.0,139.53,139.53,139.53,0.0,0.0,136.68,136.68,136.68,0.0,0.0,138.63,138.63,138.63,0.0,0.0
2018-02-11,143.09,143.09,143.09,0.0,0.0,144.55,144.55,144.55,0.0,0.0,143.09,143.09,143.09,0.0,0.0,143.39,143.39,143.39,0.0,0.0
2018-02-18,145.67,145.67,145.67,0.0,0.0,146.86,146.86,146.86,0.0,0.0,145.62,145.62,145.62,0.0,0.0,146.86,146.86,146.86,0.0,0.0
2018-02-25,141.84,141.84,141.84,0.0,0.0,144.41,144.41,144.41,0.0,0.0,141.51,141.51,141.51,0.0,0.0,144.02,144.02,144.02,0.0,0.0
2018-03-04,148.57,148.57,148.57,0.0,0.0,148.88,148.88,148.88,0.0,0.0,148.01,148.01,148.01,0.0,0.0,148.21,148.21,148.21,0.0,0.0
2018-03-11,145.93,145.93,145.93,0.0,0.0,145.93,145.93,145.93,0.0,0.0,143.21,143.21,143.21,0.0,0.0,144.32,144.32,144.32,0.0,0.0
2018-03-18,139.19,139.19,139.19,0.0,0.0,141.27,141.27,141.27,0.0,0.0,137.62,137.62,137.62,0.0,0.0,141.15,141.15,141.15,0.0,0.0
