Date,iShares MSCI All Country Asia ex Japan_etf_Open_average,iShares MSCI All Country Asia ex Japan_etf_Open_max,iShares MSCI All Country Asia ex Japan_etf_Open_min,iShares MSCI All Country Asia ex Japan_etf_Open_volatility,iShares MSCI All Country Asia ex Japan_etf_Open_change,iShares MSCI All Country Asia ex Japan_etf_High_average,iShares MSCI All Country Asia ex Japan_etf_High_max,iShares MSCI All Country Asia ex Japan_etf_High_min,iShares MSCI All Country Asia ex Japan_etf_High_volatility,iShares MSCI All Country Asia ex Japan_etf_High_change,iShares MSCI All Country Asia ex Japan_etf_Low_average,iShares MSCI All Country Asia ex Japan_etf_Low_max,iShares MSCI All Country Asia ex Japan_etf_Low_min,iShares MSCI All Country Asia ex Japan_etf_Low_volatility,iShares MSCI All Country Asia ex Japan_etf_Low_change,iShares MSCI All Country Asia ex Japan_etf_Close_average,iShares MSCI All Country Asia ex Japan_etf_Close_max,iShares MSCI All Country Asia ex Japan_etf_Close_min,iShares MSCI All Country Asia ex Japan_etf_Close_volatility,iShares MSCI All Country Asia ex Japan_etf_Close_change
2018-01-14,81.14,81.14,81.14,0.0,0.0,81.32,81.32,81.32,0.0,0.0,80.82,80.82,80.82,0.0,0.0,81.32,81.32,81.32,0.0,0.0
2018-01-21,82.98,82.98,82.98,0.0,0.0,83.52,83.52,83.52,0.0,0.0,82.87,82.87,82.87,0.0,0.0,83.5,83.5,83.5,0.0,0.0
2018-01-28,79.98,79.98,79.98,0.0,0.0,80.0,80.0,80.0,0.0,0.0,78.62,78.62,78.62,0.0,0.0,78.64,78.64,78.64,0.0,0.0
2018-02-04,74.09,74.09,74.09,0.0,0.0,74.91,74.91,74.91,0.0,0.0,72.24,72.24,72.24,0.0,0.0,74.44,74.44,74.44,0.0,0.0
2018-02-11,78.88,78.88,78.88,0.0,0.0,79.61,79.61,79.61,0.0,0.0,78.7,78.7,78.7,0.0,0.0,78.93,78.93,78.93,0.0,0.0
2018-02-18,78.61,78.61,78.61,0.0,0.0,79.09,79.09,79.09,0.0,0.0,78.34,78.34,78.34,0.0,0.0,79.09,79.09,79.09,0.0,0.0
2018-02-25,75.85,75.85,75.85,0.0,0.0,77.03,77.03,77.03,0.0,0.0,75.43,75.43,75.43,0.0,0.0,76.9,76.9,76.9,0.0,0.0
2018-03-04,78.42,78.42,78.42,0.0,0.0,79.54,79.54,79.54,0.0,0.0,78.42,78.42,78.42,0.0,0.0,79.54,79.54,79.54,0.0,0.0
2018-03-11,79.44,79.44,79.44,0.0,0.0,79.65,79.65,79.65,0.0,0.0,79.36,79.36,79.36,0.0,0.0,79.51,79.51,79.51,0.0,0.0
2018-03-18,76.83,76.83,76.83,0.0,0.0,77.0,77.0,77.0,0.0,0.0,75.2,75.2,75.2,0.0,0.0,75.23,75.23,75.23,0.0,0.0
2018-03-25,76.65,76.65,76.65,0.0,0.0,77.77,77.77,77.77,0.0,0.0,76.55,76.55,76.55,0.0,0.0,77.53,77.53,77.53,0.0,0.0
2018-04-01,76.33,76.33,76.33,0.0,0.0,76.78,76.78,76.78,0.0,0.0,75.06,75.06,75.06,0.0,0.0,75.37,75.37,75.37,0.0,0.0
2018-04-08,77.68,77.68,77.68,0.0,0.0,77.84,77.84,77.84,0.0,0.0,76.87,76.87,76.87,0.0,0.0,77.09,77.09,77.09,0.0,0.0
2018-04-15,76.75,76.75,76.75,0.0,0.0,76.75,76.75,76.75,0.0,0.0,75.89,75.89,75.89,0.0,0.0,76.26,76.26,76.26,0.0,0.0
2018-04-22,76.44,76.44,76.44,0.0,0.0,76.56,76.56,76.56,0.0,0.0,75.99,75.99,75.99,0.0,0.0,76.51,76.51,76.51,0.0,0.0
2018-04-29,74.83,74.83,74.83,0.0,0.0,76.04,76.04,76.04,0.0,0.0,74.63,74.63,74.63,0.0,0.0,75.89,75.89,75.89,0.0,0.0
2018-05-06,77.74,77.74,77.74,0.0,0.0,77.75,77.75,77.75,0.0,0.0,77.28,77.28,77.28,0.0,0.0,77.49,77.49,77.49,0.0,0.0
2018-05-13,76.04,76.04,76.04,0.0,0.0,76.16,76.16,76.16,0.0,0.0,75.85,75.85,75.85,0.0,0.0,75.99,75.99,75.99,0.0,0.0
2018-05-20,76.44,76.44,76.44,0.0,0.0,76.93,76.93,76.93,0.0,0.0,76.43,76.43,76.43,0.0,0.0,76.89,76.89,76.89,0.0,0.0
2018-05-27,76.35,76.35,76.35,0.0,0.0,76.87,76.87,76.87,0.0,0.0,76.35,76.35,76.35,0.0,0.0,76.87,76.87,76.87,0.0,0.0
2018-06-03,77.33,77.33,77.33,0.0,0.0,77.74,77.74,77.74,0.0,0.0,77.14,77.14,77.14,0.0,0.0,77.51,77.51,77.51,0.0,0.0
2018-06-10,75.58,75.58,75.58,0.0,0.0,75.72,75.72,75.72,0.0,0.0,75.18,75.18,75.18,0.0,0.0,75.68,75.68,75.68,0.0,0.0
2018-06-17,73.45,73.45,73.45,0.0,0.0,73.45,73.45,73.45,0.0,0.0,73.03,73.03,73.03,0.0,0.0,73.12,73.12,73.12,0.0,0.0
2018-06-24,71.61,71.61,71.61,0.0,0.0,71.85,71.85,71.85,0.0,0.0,71.49,71.49,71.49,0.0,0.0,71.67,71.67,71.67,0.0,0.0
2018-07-01,70.4,70.4,70.4,0.0,0.0,71.4,71.4,71.4,0.0,0.0,70.39,70.39,70.39,0.0,0.0,71.1,71.1,71.1,0.0,0.0
2018-07-08,71.93,71.93,71.93,0.0,0.0,72.08,72.08,72.08,0.0,0.0,71.67,71.67,71.67,0.0,0.0,71.97,71.97,71.97,0.0,0.0
2018-07-15,71.59,71.59,71.59,0.0,0.0,72.07,72.07,72.07,0.0,0.0,71.59,71.59,71.59,0.0,0.0,72.01,72.01,72.01,0.0,0.0
2018-07-22,73.36,73.36,73.36,0.0,0.0,73.36,73.36,73.36,0.0,0.0,72.58,72.58,72.58,0.0,0.0,72.9,72.9,72.9,0.0,0.0
2018-07-29,71.43,71.43,71.43,0.0,0.0,71.72,71.72,71.72,0.0,0.0,71.38,71.38,71.38,0.0,0.0,71.55,71.55,71.55,0.0,0.0
