Date,Janus Obesity_Open_average,Janus Obesity_Open_max,Janus Obesity_Open_min,Janus Obesity_Open_volatility,Janus Obesity_Open_change,Janus Obesity_High_average,Janus Obesity_High_max,Janus Obesity_High_min,Janus Obesity_High_volatility,Janus Obesity_High_change,Janus Obesity_Low_average,Janus Obesity_Low_max,Janus Obesity_Low_min,Janus Obesity_Low_volatility,Janus Obesity_Low_change,Janus Obesity_Close_average,Janus Obesity_Close_max,Janus Obesity_Close_min,Janus Obesity_Close_volatility,Janus Obesity_Close_change
2018-01-14,32.91,32.91,32.91,0.0,0.0,32.98,32.98,32.98,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.98,32.98,32.98,0.0,0.0
2018-01-21,33.67,33.67,33.67,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2018-01-28,31.34,31.34,31.34,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2018-02-04,31.59,31.59,31.59,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.17,31.17,31.17,0.0,0.0
2018-02-11,32.23,32.23,32.23,0.0,0.0,32.3,32.3,32.3,0.0,0.0,31.91,31.91,31.91,0.0,0.0,32.09,32.09,32.09,0.0,0.0
2018-02-18,32.47,32.47,32.47,0.0,0.0,33.25,33.25,33.25,0.0,0.0,32.33,32.33,32.33,0.0,0.0,32.96,32.96,32.96,0.0,0.0
2018-02-25,31.89,31.89,31.89,0.0,0.0,32.25,32.25,32.25,0.0,0.0,31.89,31.89,31.89,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2018-03-04,33.0,33.0,33.0,0.0,0.0,33.0,33.0,33.0,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.93,32.93,32.93,0.0,0.0
2018-03-11,32.05,32.05,32.05,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.05,32.05,32.05,0.0,0.0
2018-03-18,32.25,32.25,32.25,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0
