Date,SPDR S&P North American Natural ResourcesEtf_Open_average,SPDR S&P North American Natural ResourcesEtf_Open_max,SPDR S&P North American Natural ResourcesEtf_Open_min,SPDR S&P North American Natural ResourcesEtf_Open_volatility,SPDR S&P North American Natural ResourcesEtf_Open_change,SPDR S&P North American Natural ResourcesEtf_High_average,SPDR S&P North American Natural ResourcesEtf_High_max,SPDR S&P North American Natural ResourcesEtf_High_min,SPDR S&P North American Natural ResourcesEtf_High_volatility,SPDR S&P North American Natural ResourcesEtf_High_change,SPDR S&P North American Natural ResourcesEtf_Low_average,SPDR S&P North American Natural ResourcesEtf_Low_max,SPDR S&P North American Natural ResourcesEtf_Low_min,SPDR S&P North American Natural ResourcesEtf_Low_volatility,SPDR S&P North American Natural ResourcesEtf_Low_change,SPDR S&P North American Natural ResourcesEtf_Close_average,SPDR S&P North American Natural ResourcesEtf_Close_max,SPDR S&P North American Natural ResourcesEtf_Close_min,SPDR S&P North American Natural ResourcesEtf_Close_volatility,SPDR S&P North American Natural ResourcesEtf_Close_change
2018-01-14,36.71,36.71,36.71,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.79,36.79,36.79,0.0,0.0
2018-01-21,37.52,37.52,37.52,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.53,37.53,37.53,0.0,0.0
2018-01-28,36.33,36.33,36.33,0.0,0.0,36.33,36.33,36.33,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.15,35.15,35.15,0.0,0.0
2018-02-04,33.23,33.23,33.23,0.0,0.0,33.23,33.23,33.23,0.0,0.0,32.3,32.3,32.3,0.0,0.0,33.09,33.09,33.09,0.0,0.0
2018-02-11,34.33,34.33,34.33,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.29,34.29,34.29,0.0,0.0,34.36,34.36,34.36,0.0,0.0
2018-02-18,34.26,34.26,34.26,0.0,0.0,34.46,34.46,34.46,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.46,34.46,34.46,0.0,0.0
2018-02-25,33.21,33.21,33.21,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.07,33.07,33.07,0.0,0.0,33.38,33.38,33.38,0.0,0.0
2018-03-04,33.44,33.44,33.44,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.44,33.44,33.44,0.0,0.0,33.7,33.7,33.7,0.0,0.0
2018-03-11,33.41,33.41,33.41,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.56,33.56,33.56,0.0,0.0
2018-03-18,33.65,33.65,33.65,0.0,0.0,33.72,33.72,33.72,0.0,0.0,33.24,33.24,33.24,0.0,0.0,33.24,33.24,33.24,0.0,0.0
