Date,ATEC_stock_Open_average,ATEC_stock_Open_max,ATEC_stock_Open_min,ATEC_stock_Open_volatility,ATEC_stock_Open_change,ATEC_stock_High_average,ATEC_stock_High_max,ATEC_stock_High_min,ATEC_stock_High_volatility,ATEC_stock_High_change,ATEC_stock_Low_average,ATEC_stock_Low_max,ATEC_stock_Low_min,ATEC_stock_Low_volatility,ATEC_stock_Low_change,ATEC_stock_Close_average,ATEC_stock_Close_max,ATEC_stock_Close_min,ATEC_stock_Close_volatility,ATEC_stock_Close_change,ATEC_stock_Volume_average,ATEC_stock_Volume_max,ATEC_stock_Volume_min,ATEC_stock_Volume_volatility,ATEC_stock_Volume_change
2018-01-14,3.33,3.5,3.16,0.33999999999999986,0.2999999999999998,3.5,3.6,3.29,0.31000000000000005,0.22999999999999998,3.205,3.31,3.14,0.16999999999999993,0.06999999999999984,3.3825000000000003,3.53,3.22,0.3099999999999996,0.1299999999999999,162318,198392,91461,106931,-78255
2018-01-21,3.366,3.45,3.29,0.16000000000000014,0.15000000000000036,3.462,3.51,3.42,0.08999999999999986,-0.009999999999999787,3.278,3.3,3.25,0.04999999999999982,0.0,3.406,3.45,3.33,0.1200000000000001,-0.010000000000000231,55454,101700,26469,75231,-40370
2018-01-28,3.3120000000000003,3.42,3.2,0.21999999999999975,-0.17999999999999972,3.384,3.54,3.3,0.2400000000000002,-0.2400000000000002,3.23,3.37,3.13,0.2400000000000002,-0.2400000000000002,3.2520000000000002,3.37,3.15,0.2200000000000002,-0.2200000000000002,49756,96894,34006,62888,10211
2018-02-04,3.218,3.3,3.01,0.29000000000000004,0.08999999999999986,3.384,3.46,3.3,0.16000000000000014,0.06999999999999984,3.166,3.24,3.01,0.23000000000000043,0.14000000000000012,3.22,3.26,3.11,0.1499999999999999,0.14000000000000012,66623,75567,42320,33247,33247
2018-02-11,3.28,3.38,3.22,0.1599999999999997,-0.1599999999999997,3.372,3.44,3.27,0.16999999999999993,0.009999999999999787,3.15,3.25,3.06,0.18999999999999995,-0.16000000000000014,3.244,3.28,3.22,0.05999999999999961,0.0,92571,129785,56933,72852,72852
2018-02-18,3.3325,3.45,3.15,0.30000000000000027,0.18000000000000016,3.4075,3.45,3.33,0.1200000000000001,-0.06999999999999984,3.2425,3.33,3.14,0.18999999999999995,0.10999999999999988,3.3125,3.42,3.27,0.1499999999999999,0.020000000000000018,58975,87911,40166,47745,-44634
2018-02-25,3.282,3.38,3.17,0.20999999999999996,-0.16999999999999993,3.332,3.42,3.25,0.16999999999999993,-0.16999999999999993,3.204,3.32,3.1,0.21999999999999975,-0.1499999999999999,3.25,3.34,3.19,0.1499999999999999,-0.11999999999999966,40304,72080,17897,54183,16572
2018-03-04,3.33,3.5,3.21,0.29000000000000004,0.29000000000000004,3.46,3.6,3.29,0.31000000000000005,0.29000000000000004,3.194,3.28,3.1,0.17999999999999972,-0.029999999999999805,3.364,3.48,3.22,0.2599999999999998,0.20999999999999996,120866,218818,28861,189957,108029
2018-03-11,3.2600000000000002,3.45,3.14,0.31000000000000005,-0.25,3.32,3.45,3.21,0.2400000000000002,-0.1900000000000004,3.13,3.24,3.05,0.1900000000000004,-0.10000000000000009,3.218,3.3,3.14,0.1599999999999997,-0.040000000000000036,80205,121832,47129,74703,-58698
2018-03-18,3.312,3.4,3.28,0.1200000000000001,0.020000000000000018,3.414,3.5,3.38,0.1200000000000001,0.020000000000000018,3.28,3.34,3.21,0.1299999999999999,0.08999999999999986,3.338,3.4,3.28,0.1200000000000001,0.020000000000000018,86701,138790,37680,101110,-101110
2018-03-25,3.1774999999999998,3.3,3.11,0.18999999999999995,-0.18999999999999995,3.245,3.32,3.2,0.11999999999999966,-0.10999999999999988,3.09,3.15,3.02,0.1299999999999999,-0.1299999999999999,3.1425,3.21,3.04,0.16999999999999993,0.06000000000000005,64084,71928,55670,16258,7732
