Date,OIS_stock_Open_average,OIS_stock_Open_max,OIS_stock_Open_min,OIS_stock_Open_volatility,OIS_stock_Open_change,OIS_stock_High_average,OIS_stock_High_max,OIS_stock_High_min,OIS_stock_High_volatility,OIS_stock_High_change,OIS_stock_Low_average,OIS_stock_Low_max,OIS_stock_Low_min,OIS_stock_Low_volatility,OIS_stock_Low_change,OIS_stock_Close_average,OIS_stock_Close_max,OIS_stock_Close_min,OIS_stock_Close_volatility,OIS_stock_Close_change,OIS_stock_Volume_average,OIS_stock_Volume_max,OIS_stock_Volume_min,OIS_stock_Volume_volatility,OIS_stock_Volume_change
2018-01-14,33.35,34.05,32.2,1.8499999999999943,-1.8499999999999943,33.8425,34.72,32.95,1.769999999999996,-1.769999999999996,32.7325,33.3,32.08,1.2199999999999989,-1.2199999999999989,33.05,33.6,32.45,1.1499999999999986,-0.5500000000000043,764299,1025122,510334,514788,-333081
2018-01-21,33.26,33.55,32.75,0.7999999999999972,-0.14999999999999858,33.629999999999995,33.9,33.5,0.3999999999999986,-0.04999999999999716,32.624,32.95,32.3,0.6500000000000057,-0.3200000000000003,33.11,33.5,32.6,0.8999999999999986,-0.8500000000000014,855267,1609889,319268,1290621,799557
2018-01-28,32.15,32.8,31.8,0.9999999999999964,-0.5500000000000007,32.717999999999996,33.24,32.05,1.1900000000000048,-0.6000000000000014,31.45,31.7,30.9,0.8000000000000007,-0.8000000000000007,32.07,32.8,31.0,1.7999999999999972,-1.25,694846,1305060,474474,830586,-109536
2018-02-04,29.55,30.55,28.6,1.9499999999999993,-1.9499999999999993,30.16,31.35,28.7,2.650000000000002,-2.650000000000002,28.509999999999998,29.45,26.65,2.8000000000000007,-2.8000000000000007,29.01,30.25,27.55,2.6999999999999993,-2.0500000000000007,686622,918727,515328,403399,45855
2018-02-11,27.84,29.5,26.75,2.75,-1.1999999999999993,28.78,30.3,27.7,2.6000000000000014,-0.75,27.136,27.6,26.65,0.9500000000000028,-0.75,27.76,28.75,26.95,1.8000000000000007,-0.8000000000000007,1194641,1798994,681399,1117595,505959
2018-02-18,26.725,27.45,26.05,1.3999999999999986,-1.1999999999999993,27.355,27.95,26.45,1.5,-1.5,26.32,27.18,25.75,1.4299999999999997,-1.4299999999999997,26.5375,27.25,26.0,1.25,-0.8500000000000014,1624189,3860105,650596,3209509,246217
2018-02-25,25.6,26.6,24.5,2.1000000000000014,-2.1000000000000014,25.936,27.0,24.95,2.0500000000000007,-1.8000000000000007,24.766,26.05,23.65,2.400000000000002,-2.400000000000002,25.28,26.6,24.6,2.0,-1.8000000000000007,1585109,2124492,938949,1185543,1185543
2018-03-04,25.39,26.1,24.6,1.5,1.5,25.98,26.4,25.7,0.6999999999999993,0.4499999999999993,25.02,25.75,24.15,1.6000000000000014,1.6000000000000014,25.62,26.15,25.35,0.7999999999999972,0.7999999999999972,1217813,2287478,671741,1615737,-668703
2018-03-11,25.81,26.35,24.65,1.7000000000000028,-1.5,26.14,26.7,25.6,1.0999999999999979,-0.8499999999999979,25.134,25.8,24.2,1.6000000000000014,-1.1999999999999993,25.53,26.35,24.6,1.75,-1.1500000000000021,950522,1777762,547536,1230226,1230226
2018-03-18,25.22,26.0,24.7,1.3000000000000007,0.4499999999999993,25.826,26.48,25.1,1.379999999999999,0.8000000000000007,24.81,25.4,24.2,1.1999999999999993,0.8500000000000014,25.33,26.3,24.55,1.75,0.9499999999999993,966378,1253086,744711,508375,414326
