Date,iShares Russell Mid-Cap Growth_Open_average,iShares Russell Mid-Cap Growth_Open_max,iShares Russell Mid-Cap Growth_Open_min,iShares Russell Mid-Cap Growth_Open_volatility,iShares Russell Mid-Cap Growth_Open_change,iShares Russell Mid-Cap Growth_High_average,iShares Russell Mid-Cap Growth_High_max,iShares Russell Mid-Cap Growth_High_min,iShares Russell Mid-Cap Growth_High_volatility,iShares Russell Mid-Cap Growth_High_change,iShares Russell Mid-Cap Growth_Low_average,iShares Russell Mid-Cap Growth_Low_max,iShares Russell Mid-Cap Growth_Low_min,iShares Russell Mid-Cap Growth_Low_volatility,iShares Russell Mid-Cap Growth_Low_change,iShares Russell Mid-Cap Growth_Close_average,iShares Russell Mid-Cap Growth_Close_max,iShares Russell Mid-Cap Growth_Close_min,iShares Russell Mid-Cap Growth_Close_volatility,iShares Russell Mid-Cap Growth_Close_change
2018-01-14,127.79,127.79,127.79,0.0,0.0,128.42,128.42,128.42,0.0,0.0,127.45,127.45,127.45,0.0,0.0,128.42,128.42,128.42,0.0,0.0
2018-01-21,129.81,129.81,129.81,0.0,0.0,130.04,130.04,130.04,0.0,0.0,128.69,128.69,128.69,0.0,0.0,128.82,128.82,128.82,0.0,0.0
2018-01-28,123.66,123.66,123.66,0.0,0.0,125.25,125.25,125.25,0.0,0.0,120.34,120.34,120.34,0.0,0.0,120.35,120.35,120.35,0.0,0.0
2018-02-04,119.39,119.39,119.39,0.0,0.0,121.07,121.07,121.07,0.0,0.0,118.84,118.84,118.84,0.0,0.0,120.36,120.36,120.36,0.0,0.0
2018-02-11,123.87,123.87,123.87,0.0,0.0,125.0,125.0,125.0,0.0,0.0,123.87,123.87,123.87,0.0,0.0,124.09,124.09,124.09,0.0,0.0
2018-02-18,125.57,125.57,125.57,0.0,0.0,126.06,126.06,126.06,0.0,0.0,124.89,124.89,124.89,0.0,0.0,125.95,125.95,125.95,0.0,0.0
2018-02-25,122.73,122.73,122.73,0.0,0.0,125.01,125.01,125.01,0.0,0.0,122.7,122.7,122.7,0.0,0.0,124.74,124.74,124.74,0.0,0.0
2018-03-04,128.88,128.88,128.88,0.0,0.0,128.93,128.93,128.93,0.0,0.0,128.39,128.39,128.39,0.0,0.0,128.6,128.6,128.6,0.0,0.0
2018-03-11,127.04,127.04,127.04,0.0,0.0,127.26,127.26,127.26,0.0,0.0,125.45,125.45,125.45,0.0,0.0,126.39,126.39,126.39,0.0,0.0
2018-03-18,122.82,122.82,122.82,0.0,0.0,124.2,124.2,124.2,0.0,0.0,121.75,121.75,121.75,0.0,0.0,124.12,124.12,124.12,0.0,0.0
2018-03-25,122.51,122.51,122.51,0.0,0.0,122.87,122.87,122.87,0.0,0.0,118.77,118.77,118.77,0.0,0.0,119.86,119.86,119.86,0.0,0.0
2018-04-01,121.03,121.03,121.03,0.0,0.0,122.22,122.22,122.22,0.0,0.0,120.45,120.45,120.45,0.0,0.0,120.52,120.52,120.52,0.0,0.0
2018-04-08,123.18,123.18,123.18,0.0,0.0,123.91,123.91,123.91,0.0,0.0,122.71,122.71,122.71,0.0,0.0,123.61,123.61,123.61,0.0,0.0
2018-04-15,123.52,123.52,123.52,0.0,0.0,124.11,124.11,124.11,0.0,0.0,122.68,122.68,122.68,0.0,0.0,123.19,123.19,123.19,0.0,0.0
2018-04-22,123.0,123.0,123.0,0.0,0.0,123.27,123.27,123.27,0.0,0.0,121.73,121.73,121.73,0.0,0.0,121.73,121.73,121.73,0.0,0.0
2018-04-29,123.78,123.78,123.78,0.0,0.0,124.36,124.36,124.36,0.0,0.0,123.59,123.59,123.59,0.0,0.0,123.97,123.97,123.97,0.0,0.0
2018-05-06,126.92,126.92,126.92,0.0,0.0,127.24,127.24,127.24,0.0,0.0,126.13,126.13,126.13,0.0,0.0,126.37,126.37,126.37,0.0,0.0
2018-05-13,127.49,127.49,127.49,0.0,0.0,127.89,127.89,127.89,0.0,0.0,127.23,127.23,127.23,0.0,0.0,127.54,127.54,127.54,0.0,0.0
2018-05-20,126.96,126.96,126.96,0.0,0.0,127.3,127.3,127.3,0.0,0.0,126.66,126.66,126.66,0.0,0.0,126.88,126.88,126.88,0.0,0.0
2018-05-27,128.23,128.23,128.23,0.0,0.0,128.78,128.78,128.78,0.0,0.0,127.96,127.96,127.96,0.0,0.0,128.77,128.77,128.77,0.0,0.0
2018-06-03,130.65,130.65,130.65,0.0,0.0,131.12,131.12,131.12,0.0,0.0,130.65,130.65,130.65,0.0,0.0,130.86,130.86,130.86,0.0,0.0
