Date,Xtrackers Short Duration High Yield_Open_average,Xtrackers Short Duration High Yield_Open_max,Xtrackers Short Duration High Yield_Open_min,Xtrackers Short Duration High Yield_Open_volatility,Xtrackers Short Duration High Yield_Open_change,Xtrackers Short Duration High Yield_High_average,Xtrackers Short Duration High Yield_High_max,Xtrackers Short Duration High Yield_High_min,Xtrackers Short Duration High Yield_High_volatility,Xtrackers Short Duration High Yield_High_change,Xtrackers Short Duration High Yield_Low_average,Xtrackers Short Duration High Yield_Low_max,Xtrackers Short Duration High Yield_Low_min,Xtrackers Short Duration High Yield_Low_volatility,Xtrackers Short Duration High Yield_Low_change,Xtrackers Short Duration High Yield_Close_average,Xtrackers Short Duration High Yield_Close_max,Xtrackers Short Duration High Yield_Close_min,Xtrackers Short Duration High Yield_Close_volatility,Xtrackers Short Duration High Yield_Close_change
2018-01-14,50.13,50.13,50.13,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2018-01-21,50.26,50.26,50.26,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2018-01-28,49.8,49.8,49.8,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.6,49.6,49.6,0.0,0.0
2018-02-04,49.24,49.24,49.24,0.0,0.0,49.41,49.41,49.41,0.0,0.0,49.24,49.24,49.24,0.0,0.0,49.35,49.35,49.35,0.0,0.0
2018-02-11,49.67,49.67,49.67,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.71,49.71,49.71,0.0,0.0
2018-02-18,49.79,49.79,49.79,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2018-02-25,49.44,49.44,49.44,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.42,49.42,49.42,0.0,0.0,49.51,49.51,49.51,0.0,0.0
2018-03-04,49.6,49.6,49.6,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.61,49.61,49.61,0.0,0.0
2018-03-11,49.36,49.36,49.36,0.0,0.0,49.42,49.42,49.42,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.41,49.41,49.41,0.0,0.0
2018-03-18,49.33,49.33,49.33,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.45,49.45,49.45,0.0,0.0
2018-03-25,49.12,49.12,49.12,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.16,49.16,49.16,0.0,0.0
2018-04-01,49.35,49.35,49.35,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.44,49.44,49.44,0.0,0.0
2018-04-08,49.73,49.73,49.73,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.77,49.77,49.77,0.0,0.0
2018-04-15,49.53,49.53,49.53,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2018-04-22,49.57,49.57,49.57,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2018-04-29,49.44,49.44,49.44,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.4,49.4,49.4,0.0,0.0
2018-05-06,49.48,49.48,49.48,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.51,49.51,49.51,0.0,0.0
2018-05-13,49.53,49.53,49.53,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.51,49.51,49.51,0.0,0.0
2018-05-20,49.51,49.51,49.51,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.46,49.46,49.46,0.0,0.0,49.46,49.46,49.46,0.0,0.0
2018-05-27,49.35,49.35,49.35,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.36,49.36,49.36,0.0,0.0
2018-06-03,49.59,49.59,49.59,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.55,49.55,49.55,0.0,0.0,49.56,49.56,49.56,0.0,0.0
2018-06-10,49.69,49.69,49.69,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.66,49.66,49.66,0.0,0.0
2018-06-17,49.59,49.59,49.59,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.56,49.56,49.56,0.0,0.0
2018-06-24,49.23,49.23,49.23,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.24,49.24,49.24,0.0,0.0
2018-07-01,49.31,49.31,49.31,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.31,49.31,49.31,0.0,0.0
2018-07-08,49.41,49.41,49.41,0.0,0.0,49.41,49.41,49.41,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.4,49.4,49.4,0.0,0.0
2018-07-15,49.46,49.46,49.46,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2018-07-22,49.58,49.58,49.58,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.55,49.55,49.55,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2018-07-29,49.53,49.53,49.53,0.0,0.0,49.55,49.55,49.55,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2018-08-05,49.47,49.47,49.47,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.42,49.42,49.42,0.0,0.0,49.48,49.48,49.48,0.0,0.0
2018-08-12,49.53,49.53,49.53,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.57,49.57,49.57,0.0,0.0
2018-08-19,49.68,49.68,49.68,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.71,49.71,49.71,0.0,0.0
2018-08-26,49.71,49.71,49.71,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.7,49.7,49.7,0.0,0.0
