Date,Oppenheimer Large Cap Revenue_Open_average,Oppenheimer Large Cap Revenue_Open_max,Oppenheimer Large Cap Revenue_Open_min,Oppenheimer Large Cap Revenue_Open_volatility,Oppenheimer Large Cap Revenue_Open_change,Oppenheimer Large Cap Revenue_High_average,Oppenheimer Large Cap Revenue_High_max,Oppenheimer Large Cap Revenue_High_min,Oppenheimer Large Cap Revenue_High_volatility,Oppenheimer Large Cap Revenue_High_change,Oppenheimer Large Cap Revenue_Low_average,Oppenheimer Large Cap Revenue_Low_max,Oppenheimer Large Cap Revenue_Low_min,Oppenheimer Large Cap Revenue_Low_volatility,Oppenheimer Large Cap Revenue_Low_change,Oppenheimer Large Cap Revenue_Close_average,Oppenheimer Large Cap Revenue_Close_max,Oppenheimer Large Cap Revenue_Close_min,Oppenheimer Large Cap Revenue_Close_volatility,Oppenheimer Large Cap Revenue_Close_change
2018-01-14,54.12,54.12,54.12,0.0,0.0,54.63,54.63,54.63,0.0,0.0,54.1,54.1,54.1,0.0,0.0,54.63,54.63,54.63,0.0,0.0
2018-01-21,55.07,55.07,55.07,0.0,0.0,55.31,55.31,55.31,0.0,0.0,54.94,54.94,54.94,0.0,0.0,55.02,55.02,55.02,0.0,0.0
2018-01-28,52.46,52.46,52.46,0.0,0.0,52.74,52.74,52.74,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.6,50.6,50.6,0.0,0.0
2018-02-04,50.47,50.47,50.47,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.66,50.66,50.66,0.0,0.0
2018-02-11,51.89,51.89,51.89,0.0,0.0,52.5,52.5,52.5,0.0,0.0,51.89,51.89,51.89,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2018-02-18,52.16,52.16,52.16,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.58,52.58,52.58,0.0,0.0
2018-02-25,50.71,50.71,50.71,0.0,0.0,51.55,51.55,51.55,0.0,0.0,50.59,50.59,50.59,0.0,0.0,51.45,51.45,51.45,0.0,0.0
2018-03-04,52.36,52.36,52.36,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.14,52.14,52.14,0.0,0.0,52.24,52.24,52.24,0.0,0.0
2018-03-11,51.33,51.33,51.33,0.0,0.0,51.33,51.33,51.33,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.83,50.83,50.83,0.0,0.0
2018-03-18,49.35,49.35,49.35,0.0,0.0,49.83,49.83,49.83,0.0,0.0,48.92,48.92,48.92,0.0,0.0,49.81,49.81,49.81,0.0,0.0
