Date,SPDR S&P Dividend_Open_average,SPDR S&P Dividend_Open_max,SPDR S&P Dividend_Open_min,SPDR S&P Dividend_Open_volatility,SPDR S&P Dividend_Open_change,SPDR S&P Dividend_High_average,SPDR S&P Dividend_High_max,SPDR S&P Dividend_High_min,SPDR S&P Dividend_High_volatility,SPDR S&P Dividend_High_change,SPDR S&P Dividend_Low_average,SPDR S&P Dividend_Low_max,SPDR S&P Dividend_Low_min,SPDR S&P Dividend_Low_volatility,SPDR S&P Dividend_Low_change,SPDR S&P Dividend_Close_average,SPDR S&P Dividend_Close_max,SPDR S&P Dividend_Close_min,SPDR S&P Dividend_Close_volatility,SPDR S&P Dividend_Close_change
2018-01-14,95.89,95.89,95.89,0.0,0.0,96.37,96.37,96.37,0.0,0.0,95.81,95.81,95.81,0.0,0.0,96.37,96.37,96.37,0.0,0.0
2018-01-21,97.8,97.8,97.8,0.0,0.0,98.29,98.29,98.29,0.0,0.0,97.55,97.55,97.55,0.0,0.0,98.28,98.28,98.28,0.0,0.0
2018-01-28,95.24,95.24,95.24,0.0,0.0,95.34,95.34,95.34,0.0,0.0,93.99,93.99,93.99,0.0,0.0,94.03,94.03,94.03,0.0,0.0
2018-02-04,89.8,89.8,89.8,0.0,0.0,91.01,91.01,91.01,0.0,0.0,87.95,87.95,87.95,0.0,0.0,90.38,90.38,90.38,0.0,0.0
2018-02-11,92.85,92.85,92.85,0.0,0.0,93.94,93.94,93.94,0.0,0.0,92.85,92.85,92.85,0.0,0.0,93.52,93.52,93.52,0.0,0.0
2018-02-18,92.34,92.34,92.34,0.0,0.0,93.27,93.27,93.27,0.0,0.0,92.32,92.32,92.32,0.0,0.0,93.25,93.25,93.25,0.0,0.0
2018-02-25,90.52,90.52,90.52,0.0,0.0,91.52,91.52,91.52,0.0,0.0,90.35,90.35,90.35,0.0,0.0,91.32,91.32,91.32,0.0,0.0
2018-03-04,93.37,93.37,93.37,0.0,0.0,94.15,94.15,94.15,0.0,0.0,93.16,93.16,93.16,0.0,0.0,94.12,94.12,94.12,0.0,0.0
2018-03-11,92.66,92.66,92.66,0.0,0.0,93.36,93.36,93.36,0.0,0.0,92.45,92.45,92.45,0.0,0.0,93.16,93.16,93.16,0.0,0.0
2018-03-18,90.29,90.29,90.29,0.0,0.0,90.69,90.69,90.69,0.0,0.0,88.58,88.58,88.58,0.0,0.0,88.64,88.64,88.64,0.0,0.0
2018-03-25,90.76,90.76,90.76,0.0,0.0,91.54,91.54,91.54,0.0,0.0,90.76,90.76,90.76,0.0,0.0,91.2,91.2,91.2,0.0,0.0
2018-04-01,91.63,91.63,91.63,0.0,0.0,92.19,92.19,92.19,0.0,0.0,90.0,90.0,90.0,0.0,0.0,90.58,90.58,90.58,0.0,0.0
2018-04-08,91.72,91.72,91.72,0.0,0.0,91.79,91.79,91.79,0.0,0.0,90.99,90.99,90.99,0.0,0.0,91.26,91.26,91.26,0.0,0.0
2018-04-15,91.91,91.91,91.91,0.0,0.0,92.02,92.02,92.02,0.0,0.0,90.88,90.88,90.88,0.0,0.0,91.2,91.2,91.2,0.0,0.0
2018-04-22,91.25,91.25,91.25,0.0,0.0,91.98,91.98,91.98,0.0,0.0,91.2,91.2,91.2,0.0,0.0,91.78,91.78,91.78,0.0,0.0
2018-04-29,89.51,89.51,89.51,0.0,0.0,91.25,91.25,91.25,0.0,0.0,89.42,89.42,89.42,0.0,0.0,90.91,90.91,90.91,0.0,0.0
2018-05-06,92.15,92.15,92.15,0.0,0.0,92.4,92.4,92.4,0.0,0.0,91.91,91.91,91.91,0.0,0.0,92.14,92.14,92.14,0.0,0.0
2018-05-13,92.0,92.0,92.0,0.0,0.0,92.21,92.21,92.21,0.0,0.0,91.81,91.81,91.81,0.0,0.0,92.06,92.06,92.06,0.0,0.0
2018-05-20,92.3,92.3,92.3,0.0,0.0,92.6,92.6,92.6,0.0,0.0,92.15,92.15,92.15,0.0,0.0,92.37,92.37,92.37,0.0,0.0
2018-05-27,92.41,92.41,92.41,0.0,0.0,92.7,92.7,92.7,0.0,0.0,92.26,92.26,92.26,0.0,0.0,92.35,92.35,92.35,0.0,0.0
2018-06-03,93.62,93.62,93.62,0.0,0.0,94.09,94.09,94.09,0.0,0.0,93.58,93.58,93.58,0.0,0.0,94.05,94.05,94.05,0.0,0.0
