Date,BANC_Open_average,BANC_Open_max,BANC_Open_min,BANC_Open_volatility,BANC_Open_change,BANC_High_average,BANC_High_max,BANC_High_min,BANC_High_volatility,BANC_High_change,BANC_Low_average,BANC_Low_max,BANC_Low_min,BANC_Low_volatility,BANC_Low_change,BANC_Close_average,BANC_Close_max,BANC_Close_min,BANC_Close_volatility,BANC_Close_change,BANC_Volume_average,BANC_Volume_max,BANC_Volume_min,BANC_Volume_volatility,BANC_Volume_change
2018-01-14,21.490000000000002,21.6,21.3,0.3000000000000007,0.05000000000000071,21.75,21.85,21.7,0.15000000000000213,-0.15000000000000213,21.29,21.5,21.05,0.4499999999999993,0.3000000000000007,21.53,21.7,21.15,0.5500000000000007,0.5500000000000007,424703,520628,312648,207980,119455
2018-01-21,21.05,21.65,20.45,1.1999999999999993,-1.1500000000000021,21.304,21.82,20.6,1.2199999999999989,-1.0999999999999979,20.628,21.38,19.9,1.4800000000000004,-1.4500000000000028,21.02,21.7,19.95,1.75,-1.6999999999999993,1132989,1758809,348701,1410108,824649
2018-01-28,19.53,19.8,19.25,0.5500000000000007,-0.3999999999999986,19.83,20.0,19.65,0.3500000000000014,-0.25,19.233999999999998,19.6,18.75,0.8500000000000014,-0.6499999999999986,19.41,19.7,18.75,0.9499999999999993,-0.9499999999999993,747594,1014008,569383,444625,158293
2018-02-04,19.13,19.5,18.5,1.0,0.75,19.766000000000002,20.38,19.3,1.0799999999999983,0.4299999999999997,18.93,19.35,18.5,0.8500000000000014,0.5500000000000007,19.31,19.65,19.05,0.5999999999999979,0.5999999999999979,1098185,1771037,587593,1183444,83625
2018-02-11,20.025,20.4,19.55,0.8499999999999979,0.8000000000000007,20.5175,20.8,20.0,0.8000000000000007,0.6499999999999986,19.945,20.35,19.48,0.870000000000001,0.7699999999999996,20.2375,20.4,19.85,0.5499999999999972,0.5499999999999972,618768,777258,454680,322578,217507
2018-02-18,20.35,20.55,20.05,0.5,0.15000000000000213,20.636,20.8,20.55,0.25,0.25,20.074,20.32,19.9,0.4200000000000017,0.4200000000000017,20.41,20.8,20.0,0.8000000000000007,0.8000000000000007,545763,703092,465029,238063,33895
2018-02-25,20.18,20.8,19.7,1.1000000000000014,-0.8000000000000007,20.45,20.9,20.05,0.8499999999999979,-0.29999999999999716,19.844,20.25,19.5,0.75,-0.4299999999999997,20.13,20.4,19.8,0.5999999999999979,0.04999999999999716,368598,431806,325740,106066,-54121
2018-03-04,20.46,20.6,20.3,0.3000000000000007,0.10000000000000142,20.796,20.95,20.65,0.3000000000000007,0.21999999999999886,20.326,20.5,20.2,0.3000000000000007,0.2699999999999996,20.55,20.75,20.35,0.3999999999999986,0.25,378510,487459,292308,195151,-27274
2018-03-11,20.73,21.2,20.3,0.8999999999999986,-0.5500000000000007,20.864,21.32,20.3,1.0199999999999996,-1.0199999999999996,20.37,20.75,19.8,0.9499999999999993,-0.8500000000000014,20.76,21.3,20.15,1.1500000000000021,-1.1500000000000021,871134,2019326,339033,1680293,-516554
2018-03-18,19.52,20.3,18.9,1.4000000000000021,-1.4000000000000021,19.7,20.35,19.25,1.1000000000000014,-1.0500000000000007,19.14,19.7,18.65,1.0500000000000007,-0.8999999999999986,19.3,19.75,18.7,1.0500000000000007,-0.5500000000000007,831724,1009703,578505,431198,-336563
2018-03-25,19.075,19.3,18.85,0.4499999999999993,-0.10000000000000142,19.395,19.6,19.2,0.40000000000000213,0.0799999999999983,18.7875,18.9,18.65,0.25,0.14999999999999858,19.025,19.3,18.8,0.5,0.29999999999999716,535152,645033,363406,281627,-163577
2018-04-01,18.919999999999998,19.55,18.25,1.3000000000000007,-0.9499999999999993,19.24,19.6,18.7,0.9000000000000021,-0.75,18.7,19.32,18.0,1.3200000000000003,-0.9000000000000021,18.9,19.5,18.15,1.3500000000000014,-1.0,789599,2087878,320252,1767626,327109
2018-04-08,18.68,18.95,18.45,0.5,0.10000000000000142,18.919999999999998,19.2,18.55,0.6499999999999986,-0.379999999999999,18.436,18.7,18.18,0.5199999999999996,-0.21999999999999886,18.66,18.85,18.45,0.40000000000000213,-0.40000000000000213,571003,957678,362917,594761,138083
2018-04-15,18.46,18.75,18.25,0.5,0.25,18.714000000000002,19.05,18.55,0.5,0.4499999999999993,18.39,18.7,18.2,0.5,0.5,18.56,19.05,18.25,0.8000000000000007,0.8000000000000007,378204,463364,330096,133268,-30194
2018-04-22,19.09,19.25,18.9,0.3500000000000014,0.10000000000000142,19.29,19.65,18.95,0.6999999999999993,0.34999999999999787,18.81,19.15,18.4,0.75,0.29999999999999716,18.92,19.2,18.5,0.6999999999999993,0.25,978437,1955558,308834,1646724,1577764
