Date,Real Estate Select Sector SPDR_Open_average,Real Estate Select Sector SPDR_Open_max,Real Estate Select Sector SPDR_Open_min,Real Estate Select Sector SPDR_Open_volatility,Real Estate Select Sector SPDR_Open_change,Real Estate Select Sector SPDR_High_average,Real Estate Select Sector SPDR_High_max,Real Estate Select Sector SPDR_High_min,Real Estate Select Sector SPDR_High_volatility,Real Estate Select Sector SPDR_High_change,Real Estate Select Sector SPDR_Low_average,Real Estate Select Sector SPDR_Low_max,Real Estate Select Sector SPDR_Low_min,Real Estate Select Sector SPDR_Low_volatility,Real Estate Select Sector SPDR_Low_change,Real Estate Select Sector SPDR_Close_average,Real Estate Select Sector SPDR_Close_max,Real Estate Select Sector SPDR_Close_min,Real Estate Select Sector SPDR_Close_volatility,Real Estate Select Sector SPDR_Close_change
2018-01-14,31.46,31.46,31.46,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.74,31.74,31.74,0.0,0.0
2018-01-21,32.07,32.07,32.07,0.0,0.0,32.11,32.11,32.11,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.79,31.79,31.79,0.0,0.0
2018-01-28,31.25,31.25,31.25,0.0,0.0,31.59,31.59,31.59,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2018-02-04,30.22,30.22,30.22,0.0,0.0,30.32,30.32,30.32,0.0,0.0,29.44,29.44,29.44,0.0,0.0,30.17,30.17,30.17,0.0,0.0
2018-02-11,30.48,30.48,30.48,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2018-02-18,30.79,30.79,30.79,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.81,30.81,30.81,0.0,0.0
2018-02-25,29.74,29.74,29.74,0.0,0.0,30.39,30.39,30.39,0.0,0.0,29.66,29.66,29.66,0.0,0.0,30.28,30.28,30.28,0.0,0.0
2018-03-04,30.97,30.97,30.97,0.0,0.0,31.2,31.2,31.2,0.0,0.0,30.93,30.93,30.93,0.0,0.0,31.12,31.12,31.12,0.0,0.0
2018-03-11,31.26,31.26,31.26,0.0,0.0,31.26,31.26,31.26,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.95,30.95,30.95,0.0,0.0
2018-03-18,30.32,30.32,30.32,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.48,30.48,30.48,0.0,0.0
