Date,Invesco S and P 500 Value with Momentum_etf_Open_average,Invesco S and P 500 Value with Momentum_etf_Open_max,Invesco S and P 500 Value with Momentum_etf_Open_min,Invesco S and P 500 Value with Momentum_etf_Open_volatility,Invesco S and P 500 Value with Momentum_etf_Open_change,Invesco S and P 500 Value with Momentum_etf_High_average,Invesco S and P 500 Value with Momentum_etf_High_max,Invesco S and P 500 Value with Momentum_etf_High_min,Invesco S and P 500 Value with Momentum_etf_High_volatility,Invesco S and P 500 Value with Momentum_etf_High_change,Invesco S and P 500 Value with Momentum_etf_Low_average,Invesco S and P 500 Value with Momentum_etf_Low_max,Invesco S and P 500 Value with Momentum_etf_Low_min,Invesco S and P 500 Value with Momentum_etf_Low_volatility,Invesco S and P 500 Value with Momentum_etf_Low_change,Invesco S and P 500 Value with Momentum_etf_Close_average,Invesco S and P 500 Value with Momentum_etf_Close_max,Invesco S and P 500 Value with Momentum_etf_Close_min,Invesco S and P 500 Value with Momentum_etf_Close_volatility,Invesco S and P 500 Value with Momentum_etf_Close_change
2018-01-14,39.75,39.75,39.75,0.0,0.0,39.86,39.86,39.86,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.86,39.86,39.86,0.0,0.0
2018-01-21,40.42,40.42,40.42,0.0,0.0,40.69,40.69,40.69,0.0,0.0,40.33,40.33,40.33,0.0,0.0,40.69,40.69,40.69,0.0,0.0
2018-01-28,39.79,39.79,39.79,0.0,0.0,39.93,39.93,39.93,0.0,0.0,39.37,39.37,39.37,0.0,0.0,39.43,39.43,39.43,0.0,0.0
2018-02-04,37.34,37.34,37.34,0.0,0.0,37.66,37.66,37.66,0.0,0.0,36.4,36.4,36.4,0.0,0.0,37.45,37.45,37.45,0.0,0.0
2018-02-11,38.84,38.84,38.84,0.0,0.0,39.06,39.06,39.06,0.0,0.0,38.84,38.84,38.84,0.0,0.0,38.93,38.93,38.93,0.0,0.0
2018-02-18,38.63,38.63,38.63,0.0,0.0,39.05,39.05,39.05,0.0,0.0,38.63,38.63,38.63,0.0,0.0,39.05,39.05,39.05,0.0,0.0
2018-02-25,37.72,37.72,37.72,0.0,0.0,38.1,38.1,38.1,0.0,0.0,37.69,37.69,37.69,0.0,0.0,38.1,38.1,38.1,0.0,0.0
2018-03-04,38.88,38.88,38.88,0.0,0.0,39.22,39.22,39.22,0.0,0.0,38.88,38.88,38.88,0.0,0.0,39.22,39.22,39.22,0.0,0.0
2018-03-11,38.86,38.86,38.86,0.0,0.0,39.02,39.02,39.02,0.0,0.0,38.8,38.8,38.8,0.0,0.0,38.94,38.94,38.94,0.0,0.0
2018-03-18,37.53,37.53,37.53,0.0,0.0,37.53,37.53,37.53,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.6,36.6,36.6,0.0,0.0
2018-03-25,37.17,37.17,37.17,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.17,37.17,37.17,0.0,0.0,37.64,37.64,37.64,0.0,0.0
2018-04-01,38.0,38.0,38.0,0.0,0.0,38.0,38.0,38.0,0.0,0.0,36.95,36.95,36.95,0.0,0.0,36.95,36.95,36.95,0.0,0.0
2018-04-08,38.75,38.75,38.75,0.0,0.0,38.75,38.75,38.75,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.73,37.73,37.73,0.0,0.0
2018-04-15,38.35,38.35,38.35,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.18,38.18,38.18,0.0,0.0,38.18,38.18,38.18,0.0,0.0
2018-04-22,38.47,38.47,38.47,0.0,0.0,38.58,38.58,38.58,0.0,0.0,38.44,38.44,38.44,0.0,0.0,38.53,38.53,38.53,0.0,0.0
2018-04-29,37.43,37.43,37.43,0.0,0.0,38.12,38.12,38.12,0.0,0.0,37.43,37.43,37.43,0.0,0.0,38.06,38.06,38.06,0.0,0.0
2018-05-06,38.62,38.62,38.62,0.0,0.0,38.62,38.62,38.62,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.55,38.55,38.55,0.0,0.0
2018-05-13,38.87,38.87,38.87,0.0,0.0,38.87,38.87,38.87,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.47,38.47,38.47,0.0,0.0
2018-05-20,38.42,38.42,38.42,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.2,38.2,38.2,0.0,0.0,38.2,38.2,38.2,0.0,0.0
2018-05-27,38.51,38.51,38.51,0.0,0.0,38.52,38.52,38.52,0.0,0.0,38.41,38.41,38.41,0.0,0.0,38.48,38.48,38.48,0.0,0.0
2018-06-03,38.79,38.79,38.79,0.0,0.0,38.95,38.95,38.95,0.0,0.0,38.79,38.79,38.79,0.0,0.0,38.95,38.95,38.95,0.0,0.0
2018-06-10,38.48,38.48,38.48,0.0,0.0,38.77,38.77,38.77,0.0,0.0,38.32,38.32,38.32,0.0,0.0,38.66,38.66,38.66,0.0,0.0
2018-06-17,38.02,38.02,38.02,0.0,0.0,38.18,38.18,38.18,0.0,0.0,38.02,38.02,38.02,0.0,0.0,38.07,38.07,38.07,0.0,0.0
2018-06-24,37.74,37.74,37.74,0.0,0.0,38.06,38.06,38.06,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.72,37.72,37.72,0.0,0.0
2018-07-01,37.96,37.96,37.96,0.0,0.0,38.19,38.19,38.19,0.0,0.0,37.85,37.85,37.85,0.0,0.0,38.16,38.16,38.16,0.0,0.0
2018-07-08,38.35,38.35,38.35,0.0,0.0,38.36,38.36,38.36,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.29,38.29,38.29,0.0,0.0
2018-07-15,38.15,38.15,38.15,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.15,38.15,38.15,0.0,0.0,38.24,38.24,38.24,0.0,0.0
2018-07-22,38.99,38.99,38.99,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.83,38.83,38.83,0.0,0.0,38.83,38.83,38.83,0.0,0.0
2018-07-29,39.23,39.23,39.23,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.14,39.14,39.14,0.0,0.0,39.34,39.34,39.34,0.0,0.0
2018-08-05,38.89,38.89,38.89,0.0,0.0,38.98,38.98,38.98,0.0,0.0,38.88,38.88,38.88,0.0,0.0,38.88,38.88,38.88,0.0,0.0
2018-08-12,39.18,39.18,39.18,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.18,39.18,39.18,0.0,0.0,39.42,39.42,39.42,0.0,0.0
2018-08-19,39.37,39.37,39.37,0.0,0.0,39.47,39.47,39.47,0.0,0.0,39.37,39.37,39.37,0.0,0.0,39.38,39.38,39.38,0.0,0.0
2018-08-26,39.49,39.49,39.49,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.36,39.36,39.36,0.0,0.0
2018-09-02,39.36,39.36,39.36,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.26,39.26,39.26,0.0,0.0,39.32,39.32,39.32,0.0,0.0
2018-09-09,39.71,39.71,39.71,0.0,0.0,39.71,39.71,39.71,0.0,0.0,39.52,39.52,39.52,0.0,0.0,39.66,39.66,39.66,0.0,0.0
2018-09-16,40.15,40.15,40.15,0.0,0.0,40.17,40.17,40.17,0.0,0.0,40.11,40.11,40.11,0.0,0.0,40.11,40.11,40.11,0.0,0.0
2018-09-23,38.94,38.94,38.94,0.0,0.0,39.05,39.05,39.05,0.0,0.0,38.91,38.91,38.91,0.0,0.0,38.97,38.97,38.97,0.0,0.0
2018-09-30,39.2,39.2,39.2,0.0,0.0,39.29,39.29,39.29,0.0,0.0,39.14,39.14,39.14,0.0,0.0,39.29,39.29,39.29,0.0,0.0
2018-10-07,37.53,37.53,37.53,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.24,37.24,37.24,0.0,0.0,37.48,37.48,37.48,0.0,0.0
2018-10-14,37.99,37.99,37.99,0.0,0.0,38.12,38.12,38.12,0.0,0.0,37.88,37.88,37.88,0.0,0.0,38.02,38.02,38.02,0.0,0.0
2018-10-21,36.44,36.44,36.44,0.0,0.0,36.66,36.66,36.66,0.0,0.0,36.26,36.26,36.26,0.0,0.0,36.66,36.66,36.66,0.0,0.0
2018-10-28,37.51,37.51,37.51,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.03,37.03,37.03,0.0,0.0,37.06,37.06,37.06,0.0,0.0
2018-11-04,38.09,38.09,38.09,0.0,0.0,38.09,38.09,38.09,0.0,0.0,37.87,37.87,37.87,0.0,0.0,37.94,37.94,37.94,0.0,0.0
2018-11-11,37.54,37.54,37.54,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.61,37.61,37.61,0.0,0.0
2018-11-18,36.87,36.87,36.87,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.89,36.89,36.89,0.0,0.0
2018-11-25,37.75,37.75,37.75,0.0,0.0,37.99,37.99,37.99,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.99,37.99,37.99,0.0,0.0
2018-12-02,37.24,37.24,37.24,0.0,0.0,37.24,37.24,37.24,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.54,36.54,36.54,0.0,0.0
2018-12-09,36.12,36.12,36.12,0.0,0.0,36.14,36.14,36.14,0.0,0.0,35.92,35.92,35.92,0.0,0.0,35.93,35.93,35.93,0.0,0.0
2018-12-16,34.74,34.74,34.74,0.0,0.0,34.85,34.85,34.85,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.84,33.84,33.84,0.0,0.0
