Date,NKSH_stock_Open_average,NKSH_stock_Open_max,NKSH_stock_Open_min,NKSH_stock_Open_volatility,NKSH_stock_Open_change,NKSH_stock_High_average,NKSH_stock_High_max,NKSH_stock_High_min,NKSH_stock_High_volatility,NKSH_stock_High_change,NKSH_stock_Low_average,NKSH_stock_Low_max,NKSH_stock_Low_min,NKSH_stock_Low_volatility,NKSH_stock_Low_change,NKSH_stock_Close_average,NKSH_stock_Close_max,NKSH_stock_Close_min,NKSH_stock_Close_volatility,NKSH_stock_Close_change,NKSH_stock_Volume_average,NKSH_stock_Volume_max,NKSH_stock_Volume_min,NKSH_stock_Volume_volatility,NKSH_stock_Volume_change
2018-01-14,43.75,44.2,42.85,1.3500000000000014,-0.45000000000000284,45.150000000000006,45.95,44.45,1.5,0.5,43.325,43.95,42.85,1.1000000000000014,-0.5,44.4125,45.3,43.5,1.7999999999999972,1.7999999999999972,4073,6181,1405,4776,600
2018-01-21,43.97,44.95,43.6,1.3500000000000014,-1.3000000000000043,44.15,45.85,43.6,2.25,-2.200000000000003,43.68,44.0,43.45,0.5499999999999972,-0.5499999999999972,43.730000000000004,44.15,43.45,0.6999999999999957,-0.6999999999999957,2437,5412,578,4834,-2724
2018-01-28,43.36,43.55,43.25,0.29999999999999716,0.0,43.85,44.25,43.6,0.6499999999999986,-0.19999999999999574,42.83,43.45,41.1,2.3500000000000014,-2.1499999999999986,43.17,43.8,41.25,2.549999999999997,-2.3500000000000014,6126,15367,1525,13842,11045
2018-02-04,40.41,43.0,39.25,3.75,-1.3999999999999986,41.65,43.0,40.65,2.3500000000000014,-0.8000000000000043,39.51,40.4,39.1,1.2999999999999972,-1.1499999999999986,40.21,41.35,39.25,2.1000000000000014,-0.29999999999999716,6252,8821,4389,4432,2701
2018-02-11,38.88,40.2,38.1,2.1000000000000014,-1.9000000000000057,39.47,40.5,38.65,1.8500000000000014,-1.0499999999999972,38.23,39.4,37.55,1.8500000000000014,-1.1000000000000014,38.86,39.85,38.1,1.75,-0.5500000000000043,5786,9435,3107,6328,2513
2018-02-18,38.75,39.7,38.0,1.7000000000000028,0.75,39.5375,40.1,39.05,1.0500000000000043,0.4000000000000057,38.3,39.7,37.75,1.9500000000000028,1.8000000000000043,38.6125,39.7,37.75,1.9500000000000028,1.75,3362,5411,1359,4052,-2022
2018-02-25,40.44,41.9,38.6,3.299999999999997,-1.5499999999999972,42.114,45.49,40.38,5.109999999999999,-4.240000000000002,39.476,41.4,37.68,3.719999999999999,-1.5499999999999972,40.769999999999996,42.3,38.9,3.3999999999999986,-1.0499999999999972,13225,27414,1156,26258,-3403
2018-03-04,41.160000000000004,41.75,40.4,1.3500000000000014,-0.6499999999999986,42.2,42.6,41.8,0.8000000000000043,-0.6499999999999986,40.29,41.1,39.0,2.1000000000000014,1.2000000000000028,41.63,41.95,41.0,0.9500000000000028,0.45000000000000284,10532,15081,6337,8744,-2410
2018-03-11,42.34,42.85,41.6,1.25,0.75,43.07,44.0,42.65,1.3500000000000014,1.3500000000000014,41.79,42.5,40.65,1.8500000000000014,1.6499999999999986,42.56,43.55,41.65,1.8999999999999986,1.8999999999999986,9719,21812,3712,18100,11106
2018-03-18,43.800000000000004,44.5,43.2,1.2999999999999972,1.2999999999999972,44.366,45.7,43.2,2.5,1.779999999999994,42.94,43.45,42.15,1.3000000000000043,-0.6499999999999986,43.61,44.5,43.15,1.3500000000000014,0.10000000000000142,7184,12465,2543,9922,9478
2018-03-25,43.8875,44.5,43.5,1.0,1.0,45.1625,45.7,44.6,1.1000000000000014,1.0,43.725,44.35,43.2,1.1499999999999986,1.1499999999999986,44.4,45.05,43.55,1.5,1.0499999999999972,6610,7527,5512,2015,691
2018-04-01,44.174,44.8,43.75,1.0499999999999972,-0.6999999999999957,44.64,45.25,44.05,1.2000000000000028,-0.6999999999999957,43.704,44.27,43.05,1.220000000000006,1.0500000000000043,44.18,44.5,43.9,0.6000000000000014,0.05000000000000426,4621,7962,1562,6400,-4274
2018-04-08,44.27,45.0,43.7,1.2999999999999972,0.8999999999999986,44.61,45.0,44.05,0.9500000000000028,0.8999999999999986,43.75,44.5,42.65,1.8500000000000014,-0.19999999999999574,44.36,44.75,44.05,0.7000000000000028,0.20000000000000284,4913,8425,2039,6386,-1486
2018-04-15,45.230000000000004,46.0,43.85,2.1499999999999986,1.8500000000000014,46.32,46.8,45.5,1.2999999999999972,0.7999999999999972,44.83,45.6,43.85,1.75,1.75,45.87,46.6,45.35,1.25,0.7000000000000028,12129,28747,4450,24297,-6536
