Date,VanEck Vectors Pharmaceutical_Open_average,VanEck Vectors Pharmaceutical_Open_max,VanEck Vectors Pharmaceutical_Open_min,VanEck Vectors Pharmaceutical_Open_volatility,VanEck Vectors Pharmaceutical_Open_change,VanEck Vectors Pharmaceutical_High_average,VanEck Vectors Pharmaceutical_High_max,VanEck Vectors Pharmaceutical_High_min,VanEck Vectors Pharmaceutical_High_volatility,VanEck Vectors Pharmaceutical_High_change,VanEck Vectors Pharmaceutical_Low_average,VanEck Vectors Pharmaceutical_Low_max,VanEck Vectors Pharmaceutical_Low_min,VanEck Vectors Pharmaceutical_Low_volatility,VanEck Vectors Pharmaceutical_Low_change,VanEck Vectors Pharmaceutical_Close_average,VanEck Vectors Pharmaceutical_Close_max,VanEck Vectors Pharmaceutical_Close_min,VanEck Vectors Pharmaceutical_Close_volatility,VanEck Vectors Pharmaceutical_Close_change
2018-01-14,62.85,62.85,62.85,0.0,0.0,62.85,62.85,62.85,0.0,0.0,62.32,62.32,62.32,0.0,0.0,62.65,62.65,62.65,0.0,0.0
2018-01-21,64.01,64.01,64.01,0.0,0.0,64.65,64.65,64.65,0.0,0.0,64.01,64.01,64.01,0.0,0.0,64.61,64.61,64.61,0.0,0.0
2018-01-28,61.16,61.16,61.16,0.0,0.0,61.51,61.51,61.51,0.0,0.0,60.67,60.67,60.67,0.0,0.0,60.67,60.67,60.67,0.0,0.0
2018-02-04,57.34,57.34,57.34,0.0,0.0,57.74,57.74,57.74,0.0,0.0,55.82,55.82,55.82,0.0,0.0,57.39,57.39,57.39,0.0,0.0
2018-02-11,60.02,60.02,60.02,0.0,0.0,60.88,60.88,60.88,0.0,0.0,60.02,60.02,60.02,0.0,0.0,60.59,60.59,60.59,0.0,0.0
2018-02-18,59.72,59.72,59.72,0.0,0.0,60.15,60.15,60.15,0.0,0.0,59.6,59.6,59.6,0.0,0.0,60.15,60.15,60.15,0.0,0.0
2018-02-25,56.74,56.74,56.74,0.0,0.0,57.53,57.53,57.53,0.0,0.0,56.55,56.55,56.55,0.0,0.0,57.42,57.42,57.42,0.0,0.0
2018-03-04,58.8,58.8,58.8,0.0,0.0,59.23,59.23,59.23,0.0,0.0,58.68,58.68,58.68,0.0,0.0,59.14,59.14,59.14,0.0,0.0
2018-03-11,58.61,58.61,58.61,0.0,0.0,59.09,59.09,59.09,0.0,0.0,58.61,58.61,58.61,0.0,0.0,58.83,58.83,58.83,0.0,0.0
2018-03-18,56.51,56.51,56.51,0.0,0.0,56.51,56.51,56.51,0.0,0.0,55.28,55.28,55.28,0.0,0.0,55.37,55.37,55.37,0.0,0.0
2018-03-25,56.56,56.56,56.56,0.0,0.0,56.89,56.89,56.89,0.0,0.0,56.25,56.25,56.25,0.0,0.0,56.83,56.83,56.83,0.0,0.0
2018-04-01,56.13,56.13,56.13,0.0,0.0,56.34,56.34,56.34,0.0,0.0,55.09,55.09,55.09,0.0,0.0,55.48,55.48,55.48,0.0,0.0
2018-04-08,57.17,57.17,57.17,0.0,0.0,57.28,57.28,57.28,0.0,0.0,56.8,56.8,56.8,0.0,0.0,57.09,57.09,57.09,0.0,0.0
2018-04-15,57.11,57.11,57.11,0.0,0.0,57.11,57.11,57.11,0.0,0.0,56.67,56.67,56.67,0.0,0.0,56.77,56.77,56.77,0.0,0.0
2018-04-22,57.01,57.01,57.01,0.0,0.0,57.45,57.45,57.45,0.0,0.0,57.01,57.01,57.01,0.0,0.0,57.35,57.35,57.35,0.0,0.0
2018-04-29,55.15,55.15,55.15,0.0,0.0,55.71,55.71,55.71,0.0,0.0,54.98,54.98,54.98,0.0,0.0,55.61,55.61,55.61,0.0,0.0
2018-05-06,57.06,57.06,57.06,0.0,0.0,58.05,58.05,58.05,0.0,0.0,57.06,57.06,57.06,0.0,0.0,57.96,57.96,57.96,0.0,0.0
2018-05-13,58.25,58.25,58.25,0.0,0.0,58.63,58.63,58.63,0.0,0.0,58.25,58.25,58.25,0.0,0.0,58.6,58.6,58.6,0.0,0.0
2018-05-20,58.14,58.14,58.14,0.0,0.0,58.46,58.46,58.46,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.34,58.34,58.34,0.0,0.0
2018-05-27,58.38,58.38,58.38,0.0,0.0,58.56,58.56,58.56,0.0,0.0,58.34,58.34,58.34,0.0,0.0,58.49,58.49,58.49,0.0,0.0
2018-06-03,59.5,59.5,59.5,0.0,0.0,60.03,60.03,60.03,0.0,0.0,59.5,59.5,59.5,0.0,0.0,60.02,60.02,60.02,0.0,0.0
2018-06-10,60.6,60.6,60.6,0.0,0.0,60.8,60.8,60.8,0.0,0.0,60.43,60.43,60.43,0.0,0.0,60.8,60.8,60.8,0.0,0.0
2018-06-17,60.34,60.34,60.34,0.0,0.0,60.48,60.48,60.48,0.0,0.0,60.27,60.27,60.27,0.0,0.0,60.36,60.36,60.36,0.0,0.0
2018-06-24,59.37,59.37,59.37,0.0,0.0,59.58,59.58,59.58,0.0,0.0,59.0,59.0,59.0,0.0,0.0,59.0,59.0,59.0,0.0,0.0
2018-07-01,60.09,60.09,60.09,0.0,0.0,60.5,60.5,60.5,0.0,0.0,60.09,60.09,60.09,0.0,0.0,60.48,60.48,60.48,0.0,0.0
2018-07-08,60.86,60.86,60.86,0.0,0.0,61.06,61.06,61.06,0.0,0.0,60.86,60.86,60.86,0.0,0.0,60.99,60.99,60.99,0.0,0.0
2018-07-15,60.23,60.23,60.23,0.0,0.0,60.5,60.5,60.5,0.0,0.0,60.23,60.23,60.23,0.0,0.0,60.5,60.5,60.5,0.0,0.0
2018-07-22,61.15,61.15,61.15,0.0,0.0,61.2,61.2,61.2,0.0,0.0,60.88,60.88,60.88,0.0,0.0,61.11,61.11,61.11,0.0,0.0
2018-07-29,61.23,61.23,61.23,0.0,0.0,62.01,62.01,62.01,0.0,0.0,61.23,61.23,61.23,0.0,0.0,62.01,62.01,62.01,0.0,0.0
2018-08-05,61.97,61.97,61.97,0.0,0.0,62.21,62.21,62.21,0.0,0.0,61.63,61.63,61.63,0.0,0.0,61.78,61.78,61.78,0.0,0.0
2018-08-12,62.9,62.9,62.9,0.0,0.0,63.42,63.42,63.42,0.0,0.0,62.88,62.88,62.88,0.0,0.0,63.37,63.37,63.37,0.0,0.0
2018-08-19,63.55,63.55,63.55,0.0,0.0,63.55,63.55,63.55,0.0,0.0,63.33,63.33,63.33,0.0,0.0,63.48,63.48,63.48,0.0,0.0
2018-08-26,63.61,63.61,63.61,0.0,0.0,63.73,63.73,63.73,0.0,0.0,63.37,63.37,63.37,0.0,0.0,63.62,63.62,63.62,0.0,0.0
2018-09-02,62.2,62.2,62.2,0.0,0.0,62.67,62.67,62.67,0.0,0.0,62.2,62.2,62.2,0.0,0.0,62.63,62.63,62.63,0.0,0.0
2018-09-09,63.0,63.0,63.0,0.0,0.0,63.19,63.19,63.19,0.0,0.0,62.83,62.83,62.83,0.0,0.0,62.99,62.99,62.99,0.0,0.0
2018-09-16,64.58,64.58,64.58,0.0,0.0,64.61,64.61,64.61,0.0,0.0,64.33,64.33,64.33,0.0,0.0,64.37,64.37,64.37,0.0,0.0
2018-09-23,64.21,64.21,64.21,0.0,0.0,64.55,64.55,64.55,0.0,0.0,64.21,64.21,64.21,0.0,0.0,64.35,64.35,64.35,0.0,0.0
2018-09-30,63.66,63.66,63.66,0.0,0.0,63.86,63.86,63.86,0.0,0.0,63.33,63.33,63.33,0.0,0.0,63.49,63.49,63.49,0.0,0.0
2018-10-07,61.24,61.24,61.24,0.0,0.0,61.38,61.38,61.38,0.0,0.0,60.64,60.64,60.64,0.0,0.0,61.23,61.23,61.23,0.0,0.0
2018-10-14,62.54,62.54,62.54,0.0,0.0,62.91,62.91,62.91,0.0,0.0,62.14,62.14,62.14,0.0,0.0,62.3,62.3,62.3,0.0,0.0
2018-10-21,59.34,59.34,59.34,0.0,0.0,59.62,59.62,59.62,0.0,0.0,58.63,58.63,58.63,0.0,0.0,59.26,59.26,59.26,0.0,0.0
