Date,Guggenheim CurrencyShares Canadian DollarEtf_Open_average,Guggenheim CurrencyShares Canadian DollarEtf_Open_max,Guggenheim CurrencyShares Canadian DollarEtf_Open_min,Guggenheim CurrencyShares Canadian DollarEtf_Open_volatility,Guggenheim CurrencyShares Canadian DollarEtf_Open_change,Guggenheim CurrencyShares Canadian DollarEtf_High_average,Guggenheim CurrencyShares Canadian DollarEtf_High_max,Guggenheim CurrencyShares Canadian DollarEtf_High_min,Guggenheim CurrencyShares Canadian DollarEtf_High_volatility,Guggenheim CurrencyShares Canadian DollarEtf_High_change,Guggenheim CurrencyShares Canadian DollarEtf_Low_average,Guggenheim CurrencyShares Canadian DollarEtf_Low_max,Guggenheim CurrencyShares Canadian DollarEtf_Low_min,Guggenheim CurrencyShares Canadian DollarEtf_Low_volatility,Guggenheim CurrencyShares Canadian DollarEtf_Low_change,Guggenheim CurrencyShares Canadian DollarEtf_Close_average,Guggenheim CurrencyShares Canadian DollarEtf_Close_max,Guggenheim CurrencyShares Canadian DollarEtf_Close_min,Guggenheim CurrencyShares Canadian DollarEtf_Close_volatility,Guggenheim CurrencyShares Canadian DollarEtf_Close_change
2018-01-14,79.29,79.29,79.29,0.0,0.0,79.33,79.33,79.33,0.0,0.0,78.89,78.89,78.89,0.0,0.0,78.91,78.91,78.91,0.0,0.0
2018-01-21,79.89,79.89,79.89,0.0,0.0,80.23,80.23,80.23,0.0,0.0,79.89,79.89,79.89,0.0,0.0,80.02,80.02,80.02,0.0,0.0
2018-01-28,79.85,79.85,79.85,0.0,0.0,79.85,79.85,79.85,0.0,0.0,79.33,79.33,79.33,0.0,0.0,79.41,79.41,79.41,0.0,0.0
2018-02-04,78.22,78.22,78.22,0.0,0.0,78.36,78.36,78.36,0.0,0.0,78.1,78.1,78.1,0.0,0.0,78.28,78.28,78.28,0.0,0.0
2018-02-11,78.63,78.63,78.63,0.0,0.0,78.74,78.74,78.74,0.0,0.0,78.52,78.52,78.52,0.0,0.0,78.57,78.57,78.57,0.0,0.0
2018-02-18,77.72,77.72,77.72,0.0,0.0,77.96,77.96,77.96,0.0,0.0,77.7,77.7,77.7,0.0,0.0,77.91,77.91,77.91,0.0,0.0
2018-02-25,76.58,76.58,76.58,0.0,0.0,76.63,76.63,76.63,0.0,0.0,76.39,76.39,76.39,0.0,0.0,76.55,76.55,76.55,0.0,0.0
2018-03-04,76.81,76.81,76.81,0.0,0.0,76.98,76.98,76.98,0.0,0.0,76.68,76.68,76.68,0.0,0.0,76.96,76.96,76.96,0.0,0.0
2018-03-11,75.42,75.42,75.42,0.0,0.0,75.47,75.47,75.47,0.0,0.0,75.33,75.33,75.33,0.0,0.0,75.35,75.35,75.35,0.0,0.0
2018-03-18,76.84,76.84,76.84,0.0,0.0,76.92,76.92,76.92,0.0,0.0,76.65,76.65,76.65,0.0,0.0,76.68,76.68,76.68,0.0,0.0
2018-03-25,76.41,76.41,76.41,0.0,0.0,76.68,76.68,76.68,0.0,0.0,76.36,76.36,76.36,0.0,0.0,76.55,76.55,76.55,0.0,0.0
2018-04-01,77.35,77.35,77.35,0.0,0.0,77.4,77.4,77.4,0.0,0.0,77.15,77.15,77.15,0.0,0.0,77.24,77.24,77.24,0.0,0.0
2018-04-08,78.39,78.39,78.39,0.0,0.0,78.44,78.44,78.44,0.0,0.0,78.17,78.17,78.17,0.0,0.0,78.23,78.23,78.23,0.0,0.0
2018-04-15,77.55,77.55,77.55,0.0,0.0,77.59,77.59,77.59,0.0,0.0,77.35,77.35,77.35,0.0,0.0,77.35,77.35,77.35,0.0,0.0
2018-04-22,76.64,76.64,76.64,0.0,0.0,76.92,76.92,76.92,0.0,0.0,76.64,76.64,76.64,0.0,0.0,76.89,76.89,76.89,0.0,0.0
2018-04-29,76.4,76.4,76.4,0.0,0.0,76.81,76.81,76.81,0.0,0.0,76.4,76.4,76.4,0.0,0.0,76.69,76.69,76.69,0.0,0.0
2018-05-06,77.21,77.21,77.21,0.0,0.0,77.26,77.26,77.26,0.0,0.0,77.08,77.08,77.08,0.0,0.0,77.12,77.12,77.12,0.0,0.0
2018-05-13,76.5,76.5,76.5,0.0,0.0,76.64,76.64,76.64,0.0,0.0,76.41,76.41,76.41,0.0,0.0,76.58,76.58,76.58,0.0,0.0
2018-05-20,76.05,76.05,76.05,0.0,0.0,76.12,76.12,76.12,0.0,0.0,75.98,75.98,75.98,0.0,0.0,76.04,76.04,76.04,0.0,0.0
