Date,iShares MBSEtf_Open_average,iShares MBSEtf_Open_max,iShares MBSEtf_Open_min,iShares MBSEtf_Open_volatility,iShares MBSEtf_Open_change,iShares MBSEtf_High_average,iShares MBSEtf_High_max,iShares MBSEtf_High_min,iShares MBSEtf_High_volatility,iShares MBSEtf_High_change,iShares MBSEtf_Low_average,iShares MBSEtf_Low_max,iShares MBSEtf_Low_min,iShares MBSEtf_Low_volatility,iShares MBSEtf_Low_change,iShares MBSEtf_Close_average,iShares MBSEtf_Close_max,iShares MBSEtf_Close_min,iShares MBSEtf_Close_volatility,iShares MBSEtf_Close_change
2018-01-14,105.79,105.79,105.79,0.0,0.0,105.79,105.79,105.79,0.0,0.0,105.56,105.56,105.56,0.0,0.0,105.6,105.6,105.6,0.0,0.0
2018-01-21,105.76,105.76,105.76,0.0,0.0,105.77,105.77,105.77,0.0,0.0,105.53,105.53,105.53,0.0,0.0,105.59,105.59,105.59,0.0,0.0
2018-01-28,104.61,104.61,104.61,0.0,0.0,104.7,104.7,104.7,0.0,0.0,104.48,104.48,104.48,0.0,0.0,104.58,104.58,104.58,0.0,0.0
2018-02-04,104.28,104.28,104.28,0.0,0.0,104.7,104.7,104.7,0.0,0.0,104.26,104.26,104.26,0.0,0.0,104.35,104.35,104.35,0.0,0.0
2018-02-11,104.34,104.34,104.34,0.0,0.0,104.37,104.37,104.37,0.0,0.0,104.25,104.25,104.25,0.0,0.0,104.32,104.32,104.32,0.0,0.0
2018-02-18,104.3,104.3,104.3,0.0,0.0,104.42,104.42,104.42,0.0,0.0,104.28,104.28,104.28,0.0,0.0,104.32,104.32,104.32,0.0,0.0
2018-02-25,104.25,104.25,104.25,0.0,0.0,104.27,104.27,104.27,0.0,0.0,104.07,104.07,104.07,0.0,0.0,104.08,104.08,104.08,0.0,0.0
2018-03-04,104.05,104.05,104.05,0.0,0.0,104.06,104.06,104.06,0.0,0.0,103.94,103.94,103.94,0.0,0.0,104.0,104.0,104.0,0.0,0.0
2018-03-11,104.26,104.26,104.26,0.0,0.0,104.26,104.26,104.26,0.0,0.0,104.14,104.14,104.14,0.0,0.0,104.21,104.21,104.21,0.0,0.0
2018-03-18,104.24,104.24,104.24,0.0,0.0,104.33,104.33,104.33,0.0,0.0,104.15,104.15,104.15,0.0,0.0,104.31,104.31,104.31,0.0,0.0
2018-03-25,104.57,104.57,104.57,0.0,0.0,104.73,104.73,104.73,0.0,0.0,104.54,104.54,104.54,0.0,0.0,104.64,104.64,104.64,0.0,0.0
2018-04-01,104.48,104.48,104.48,0.0,0.0,104.49,104.49,104.49,0.0,0.0,104.35,104.35,104.35,0.0,0.0,104.39,104.39,104.39,0.0,0.0
2018-04-08,104.14,104.14,104.14,0.0,0.0,104.29,104.29,104.29,0.0,0.0,104.13,104.13,104.13,0.0,0.0,104.25,104.25,104.25,0.0,0.0
2018-04-15,103.88,103.88,103.88,0.0,0.0,103.89,103.89,103.89,0.0,0.0,103.75,103.75,103.75,0.0,0.0,103.78,103.78,103.78,0.0,0.0
2018-04-22,103.68,103.68,103.68,0.0,0.0,103.84,103.84,103.84,0.0,0.0,103.68,103.68,103.68,0.0,0.0,103.83,103.83,103.83,0.0,0.0
2018-04-29,103.73,103.73,103.73,0.0,0.0,103.73,103.73,103.73,0.0,0.0,103.55,103.55,103.55,0.0,0.0,103.65,103.65,103.65,0.0,0.0
2018-05-06,103.62,103.62,103.62,0.0,0.0,103.63,103.63,103.63,0.0,0.0,103.55,103.55,103.55,0.0,0.0,103.6,103.6,103.6,0.0,0.0
2018-05-13,103.06,103.06,103.06,0.0,0.0,103.17,103.17,103.17,0.0,0.0,103.06,103.06,103.06,0.0,0.0,103.16,103.16,103.16,0.0,0.0
