Date,PowerShares International BuyBack Achievers_Open_average,PowerShares International BuyBack Achievers_Open_max,PowerShares International BuyBack Achievers_Open_min,PowerShares International BuyBack Achievers_Open_volatility,PowerShares International BuyBack Achievers_Open_change,PowerShares International BuyBack Achievers_High_average,PowerShares International BuyBack Achievers_High_max,PowerShares International BuyBack Achievers_High_min,PowerShares International BuyBack Achievers_High_volatility,PowerShares International BuyBack Achievers_High_change,PowerShares International BuyBack Achievers_Low_average,PowerShares International BuyBack Achievers_Low_max,PowerShares International BuyBack Achievers_Low_min,PowerShares International BuyBack Achievers_Low_volatility,PowerShares International BuyBack Achievers_Low_change,PowerShares International BuyBack Achievers_Close_average,PowerShares International BuyBack Achievers_Close_max,PowerShares International BuyBack Achievers_Close_min,PowerShares International BuyBack Achievers_Close_volatility,PowerShares International BuyBack Achievers_Close_change
2018-01-14,39.27,39.27,39.27,0.0,0.0,39.47,39.47,39.47,0.0,0.0,39.25,39.25,39.25,0.0,0.0,39.47,39.47,39.47,0.0,0.0
2018-01-21,39.88,39.88,39.88,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.78,39.78,39.78,0.0,0.0,39.89,39.89,39.89,0.0,0.0
2018-01-28,38.37,38.37,38.37,0.0,0.0,38.42,38.42,38.42,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.2,37.2,37.2,0.0,0.0
2018-02-04,37.22,37.22,37.22,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.1,37.1,37.1,0.0,0.0,37.41,37.41,37.41,0.0,0.0
2018-02-11,38.38,38.38,38.38,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.2,38.2,38.2,0.0,0.0,38.44,38.44,38.44,0.0,0.0
2018-02-18,38.89,38.89,38.89,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.64,38.64,38.64,0.0,0.0,38.99,38.99,38.99,0.0,0.0
2018-02-25,37.1,37.1,37.1,0.0,0.0,37.45,37.45,37.45,0.0,0.0,36.92,36.92,36.92,0.0,0.0,37.41,37.41,37.41,0.0,0.0
2018-03-04,38.45,38.45,38.45,0.0,0.0,38.45,38.45,38.45,0.0,0.0,38.24,38.24,38.24,0.0,0.0,38.27,38.27,38.27,0.0,0.0
2018-03-11,38.01,38.01,38.01,0.0,0.0,38.01,38.01,38.01,0.0,0.0,37.52,37.52,37.52,0.0,0.0,37.65,37.65,37.65,0.0,0.0
2018-03-18,37.2,37.2,37.2,0.0,0.0,37.29,37.29,37.29,0.0,0.0,36.86,36.86,36.86,0.0,0.0,37.22,37.22,37.22,0.0,0.0
2018-03-25,37.34,37.34,37.34,0.0,0.0,38.01,38.01,38.01,0.0,0.0,36.61,36.61,36.61,0.0,0.0,36.7,36.7,36.7,0.0,0.0
2018-04-01,37.66,37.66,37.66,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.36,37.36,37.36,0.0,0.0,37.36,37.36,37.36,0.0,0.0
2018-04-08,37.69,37.69,37.69,0.0,0.0,37.77,37.77,37.77,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2018-04-15,37.84,37.84,37.84,0.0,0.0,38.01,38.01,38.01,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.8,37.8,37.8,0.0,0.0
2018-04-22,37.58,37.58,37.58,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.49,37.49,37.49,0.0,0.0
2018-04-29,37.98,37.98,37.98,0.0,0.0,38.16,38.16,38.16,0.0,0.0,37.98,37.98,37.98,0.0,0.0,38.08,38.08,38.08,0.0,0.0
2018-05-06,38.94,38.94,38.94,0.0,0.0,39.15,39.15,39.15,0.0,0.0,38.94,38.94,38.94,0.0,0.0,39.04,39.04,39.04,0.0,0.0
2018-05-13,38.8,38.8,38.8,0.0,0.0,38.92,38.92,38.92,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.91,38.91,38.91,0.0,0.0
2018-05-20,38.09,38.09,38.09,0.0,0.0,38.32,38.32,38.32,0.0,0.0,38.09,38.09,38.09,0.0,0.0,38.25,38.25,38.25,0.0,0.0
2018-05-27,38.48,38.48,38.48,0.0,0.0,38.48,38.48,38.48,0.0,0.0,38.31,38.31,38.31,0.0,0.0,38.37,38.37,38.37,0.0,0.0
2018-06-03,38.56,38.56,38.56,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.61,38.61,38.61,0.0,0.0
2018-06-10,37.69,37.69,37.69,0.0,0.0,37.77,37.77,37.77,0.0,0.0,37.53,37.53,37.53,0.0,0.0,37.77,37.77,37.77,0.0,0.0
2018-06-17,36.81,36.81,36.81,0.0,0.0,36.81,36.81,36.81,0.0,0.0,36.34,36.34,36.34,0.0,0.0,36.39,36.39,36.39,0.0,0.0
