Date,iShares Real Estate 50_Open_average,iShares Real Estate 50_Open_max,iShares Real Estate 50_Open_min,iShares Real Estate 50_Open_volatility,iShares Real Estate 50_Open_change,iShares Real Estate 50_High_average,iShares Real Estate 50_High_max,iShares Real Estate 50_High_min,iShares Real Estate 50_High_volatility,iShares Real Estate 50_High_change,iShares Real Estate 50_Low_average,iShares Real Estate 50_Low_max,iShares Real Estate 50_Low_min,iShares Real Estate 50_Low_volatility,iShares Real Estate 50_Low_change,iShares Real Estate 50_Close_average,iShares Real Estate 50_Close_max,iShares Real Estate 50_Close_min,iShares Real Estate 50_Close_volatility,iShares Real Estate 50_Close_change
2018-01-14,47.38,47.38,47.38,0.0,0.0,47.58,47.58,47.58,0.0,0.0,47.17,47.17,47.17,0.0,0.0,47.58,47.58,47.58,0.0,0.0
2018-01-21,47.52,47.52,47.52,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.01,47.01,47.01,0.0,0.0,47.08,47.08,47.08,0.0,0.0
2018-01-28,46.04,46.04,46.04,0.0,0.0,46.36,46.36,46.36,0.0,0.0,44.7,44.7,44.7,0.0,0.0,44.8,44.8,44.8,0.0,0.0
2018-02-04,44.52,44.52,44.52,0.0,0.0,44.58,44.58,44.58,0.0,0.0,43.25,43.25,43.25,0.0,0.0,44.45,44.45,44.45,0.0,0.0
2018-02-11,44.74,44.74,44.74,0.0,0.0,45.19,45.19,45.19,0.0,0.0,44.74,44.74,44.74,0.0,0.0,45.1,45.1,45.1,0.0,0.0
2018-02-18,45.07,45.07,45.07,0.0,0.0,45.07,45.07,45.07,0.0,0.0,44.64,44.64,44.64,0.0,0.0,44.98,44.98,44.98,0.0,0.0
2018-02-25,43.95,43.95,43.95,0.0,0.0,44.62,44.62,44.62,0.0,0.0,43.75,43.75,43.75,0.0,0.0,44.42,44.42,44.42,0.0,0.0
2018-03-04,45.23,45.23,45.23,0.0,0.0,45.44,45.44,45.44,0.0,0.0,45.13,45.13,45.13,0.0,0.0,45.37,45.37,45.37,0.0,0.0
2018-03-11,46.01,46.01,46.01,0.0,0.0,46.01,46.01,46.01,0.0,0.0,45.11,45.11,45.11,0.0,0.0,45.4,45.4,45.4,0.0,0.0
2018-03-18,43.71,43.71,43.71,0.0,0.0,43.86,43.86,43.86,0.0,0.0,43.37,43.37,43.37,0.0,0.0,43.82,43.82,43.82,0.0,0.0
2018-03-25,44.73,44.73,44.73,0.0,0.0,45.13,45.13,45.13,0.0,0.0,44.19,44.19,44.19,0.0,0.0,44.44,44.44,44.44,0.0,0.0
2018-04-01,45.06,45.06,45.06,0.0,0.0,45.18,45.18,45.18,0.0,0.0,44.8,44.8,44.8,0.0,0.0,44.84,44.84,44.84,0.0,0.0
2018-04-08,44.75,44.75,44.75,0.0,0.0,45.09,45.09,45.09,0.0,0.0,44.71,44.71,44.71,0.0,0.0,44.96,44.96,44.96,0.0,0.0
2018-04-15,44.29,44.29,44.29,0.0,0.0,44.43,44.43,44.43,0.0,0.0,44.04,44.04,44.04,0.0,0.0,44.23,44.23,44.23,0.0,0.0
2018-04-22,45.89,45.89,45.89,0.0,0.0,46.03,46.03,46.03,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.72,45.72,45.72,0.0,0.0
2018-04-29,46.58,46.58,46.58,0.0,0.0,46.85,46.85,46.85,0.0,0.0,46.53,46.53,46.53,0.0,0.0,46.84,46.84,46.84,0.0,0.0
2018-05-06,47.05,47.05,47.05,0.0,0.0,47.08,47.08,47.08,0.0,0.0,46.46,46.46,46.46,0.0,0.0,46.64,46.64,46.64,0.0,0.0
2018-05-13,45.6,45.6,45.6,0.0,0.0,46.17,46.17,46.17,0.0,0.0,45.35,45.35,45.35,0.0,0.0,46.01,46.01,46.01,0.0,0.0
2018-05-20,46.63,46.63,46.63,0.0,0.0,46.92,46.92,46.92,0.0,0.0,46.63,46.63,46.63,0.0,0.0,46.77,46.77,46.77,0.0,0.0
2018-05-27,47.84,47.84,47.84,0.0,0.0,48.19,48.19,48.19,0.0,0.0,47.69,47.69,47.69,0.0,0.0,48.15,48.15,48.15,0.0,0.0
2018-06-03,48.33,48.33,48.33,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.26,48.26,48.26,0.0,0.0
2018-06-10,47.86,47.86,47.86,0.0,0.0,48.17,48.17,48.17,0.0,0.0,47.76,47.76,47.76,0.0,0.0,48.03,48.03,48.03,0.0,0.0
2018-06-17,49.29,49.29,49.29,0.0,0.0,49.36,49.36,49.36,0.0,0.0,48.89,48.89,48.89,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2018-06-24,49.17,49.17,49.17,0.0,0.0,49.19,49.19,49.19,0.0,0.0,48.26,48.26,48.26,0.0,0.0,48.83,48.83,48.83,0.0,0.0
2018-07-01,50.16,50.16,50.16,0.0,0.0,50.16,50.16,50.16,0.0,0.0,49.41,49.41,49.41,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-07-08,49.54,49.54,49.54,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.37,49.37,49.37,0.0,0.0
2018-07-15,49.01,49.01,49.01,0.0,0.0,49.01,49.01,49.01,0.0,0.0,48.55,48.55,48.55,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2018-07-22,48.57,48.57,48.57,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.68,48.68,48.68,0.0,0.0
2018-07-29,50.18,50.18,50.18,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2018-08-05,49.34,49.34,49.34,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.42,49.42,49.42,0.0,0.0
2018-08-12,51.05,51.05,51.05,0.0,0.0,51.25,51.25,51.25,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.99,50.99,50.99,0.0,0.0
2018-08-19,50.67,50.67,50.67,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.49,50.49,50.49,0.0,0.0
2018-08-26,50.85,50.85,50.85,0.0,0.0,51.09,51.09,51.09,0.0,0.0,50.76,50.76,50.76,0.0,0.0,51.0,51.0,51.0,0.0,0.0
2018-09-02,50.54,50.54,50.54,0.0,0.0,50.85,50.85,50.85,0.0,0.0,50.54,50.54,50.54,0.0,0.0,50.65,50.65,50.65,0.0,0.0
2018-09-09,50.47,50.47,50.47,0.0,0.0,50.77,50.77,50.77,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2018-09-16,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.3,49.3,49.3,0.0,0.0
