Date,United States Gasoline_Open_average,United States Gasoline_Open_max,United States Gasoline_Open_min,United States Gasoline_Open_volatility,United States Gasoline_Open_change,United States Gasoline_High_average,United States Gasoline_High_max,United States Gasoline_High_min,United States Gasoline_High_volatility,United States Gasoline_High_change,United States Gasoline_Low_average,United States Gasoline_Low_max,United States Gasoline_Low_min,United States Gasoline_Low_volatility,United States Gasoline_Low_change,United States Gasoline_Close_average,United States Gasoline_Close_max,United States Gasoline_Close_min,United States Gasoline_Close_volatility,United States Gasoline_Close_change
2018-01-14,33.12,33.12,33.12,0.0,0.0,33.46,33.46,33.46,0.0,0.0,33.05,33.05,33.05,0.0,0.0,33.44,33.44,33.44,0.0,0.0
2018-01-21,34.14,34.14,34.14,0.0,0.0,34.14,34.14,34.14,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.91,33.91,33.91,0.0,0.0
2018-01-28,32.95,32.95,32.95,0.0,0.0,33.29,33.29,33.29,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2018-02-04,30.21,30.21,30.21,0.0,0.0,30.42,30.42,30.42,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.75,29.75,29.75,0.0,0.0
2018-02-11,30.7,30.7,30.7,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.97,30.97,30.97,0.0,0.0
2018-02-18,31.87,31.87,31.87,0.0,0.0,32.24,32.24,32.24,0.0,0.0,31.72,31.72,31.72,0.0,0.0,32.15,32.15,32.15,0.0,0.0
2018-02-25,30.26,30.26,30.26,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.26,30.26,30.26,0.0,0.0,31.05,31.05,31.05,0.0,0.0
2018-03-04,30.4,30.4,30.4,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.42,30.42,30.42,0.0,0.0
2018-03-11,31.26,31.26,31.26,0.0,0.0,31.26,31.26,31.26,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2018-03-18,32.49,32.49,32.49,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.2,32.2,32.2,0.0,0.0
2018-03-25,31.99,31.99,31.99,0.0,0.0,31.99,31.99,31.99,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.45,31.45,31.45,0.0,0.0
2018-04-01,31.44,31.44,31.44,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2018-04-08,32.78,32.78,32.78,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.64,32.64,32.64,0.0,0.0
2018-04-15,33.25,33.25,33.25,0.0,0.0,34.07,34.07,34.07,0.0,0.0,33.23,33.23,33.23,0.0,0.0,34.04,34.04,34.04,0.0,0.0
2018-04-22,33.59,33.59,33.59,0.0,0.0,34.29,34.29,34.29,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.9,33.9,33.9,0.0,0.0
2018-04-29,33.95,33.95,33.95,0.0,0.0,34.09,34.09,34.09,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.75,33.75,33.75,0.0,0.0
2018-05-06,34.92,34.92,34.92,0.0,0.0,35.22,35.22,35.22,0.0,0.0,34.92,34.92,34.92,0.0,0.0,35.16,35.16,35.16,0.0,0.0
2018-05-13,35.67,35.67,35.67,0.0,0.0,36.04,36.04,36.04,0.0,0.0,35.58,35.58,35.58,0.0,0.0,36.03,36.03,36.03,0.0,0.0
2018-05-20,34.95,34.95,34.95,0.0,0.0,34.97,34.97,34.97,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.6,34.6,34.6,0.0,0.0
2018-05-27,34.05,34.05,34.05,0.0,0.0,34.05,34.05,34.05,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.91,33.91,33.91,0.0,0.0
2018-06-03,33.46,33.46,33.46,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.42,33.42,33.42,0.0,0.0,33.58,33.58,33.58,0.0,0.0
2018-06-10,32.55,32.55,32.55,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.8,32.8,32.8,0.0,0.0
2018-06-17,32.68,32.68,32.68,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.74,32.74,32.74,0.0,0.0
2018-06-24,34.33,34.33,34.33,0.0,0.0,34.39,34.39,34.39,0.0,0.0,33.72,33.72,33.72,0.0,0.0,33.83,33.83,33.83,0.0,0.0
2018-07-01,34.27,34.27,34.27,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.17,34.17,34.17,0.0,0.0,34.61,34.61,34.61,0.0,0.0
2018-07-08,33.03,33.03,33.03,0.0,0.0,33.05,33.05,33.05,0.0,0.0,32.22,32.22,32.22,0.0,0.0,32.31,32.31,32.31,0.0,0.0
