Date,Deutsche Xtrackers MSCI Southern EU_Open_average,Deutsche Xtrackers MSCI Southern EU_Open_max,Deutsche Xtrackers MSCI Southern EU_Open_min,Deutsche Xtrackers MSCI Southern EU_Open_volatility,Deutsche Xtrackers MSCI Southern EU_Open_change,Deutsche Xtrackers MSCI Southern EU_High_average,Deutsche Xtrackers MSCI Southern EU_High_max,Deutsche Xtrackers MSCI Southern EU_High_min,Deutsche Xtrackers MSCI Southern EU_High_volatility,Deutsche Xtrackers MSCI Southern EU_High_change,Deutsche Xtrackers MSCI Southern EU_Low_average,Deutsche Xtrackers MSCI Southern EU_Low_max,Deutsche Xtrackers MSCI Southern EU_Low_min,Deutsche Xtrackers MSCI Southern EU_Low_volatility,Deutsche Xtrackers MSCI Southern EU_Low_change,Deutsche Xtrackers MSCI Southern EU_Close_average,Deutsche Xtrackers MSCI Southern EU_Close_max,Deutsche Xtrackers MSCI Southern EU_Close_min,Deutsche Xtrackers MSCI Southern EU_Close_volatility,Deutsche Xtrackers MSCI Southern EU_Close_change
2018-01-14,25.64,25.64,25.64,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.64,25.64,25.64,0.0,0.0
2018-01-21,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0,25.91,25.91,25.91,0.0,0.0,25.91,25.91,25.91,0.0,0.0
2018-01-28,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0
2018-02-04,24.11,24.11,24.11,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.21,24.21,24.21,0.0,0.0
2018-02-11,24.89,24.89,24.89,0.0,0.0,24.91,24.91,24.91,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.84,24.84,24.84,0.0,0.0
2018-02-18,24.82,24.82,24.82,0.0,0.0,24.82,24.82,24.82,0.0,0.0,24.82,24.82,24.82,0.0,0.0,24.82,24.82,24.82,0.0,0.0
2018-02-25,24.82,24.82,24.82,0.0,0.0,24.82,24.82,24.82,0.0,0.0,24.82,24.82,24.82,0.0,0.0,24.82,24.82,24.82,0.0,0.0
2018-03-04,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0
2018-03-11,24.58,24.58,24.58,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.58,24.58,24.58,0.0,0.0
2018-03-18,24.07,24.07,24.07,0.0,0.0,24.07,24.07,24.07,0.0,0.0,24.07,24.07,24.07,0.0,0.0,24.07,24.07,24.07,0.0,0.0
2018-03-25,23.93,23.93,23.93,0.0,0.0,23.93,23.93,23.93,0.0,0.0,23.93,23.93,23.93,0.0,0.0,23.93,23.93,23.93,0.0,0.0
2018-04-01,24.48,24.48,24.48,0.0,0.0,24.48,24.48,24.48,0.0,0.0,24.48,24.48,24.48,0.0,0.0,24.48,24.48,24.48,0.0,0.0
2018-04-08,24.66,24.66,24.66,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.66,24.66,24.66,0.0,0.0
2018-04-15,25.09,25.09,25.09,0.0,0.0,25.09,25.09,25.09,0.0,0.0,25.09,25.09,25.09,0.0,0.0,25.09,25.09,25.09,0.0,0.0
2018-04-22,24.87,24.87,24.87,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.87,24.87,24.87,0.0,0.0
2018-04-29,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0
2018-05-06,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0
2018-05-13,24.7,24.7,24.7,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.7,24.7,24.7,0.0,0.0
2018-05-20,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0
2018-05-27,24.19,24.19,24.19,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.19,24.19,24.19,0.0,0.0
2018-06-03,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2018-06-10,24.28,24.28,24.28,0.0,0.0,24.28,24.28,24.28,0.0,0.0,24.28,24.28,24.28,0.0,0.0,24.28,24.28,24.28,0.0,0.0
2018-06-17,23.23,23.23,23.23,0.0,0.0,23.23,23.23,23.23,0.0,0.0,23.23,23.23,23.23,0.0,0.0,23.23,23.23,23.23,0.0,0.0
2018-06-24,22.89,22.89,22.89,0.0,0.0,22.89,22.89,22.89,0.0,0.0,22.89,22.89,22.89,0.0,0.0,22.89,22.89,22.89,0.0,0.0
