Date,Vanguard Russell 3000_Open_average,Vanguard Russell 3000_Open_max,Vanguard Russell 3000_Open_min,Vanguard Russell 3000_Open_volatility,Vanguard Russell 3000_Open_change,Vanguard Russell 3000_High_average,Vanguard Russell 3000_High_max,Vanguard Russell 3000_High_min,Vanguard Russell 3000_High_volatility,Vanguard Russell 3000_High_change,Vanguard Russell 3000_Low_average,Vanguard Russell 3000_Low_max,Vanguard Russell 3000_Low_min,Vanguard Russell 3000_Low_volatility,Vanguard Russell 3000_Low_change,Vanguard Russell 3000_Close_average,Vanguard Russell 3000_Close_max,Vanguard Russell 3000_Close_min,Vanguard Russell 3000_Close_volatility,Vanguard Russell 3000_Close_change
2018-01-14,128.36,128.36,128.36,0.0,0.0,129.21,129.21,129.21,0.0,0.0,128.36,128.36,128.36,0.0,0.0,129.17,129.17,129.17,0.0,0.0
2018-01-21,130.75,130.75,130.75,0.0,0.0,130.9,130.9,130.9,0.0,0.0,130.31,130.31,130.31,0.0,0.0,130.31,130.31,130.31,0.0,0.0
2018-01-28,125.02,125.02,125.02,0.0,0.0,126.13,126.13,126.13,0.0,0.0,120.73,120.73,120.73,0.0,0.0,121.23,121.23,121.23,0.0,0.0
2018-02-04,120.95,120.95,120.95,0.0,0.0,121.63,121.63,121.63,0.0,0.0,120.13,120.13,120.13,0.0,0.0,121.63,121.63,121.63,0.0,0.0
2018-02-11,124.72,124.72,124.72,0.0,0.0,125.64,125.64,125.64,0.0,0.0,124.72,124.72,124.72,0.0,0.0,125.16,125.16,125.16,0.0,0.0
2018-02-18,126.45,126.45,126.45,0.0,0.0,127.21,127.21,127.21,0.0,0.0,126.4,126.4,126.4,0.0,0.0,127.12,127.12,127.12,0.0,0.0
2018-02-25,123.04,123.04,123.04,0.0,0.0,125.06,125.06,125.06,0.0,0.0,122.85,122.85,122.85,0.0,0.0,125.06,125.06,125.06,0.0,0.0
2018-03-04,128.1,128.1,128.1,0.0,0.0,128.32,128.32,128.32,0.0,0.0,127.7,127.7,127.7,0.0,0.0,127.85,127.85,127.85,0.0,0.0
2018-03-11,125.97,125.97,125.97,0.0,0.0,125.97,125.97,125.97,0.0,0.0,124.18,124.18,124.18,0.0,0.0,124.66,124.66,124.66,0.0,0.0
2018-03-18,120.86,120.86,120.86,0.0,0.0,122.09,122.09,122.09,0.0,0.0,119.67,119.67,119.67,0.0,0.0,122.05,122.05,122.05,0.0,0.0
2018-03-25,120.99,120.99,120.99,0.0,0.0,120.99,120.99,120.99,0.0,0.0,117.45,117.45,117.45,0.0,0.0,117.81,117.81,117.81,0.0,0.0
2018-04-01,120.38,120.38,120.38,0.0,0.0,121.24,121.24,121.24,0.0,0.0,120.38,120.38,120.38,0.0,0.0,121.24,121.24,121.24,0.0,0.0
2018-04-08,122.67,122.67,122.67,0.0,0.0,123.21,123.21,123.21,0.0,0.0,122.67,122.67,122.67,0.0,0.0,123.01,123.01,123.01,0.0,0.0
2018-04-15,122.88,122.88,122.88,0.0,0.0,123.22,123.22,123.22,0.0,0.0,122.34,122.34,122.34,0.0,0.0,122.57,122.57,122.57,0.0,0.0
2018-04-22,122.74,122.74,122.74,0.0,0.0,123.22,123.22,123.22,0.0,0.0,121.74,121.74,121.74,0.0,0.0,121.75,121.75,121.75,0.0,0.0
