Date,Guggenheim Dow Jones Industrial Average DividendEtf_Open_average,Guggenheim Dow Jones Industrial Average DividendEtf_Open_max,Guggenheim Dow Jones Industrial Average DividendEtf_Open_min,Guggenheim Dow Jones Industrial Average DividendEtf_Open_volatility,Guggenheim Dow Jones Industrial Average DividendEtf_Open_change,Guggenheim Dow Jones Industrial Average DividendEtf_High_average,Guggenheim Dow Jones Industrial Average DividendEtf_High_max,Guggenheim Dow Jones Industrial Average DividendEtf_High_min,Guggenheim Dow Jones Industrial Average DividendEtf_High_volatility,Guggenheim Dow Jones Industrial Average DividendEtf_High_change,Guggenheim Dow Jones Industrial Average DividendEtf_Low_average,Guggenheim Dow Jones Industrial Average DividendEtf_Low_max,Guggenheim Dow Jones Industrial Average DividendEtf_Low_min,Guggenheim Dow Jones Industrial Average DividendEtf_Low_volatility,Guggenheim Dow Jones Industrial Average DividendEtf_Low_change,Guggenheim Dow Jones Industrial Average DividendEtf_Close_average,Guggenheim Dow Jones Industrial Average DividendEtf_Close_max,Guggenheim Dow Jones Industrial Average DividendEtf_Close_min,Guggenheim Dow Jones Industrial Average DividendEtf_Close_volatility,Guggenheim Dow Jones Industrial Average DividendEtf_Close_change
2018-01-14,35.55,35.55,35.55,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.35,35.35,35.35,0.0,0.0,35.51,35.51,35.51,0.0,0.0
2018-01-21,36.0,36.0,36.0,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.38,36.38,36.38,0.0,0.0
2018-01-28,35.3,35.3,35.3,0.0,0.0,35.31,35.31,35.31,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.78,34.78,34.78,0.0,0.0
2018-02-04,33.16,33.16,33.16,0.0,0.0,33.16,33.16,33.16,0.0,0.0,31.88,31.88,31.88,0.0,0.0,32.8,32.8,32.8,0.0,0.0
2018-02-11,34.04,34.04,34.04,0.0,0.0,34.53,34.53,34.53,0.0,0.0,34.04,34.04,34.04,0.0,0.0,34.38,34.38,34.38,0.0,0.0
2018-02-18,33.78,33.78,33.78,0.0,0.0,34.16,34.16,34.16,0.0,0.0,33.78,33.78,33.78,0.0,0.0,34.16,34.16,34.16,0.0,0.0
2018-02-25,33.06,33.06,33.06,0.0,0.0,33.42,33.42,33.42,0.0,0.0,33.06,33.06,33.06,0.0,0.0,33.42,33.42,33.42,0.0,0.0
2018-03-04,34.24,34.24,34.24,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.11,34.11,34.11,0.0,0.0,34.5,34.5,34.5,0.0,0.0
2018-03-11,34.05,34.05,34.05,0.0,0.0,34.11,34.11,34.11,0.0,0.0,34.05,34.05,34.05,0.0,0.0,34.08,34.08,34.08,0.0,0.0
2018-03-18,32.73,32.73,32.73,0.0,0.0,32.94,32.94,32.94,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.2,32.2,32.2,0.0,0.0
2018-03-25,32.76,32.76,32.76,0.0,0.0,33.01,33.01,33.01,0.0,0.0,32.76,32.76,32.76,0.0,0.0,32.98,32.98,32.98,0.0,0.0
2018-04-01,32.88,32.88,32.88,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.5,32.5,32.5,0.0,0.0
2018-04-08,33.38,33.38,33.38,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.38,33.38,33.38,0.0,0.0
2018-04-15,33.58,33.58,33.58,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.46,33.46,33.46,0.0,0.0,33.51,33.51,33.51,0.0,0.0
