Date,Gold_Open_average,Gold_Open_max,Gold_Open_volatility,Gold_Open_change,Gold_High_average,Gold_High_max,Gold_High_volatility,Gold_High_change,Gold_Low_average,Gold_Low_max,Gold_Low_volatility,Gold_Low_change,Gold_Close_average,Gold_Close_max,Gold_Close_volatility,Gold_Close_change,Gold_Volume_average,Gold_Volume_max,Gold_Volume_volatility,Gold_Volume_change
2016-01-03,1088.1666666666665,1111.1,47.69999999999982,42.299999999999955,1097.6833333333334,1111.1,29.59999999999991,25.40000000000009,1083.5333333333333,1096.5,33.299999999999955,33.299999999999955,1138.0166666666667,1152.5,27.200000000000045,13.299999999999955,90,143,100,-100
2016-01-10,1088.4333333333334,1093.8,12.299999999999955,-3.599999999999909,1093.9666666666667,1098.5,7.7000000000000455,-5.2000000000000455,1082.8333333333333,1088.6,14.899999999999864,3.400000000000091,1112.3666666666666,1127.6,39.09999999999991,-38.700000000000045,40,87,87,-87
2016-01-17,1098.1,1103.6,13.799999999999955,9.5,1104.06,1109.8,15.399999999999864,14.899999999999864,1095.22,1099.8,14.899999999999864,14.399999999999864,1135.32,1142.5,16.59999999999991,16.59999999999991,15,30,26,-9
2016-01-24,1117.88,1125.4,11.0,1.6000000000001364,1121.6,1130.0,14.099999999999909,14.099999999999909,1112.8,1115.8,7.0,1.0,1156.16,1163.6,11.599999999999909,6.199999999999818,12337,52861,52854,1501
2016-01-31,1145.68,1173.5,45.200000000000045,45.200000000000045,1161.98,1200.4,69.0,69.0,1140.0,1165.0,42.0,42.0,1188.96,1229.7,68.10000000000014,68.10000000000014,1087,1630,859,-299
2016-02-07,1216.9333333333334,1247.8,59.09999999999991,45.299999999999955,1229.4166666666667,1260.8,63.09999999999991,35.899999999999864,1206.85,1233.5,51.40000000000009,16.09999999999991,1238.4166666666665,1273.6,65.5,-20.300000000000182,436,995,995,-700
2016-02-14,1219.22,1233.1,36.59999999999991,-7.0,1228.92,1239.2,26.299999999999955,-7.5,1203.3,1221.8,28.200000000000045,9.400000000000091,1244.48,1258.9,26.300000000000182,5.600000000000136,229,422,369,-142
2016-02-21,1225.56,1239.4,32.0,11.199999999999818,1239.56,1250.1,24.0,14.900000000000091,1220.64,1235.0,27.59999999999991,11.199999999999818,1261.02,1268.6,18.299999999999955,11.899999999999864,339,656,655,229
2016-02-28,1246.9,1263.0,30.200000000000045,19.299999999999955,1262.22,1279.9,37.30000000000018,23.899999999999864,1240.72,1259.7,33.700000000000045,30.700000000000045,1287.66,1307.1,44.399999999999864,39.09999999999991,187,477,476,-410
2016-03-06,1259.84,1270.0,20.0,-12.700000000000045,1269.6,1280.7,22.700000000000045,-18.299999999999955,1245.44,1261.0,26.5,-26.5,1298.6,1311.6,25.699999999999818,-14.599999999999909,68,119,118,57
2016-03-13,1246.52,1261.5,33.200000000000045,27.90000000000009,1258.1,1270.1,34.09999999999991,20.200000000000045,1241.54,1255.9,27.90000000000009,15.400000000000091,1285.48,1305.6,33.899999999999864,12.5,234,1061,1060,1024
2016-03-20,1226.82,1247.7,36.200000000000045,-32.5,1232.06,1252.4,35.700000000000045,-30.200000000000045,1220.66,1243.8,33.799999999999955,-33.799999999999955,1259.72,1290.3,73.59999999999991,-28.09999999999991,18,33,33,13
2016-03-27,1227.76,1241.4,23.600000000000136,3.900000000000091,1231.98,1245.0,27.200000000000045,4.5,1217.96,1224.5,15.299999999999955,-2.7000000000000455,1267.04,1277.8,21.59999999999991,-21.59999999999991,11061,48248,48208,1998
2016-04-03,1230.6200000000001,1241.5,26.09999999999991,26.09999999999991,1242.3,1258.7,28.299999999999955,22.0,1226.22,1241.5,26.09999999999991,26.09999999999991,1274.56,1293.9,33.600000000000136,27.90000000000009,389,477,229,-40
2016-04-10,1242.46,1260.0,34.299999999999955,-21.299999999999955,1247.68,1261.7,26.700000000000045,-20.600000000000136,1235.48,1253.7,29.200000000000045,-21.5,1277.98,1297.9,34.30000000000018,-26.100000000000136,210,304,207,119
2016-04-17,1243.1,1256.1,24.5,0.0,1254.46,1270.6,29.699999999999818,-15.299999999999955,1235.8,1247.6,19.59999999999991,2.7999999999999545,1285.6,1293.8,23.5,-11.700000000000045,264,442,318,56
2016-04-24,1258.74,1292.1,52.299999999999955,52.299999999999955,1272.74,1304.4,60.200000000000045,60.200000000000045,1255.54,1290.4,57.40000000000009,57.40000000000009,1310.92,1338.6,54.69999999999982,54.69999999999982,335,887,852,95
2016-05-01,1285.52,1292.7,14.100000000000136,-6.2000000000000455,1291.92,1301.5,15.5,-15.0,1273.5,1284.5,22.200000000000045,-22.200000000000045,1320.08,1334.1,27.899999999999864,-27.899999999999864,247,341,232,190
2016-05-08,1279.66,1322.0,56.90000000000009,7.7000000000000455,1286.82,1322.0,54.59999999999991,20.399999999999864,1276.02,1320.0,61.299999999999955,14.099999999999909,1311.8799999999999,1315.9,11.300000000000182,10.5,48,101,95,21
2016-05-15,1261.02,1276.4,28.40000000000009,-20.90000000000009,1264.34,1281.6,30.0,-30.0,1255.6,1270.8,23.299999999999955,-23.299999999999955,1306.48,1318.2,20.0,-20.0,40,69,53,40
2016-05-22,1224.09,1240.0,31.75,-31.75,1225.65,1240.0,26.84999999999991,-26.84999999999991,1217.12,1230.6,28.799999999999955,-26.40000000000009,1257.3300000000002,1276.0,63.84999999999991,-63.84999999999991,12753,63739,63739,-20
2016-05-29,1218.82,1244.4,35.30000000000018,31.90000000000009,1229.24,1247.3,30.299999999999955,29.700000000000045,1212.08,1240.0,41.0,41.0,1272.38,1292.7,34.5,30.100000000000136,2706,6432,5297,-5297
2016-06-05,1259.58,1276.2,32.200000000000045,32.200000000000045,1269.1200000000001,1287.3,42.399999999999864,42.399999999999864,1256.04,1273.0,36.5,36.5,1313.94,1331.6,39.5,39.5,358,406,125,47
2016-06-12,1286.3799999999999,1296.3,16.0,7.100000000000136,1298.72,1316.4,26.700000000000045,1.5,1279.6599999999999,1281.1,3.2999999999999545,2.5,1334.58,1339.8,10.700000000000045,8.600000000000136,249,554,425,-401
2016-06-19,1281.6000000000001,1330.0,76.29999999999995,36.09999999999991,1304.18,1355.6,86.39999999999986,37.799999999999955,1272.02,1320.0,66.29999999999995,53.700000000000045,1337.5,1372.3,61.09999999999991,54.200000000000045,238,694,641,-42
2016-06-26,1335.5333333333333,1381.5,69.90000000000009,30.200000000000045,1342.6166666666668,1381.5,65.90000000000009,44.55000000000018,1333.925,1381.5,69.90000000000009,28.90000000000009,1365.7333333333333,1387.8,42.299999999999955,-13.700000000000045,165,560,560,-20
2016-07-03,1360.2,1371.7,29.5,29.5,1367.58,1374.9,18.100000000000136,15.0,1347.44,1359.0,24.0,13.299999999999955,1409.08,1416.3,10.700000000000045,-2.300000000000182,140,249,223,-64
2016-07-10,1339.54,1353.6,26.09999999999991,-26.09999999999991,1341.52,1356.0,22.299999999999955,-21.0,1327.76,1336.7,14.0,-4.099999999999909,1383.56,1393.3,15.5,-5.2999999999999545,77,252,245,-198
2016-07-17,1335.24,1386.0,73.20000000000005,-70.29999999999995,1340.46,1386.5,68.40000000000009,-68.40000000000009,1329.7,1386.0,73.20000000000005,-72.20000000000005,1378.8,1384.9,12.600000000000136,-11.0,335,751,748,545
2016-07-24,1332.54,1348.8,33.59999999999991,33.59999999999991,1339.54,1353.5,33.200000000000045,33.200000000000045,1328.54,1345.6,30.399999999999864,30.399999999999864,1393.26,1408.3,33.09999999999991,33.09999999999991,12861,56908,56904,1194
2016-07-31,1351.3,1362.4,32.40000000000009,-22.09999999999991,1357.7,1366.0,30.59999999999991,-30.59999999999991,1341.68,1353.3,25.5,-18.799999999999955,1410.98,1421.5,24.09999999999991,-24.09999999999991,1146,2941,2560,-2354
2016-08-07,1338.3,1344.8,13.0,4.7000000000000455,1347.28,1354.2,14.799999999999955,1.199999999999818,1334.96,1344.7,16.200000000000045,5.099999999999909,1403.6200000000001,1407.7,8.799999999999955,0.0,314,666,604,-558
2016-08-14,1344.7,1351.3,16.899999999999864,-7.7999999999999545,1348.9,1355.0,17.299999999999955,-17.299999999999955,1339.94,1348.2,14.900000000000091,-7.7000000000000455,1404.48,1411.2,13.900000000000091,-13.799999999999955,185,338,221,-221
