Date,SPDR S&P 600 Small Cap_Open_average,SPDR S&P 600 Small Cap_Open_max,SPDR S&P 600 Small Cap_Open_min,SPDR S&P 600 Small Cap_Open_volatility,SPDR S&P 600 Small Cap_Open_change,SPDR S&P 600 Small Cap_High_average,SPDR S&P 600 Small Cap_High_max,SPDR S&P 600 Small Cap_High_min,SPDR S&P 600 Small Cap_High_volatility,SPDR S&P 600 Small Cap_High_change,SPDR S&P 600 Small Cap_Low_average,SPDR S&P 600 Small Cap_Low_max,SPDR S&P 600 Small Cap_Low_min,SPDR S&P 600 Small Cap_Low_volatility,SPDR S&P 600 Small Cap_Low_change,SPDR S&P 600 Small Cap_Close_average,SPDR S&P 600 Small Cap_Close_max,SPDR S&P 600 Small Cap_Close_min,SPDR S&P 600 Small Cap_Close_volatility,SPDR S&P 600 Small Cap_Close_change
2018-01-14,68.3,68.3,68.3,0.0,0.0,69.3,69.3,69.3,0.0,0.0,68.3,68.3,68.3,0.0,0.0,69.28,69.28,69.28,0.0,0.0
2018-01-21,69.64,69.64,69.64,0.0,0.0,69.64,69.64,69.64,0.0,0.0,69.14,69.14,69.14,0.0,0.0,69.5,69.5,69.5,0.0,0.0
2018-01-28,68.16,68.16,68.16,0.0,0.0,68.16,68.16,68.16,0.0,0.0,67.03,67.03,67.03,0.0,0.0,67.03,67.03,67.03,0.0,0.0
2018-02-04,64.18,64.18,64.18,0.0,0.0,64.6,64.6,64.6,0.0,0.0,62.49,62.49,62.49,0.0,0.0,64.03,64.03,64.03,0.0,0.0
2018-02-11,66.5,66.5,66.5,0.0,0.0,67.37,67.37,67.37,0.0,0.0,66.5,66.5,66.5,0.0,0.0,67.06,67.06,67.06,0.0,0.0
2018-02-18,66.84,66.84,66.84,0.0,0.0,67.23,67.23,67.23,0.0,0.0,66.64,66.64,66.64,0.0,0.0,67.23,67.23,67.23,0.0,0.0
2018-02-25,64.73,64.73,64.73,0.0,0.0,66.34,66.34,66.34,0.0,0.0,64.66,64.66,64.66,0.0,0.0,66.34,66.34,66.34,0.0,0.0
2018-03-04,68.25,68.25,68.25,0.0,0.0,69.05,69.05,69.05,0.0,0.0,68.25,68.25,68.25,0.0,0.0,69.03,69.03,69.03,0.0,0.0
2018-03-11,68.43,68.43,68.43,0.0,0.0,69.11,69.11,69.11,0.0,0.0,68.43,68.43,68.43,0.0,0.0,68.83,68.83,68.83,0.0,0.0
2018-03-18,67.19,67.19,67.19,0.0,0.0,67.19,67.19,67.19,0.0,0.0,65.58,65.58,65.58,0.0,0.0,65.59,65.59,65.59,0.0,0.0
2018-03-25,66.59,66.59,66.59,0.0,0.0,67.15,67.15,67.15,0.0,0.0,66.34,66.34,66.34,0.0,0.0,66.5,66.5,66.5,0.0,0.0
2018-04-01,67.36,67.36,67.36,0.0,0.0,67.75,67.75,67.75,0.0,0.0,65.98,65.98,65.98,0.0,0.0,66.42,66.42,66.42,0.0,0.0
2018-04-08,68.16,68.16,68.16,0.0,0.0,68.23,68.23,68.23,0.0,0.0,67.63,67.63,67.63,0.0,0.0,67.65,67.65,67.65,0.0,0.0
2018-04-15,68.58,68.58,68.58,0.0,0.0,68.91,68.91,68.91,0.0,0.0,68.23,68.23,68.23,0.0,0.0,68.31,68.31,68.31,0.0,0.0
2018-04-22,68.13,68.13,68.13,0.0,0.0,68.28,68.28,68.28,0.0,0.0,67.69,67.69,67.69,0.0,0.0,68.08,68.08,68.08,0.0,0.0
