Date,Deutsche X-trackers MSCI Japan Hedged Equity_etf_Open_average,Deutsche X-trackers MSCI Japan Hedged Equity_etf_Open_max,Deutsche X-trackers MSCI Japan Hedged Equity_etf_Open_min,Deutsche X-trackers MSCI Japan Hedged Equity_etf_Open_volatility,Deutsche X-trackers MSCI Japan Hedged Equity_etf_Open_change,Deutsche X-trackers MSCI Japan Hedged Equity_etf_High_average,Deutsche X-trackers MSCI Japan Hedged Equity_etf_High_max,Deutsche X-trackers MSCI Japan Hedged Equity_etf_High_min,Deutsche X-trackers MSCI Japan Hedged Equity_etf_High_volatility,Deutsche X-trackers MSCI Japan Hedged Equity_etf_High_change,Deutsche X-trackers MSCI Japan Hedged Equity_etf_Low_average,Deutsche X-trackers MSCI Japan Hedged Equity_etf_Low_max,Deutsche X-trackers MSCI Japan Hedged Equity_etf_Low_min,Deutsche X-trackers MSCI Japan Hedged Equity_etf_Low_volatility,Deutsche X-trackers MSCI Japan Hedged Equity_etf_Low_change,Deutsche X-trackers MSCI Japan Hedged Equity_etf_Close_average,Deutsche X-trackers MSCI Japan Hedged Equity_etf_Close_max,Deutsche X-trackers MSCI Japan Hedged Equity_etf_Close_min,Deutsche X-trackers MSCI Japan Hedged Equity_etf_Close_volatility,Deutsche X-trackers MSCI Japan Hedged Equity_etf_Close_change
2018-01-14,46.27,46.27,46.27,0.0,0.0,46.29,46.29,46.29,0.0,0.0,46.03,46.03,46.03,0.0,0.0,46.22,46.22,46.22,0.0,0.0
2018-01-21,45.91,45.91,45.91,0.0,0.0,46.01,46.01,46.01,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.99,45.99,45.99,0.0,0.0
2018-01-28,45.4,45.4,45.4,0.0,0.0,45.45,45.45,45.45,0.0,0.0,44.85,44.85,44.85,0.0,0.0,44.85,44.85,44.85,0.0,0.0
2018-02-04,42.47,42.47,42.47,0.0,0.0,42.54,42.54,42.54,0.0,0.0,40.69,40.69,40.69,0.0,0.0,42.09,42.09,42.09,0.0,0.0
2018-02-11,42.56,42.56,42.56,0.0,0.0,42.84,42.84,42.84,0.0,0.0,42.54,42.54,42.54,0.0,0.0,42.78,42.78,42.78,0.0,0.0
2018-02-18,42.8,42.8,42.8,0.0,0.0,43.08,43.08,43.08,0.0,0.0,42.66,42.66,42.66,0.0,0.0,43.07,43.07,43.07,0.0,0.0
2018-02-25,40.76,40.76,40.76,0.0,0.0,41.47,41.47,41.47,0.0,0.0,40.49,40.49,40.49,0.0,0.0,41.47,41.47,41.47,0.0,0.0
2018-03-04,42.11,42.11,42.11,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.04,42.04,42.04,0.0,0.0,42.41,42.41,42.41,0.0,0.0
2018-03-11,42.04,42.04,42.04,0.0,0.0,42.28,42.28,42.28,0.0,0.0,42.03,42.03,42.03,0.0,0.0,42.16,42.16,42.16,0.0,0.0
2018-03-18,40.77,40.77,40.77,0.0,0.0,40.84,40.84,40.84,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.98,39.98,39.98,0.0,0.0
