Date,LAD_stock_Open_average,LAD_stock_Open_max,LAD_stock_Open_min,LAD_stock_Open_volatility,LAD_stock_Open_change,LAD_stock_High_average,LAD_stock_High_max,LAD_stock_High_min,LAD_stock_High_volatility,LAD_stock_High_change,LAD_stock_Low_average,LAD_stock_Low_max,LAD_stock_Low_min,LAD_stock_Low_volatility,LAD_stock_Low_change,LAD_stock_Close_average,LAD_stock_Close_max,LAD_stock_Close_min,LAD_stock_Close_volatility,LAD_stock_Close_change,LAD_stock_Volume_average,LAD_stock_Volume_max,LAD_stock_Volume_min,LAD_stock_Volume_volatility,LAD_stock_Volume_change
2018-01-14,122.005,125.05,120.54,4.509999999999991,-4.230000000000004,123.4875,125.87,122.22,3.6500000000000057,-2.530000000000001,119.935,120.18,119.77,0.4100000000000108,0.18000000000000682,121.39750000000001,123.14,120.03,3.1099999999999994,1.7600000000000051,175494,218968,140377,78591,-54293
2018-01-21,124.928,125.94,122.99,2.950000000000003,2.5500000000000114,125.88,126.85,125.33,1.519999999999996,1.519999999999996,123.46600000000001,124.4,122.62,1.7800000000000011,1.7800000000000011,125.446,126.57,124.79,1.779999999999987,1.2399999999999949,137430,167809,115971,51838,42850
2018-01-28,125.228,126.59,123.36,3.230000000000004,-3.0,126.206,127.99,124.41,3.5799999999999983,-3.5799999999999983,123.148,125.92,119.92,6.0,-6.0,124.2,126.14,120.28,5.859999999999999,-5.859999999999999,166030,202245,128681,73564,10141
2018-02-04,116.526,119.36,113.0,6.359999999999999,-3.5600000000000023,118.612,120.29,117.72,2.5700000000000074,-2.5700000000000074,113.706,115.22,111.95,3.269999999999996,-2.3499999999999943,116.03,117.29,114.78,2.510000000000005,1.6599999999999966,238746,292522,205651,86871,-64799
2018-02-11,115.196,117.8,110.62,7.179999999999993,-6.589999999999989,116.776,119.27,113.74,5.530000000000001,-5.450000000000003,111.71,115.27,108.71,6.560000000000002,-4.759999999999991,113.964,118.05,111.11,6.939999999999998,-6.790000000000006,515748,1179033,176063,1002970,211802
2018-02-18,110.61,111.3,109.89,1.4099999999999966,0.25,112.06,112.34,111.67,0.6700000000000017,-0.6700000000000017,109.3275,109.95,108.74,1.210000000000008,0.46000000000000796,110.385,111.12,109.48,1.6400000000000006,1.6400000000000006,253483,342888,178122,164766,-139934
2018-02-25,107.322,111.52,102.57,8.950000000000003,-8.950000000000003,108.236,112.21,103.66,8.549999999999997,-7.930000000000007,104.594,109.27,100.2,9.069999999999993,-9.069999999999993,105.77,110.68,103.21,7.470000000000013,-7.470000000000013,387087,534032,241049,292983,121000
2018-03-04,104.598,105.68,102.72,2.960000000000008,2.5400000000000063,106.206,107.58,104.71,2.8700000000000045,2.8700000000000045,103.322,104.0,101.94,2.0600000000000023,2.0600000000000023,105.366,106.98,104.07,2.910000000000011,2.9000000000000057,232164,259686,200027,59659,-43530
2018-03-11,107.164,108.49,105.32,3.1700000000000017,-1.6800000000000068,108.254,109.06,107.3,1.7600000000000051,-1.7600000000000051,105.66,106.52,104.71,1.8100000000000023,-1.740000000000009,106.398,107.17,105.27,1.9000000000000057,-0.980000000000004,222115,335669,174511,161158,100126
2018-03-18,102.066,106.19,99.73,6.459999999999994,-5.299999999999997,103.62,106.61,102.11,4.5,-4.5,100.988,103.43,99.35,4.0800000000000125,-3.440000000000012,101.956,104.84,100.29,4.549999999999997,-4.549999999999997,247971,354156,188995,165161,-28005
2018-03-25,100.5325,101.67,99.15,2.519999999999996,-1.6099999999999994,101.3725,101.81,100.14,1.6700000000000017,0.01999999999999602,98.95750000000001,99.84,97.84,2.0,-0.25,100.0,101.46,98.9,2.559999999999988,-0.9399999999999977,362996,516466,288371,228095,6917
2018-04-01,99.34,102.29,96.08,6.210000000000008,1.980000000000004,101.43599999999999,103.6,99.0,4.599999999999994,2.799999999999997,97.536,99.82,95.5,4.319999999999993,4.159999999999997,99.61,102.91,96.6,6.310000000000002,4.390000000000001,377830,475089,255206,219883,-156083
2018-04-08,101.984,103.28,101.08,2.200000000000003,1.6299999999999955,102.952,103.61,101.96,1.6500000000000057,1.3200000000000074,100.526,101.56,99.88,1.6800000000000068,0.9699999999999989,101.918,102.76,100.75,2.010000000000005,1.6599999999999966,258866,373129,166959,206170,-43003
2018-04-15,102.902,103.56,101.46,2.1000000000000085,-1.5900000000000034,103.362,104.35,101.46,2.8900000000000006,-2.8800000000000097,101.36,102.83,98.67,4.159999999999997,-4.049999999999997,102.036,103.45,99.39,4.060000000000002,-4.060000000000002,270654,312512,208247,104265,24096
2018-04-22,98.946,101.08,97.29,3.789999999999992,-2.219999999999999,100.134,101.27,98.06,3.2099999999999937,-3.2099999999999937,96.996,98.88,95.21,3.6700000000000017,-3.0799999999999983,98.168,100.35,96.59,3.759999999999991,-3.759999999999991,520282,817421,380516,436905,71319
2018-04-29,96.212,97.89,94.95,2.9399999999999977,-1.5600000000000023,97.574,98.74,96.72,2.019999999999996,-0.11999999999999034,95.062,95.67,94.65,1.019999999999996,-0.8499999999999943,96.292,98.22,95.05,3.1700000000000017,-0.12000000000000455,366969,592725,261997,330728,-72664
2018-05-06,96.264,96.56,95.79,0.769999999999996,0.519999999999996,96.82600000000001,97.9,96.39,1.5100000000000051,0.1599999999999966,95.188,95.94,94.5,1.4399999999999977,0.5999999999999943,96.16,96.23,96.03,0.20000000000000284,-0.010000000000005116,182931,191420,161308,30112,-5142
