Date,CLUB_Open_average,CLUB_Open_max,CLUB_Open_min,CLUB_Open_volatility,CLUB_Open_change,CLUB_High_average,CLUB_High_max,CLUB_High_min,CLUB_High_volatility,CLUB_High_change,CLUB_Low_average,CLUB_Low_max,CLUB_Low_min,CLUB_Low_volatility,CLUB_Low_change,CLUB_Close_average,CLUB_Close_max,CLUB_Close_min,CLUB_Close_volatility,CLUB_Close_change,CLUB_Volume_average,CLUB_Volume_max,CLUB_Volume_min,CLUB_Volume_volatility,CLUB_Volume_change
2018-01-14,5.975,6.05,5.9,0.14999999999999947,-0.04999999999999982,6.1125,6.2,6.05,0.15000000000000036,0.10000000000000053,5.8625,5.9,5.85,0.05000000000000071,-0.05000000000000071,6.0,6.05,5.95,0.09999999999999964,0.04999999999999982,65622,117863,46175,71688,70428
2018-01-21,5.9902,6.1,5.9,0.1999999999999993,0.09899999999999931,6.08,6.15,6.0,0.15000000000000036,0.05000000000000071,5.92,6.0,5.85,0.15000000000000036,0.09999999999999964,6.05,6.15,6.0,0.15000000000000036,0.15000000000000036,48560,80067,36697,43370,-7070
2018-01-28,6.04,6.15,5.85,0.3000000000000007,-0.15000000000000036,6.14,6.2,6.1,0.10000000000000053,-0.10000000000000053,5.9374,6.05,5.837000000000001,0.2129999999999992,-0.04999999999999982,6.05,6.15,5.9,0.25,-0.10000000000000053,39689,55314,21849,33465,-805
2018-02-04,5.69,5.9,5.5,0.40000000000000036,-0.20000000000000018,5.84,6.05,5.75,0.2999999999999998,-0.2999999999999998,5.54,5.65,5.5,0.15000000000000036,-0.15000000000000036,5.65,5.75,5.55,0.20000000000000018,-0.10000000000000053,48537,64870,30012,34858,-28402
2018-02-11,5.74,5.95,5.6,0.35000000000000053,0.3000000000000007,5.97,6.5,5.7,0.7999999999999998,0.7999999999999998,5.68,5.9,5.5,0.40000000000000036,0.40000000000000036,5.895,6.3,5.6,0.7000000000000002,0.7000000000000002,47847,105239,17449,87790,72991
2018-02-18,6.15,6.3,6.0,0.2999999999999998,-0.20000000000000018,6.265499999999999,6.399,6.1,0.2990000000000004,-0.2990000000000004,5.9375,5.95,5.9,0.04999999999999982,0.0,6.05625,6.125,6.0,0.125,0.0,25759,34236,17979,16257,-4217
2018-02-25,6.25,6.65,5.95,0.7000000000000002,0.6000000000000005,6.48,6.9,6.15,0.75,0.5999999999999996,6.1,6.5,5.8,0.7000000000000002,0.5499999999999998,6.27,6.75,5.8,0.9500000000000002,0.7999999999999998,150319,403667,51301,352366,106918
2018-03-04,6.86,7.05,6.75,0.2999999999999998,0.2999999999999998,7.03,7.4,6.85,0.5500000000000007,0.5500000000000007,6.755,6.95,6.55,0.40000000000000036,0.40000000000000036,6.9399999999999995,7.15,6.8,0.35000000000000053,0.35000000000000053,153422,195294,54181,141113,-3093
2018-03-11,7.3500000000000005,7.5,7.15,0.34999999999999964,0.10000000000000053,7.557,7.735,7.45,0.28500000000000014,-0.23500000000000032,7.19,7.25,7.0,0.25,0.0,7.4,7.5,7.25,0.25,0.04999999999999982,129016,197390,73161,124229,-123060
2018-03-18,7.43,7.5,7.25,0.25,-0.25,7.5,7.6,7.35,0.25,-0.25,7.275,7.45,7.1,0.35000000000000053,-0.3000000000000007,7.37,7.5,7.2,0.2999999999999998,-0.2999999999999998,79874,111161,56700,54461,-42005
