Date,Aptus Behavioral Momentum_etf_Open_average,Aptus Behavioral Momentum_etf_Open_max,Aptus Behavioral Momentum_etf_Open_min,Aptus Behavioral Momentum_etf_Open_volatility,Aptus Behavioral Momentum_etf_Open_change,Aptus Behavioral Momentum_etf_High_average,Aptus Behavioral Momentum_etf_High_max,Aptus Behavioral Momentum_etf_High_min,Aptus Behavioral Momentum_etf_High_volatility,Aptus Behavioral Momentum_etf_High_change,Aptus Behavioral Momentum_etf_Low_average,Aptus Behavioral Momentum_etf_Low_max,Aptus Behavioral Momentum_etf_Low_min,Aptus Behavioral Momentum_etf_Low_volatility,Aptus Behavioral Momentum_etf_Low_change,Aptus Behavioral Momentum_etf_Close_average,Aptus Behavioral Momentum_etf_Close_max,Aptus Behavioral Momentum_etf_Close_min,Aptus Behavioral Momentum_etf_Close_volatility,Aptus Behavioral Momentum_etf_Close_change
2018-01-14,32.45,32.45,32.45,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2018-01-21,33.14,33.14,33.14,0.0,0.0,33.42,33.42,33.42,0.0,0.0,33.14,33.14,33.14,0.0,0.0,33.42,33.42,33.42,0.0,0.0
2018-01-28,32.63,32.63,32.63,0.0,0.0,32.63,32.63,32.63,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2018-02-04,29.46,29.46,29.46,0.0,0.0,30.47,30.47,30.47,0.0,0.0,29.34,29.34,29.34,0.0,0.0,30.47,30.47,30.47,0.0,0.0
2018-02-11,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0
2018-02-18,32.18,32.18,32.18,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.02,32.02,32.02,0.0,0.0,32.15,32.15,32.15,0.0,0.0
2018-02-25,31.25,31.25,31.25,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.25,31.25,31.25,0.0,0.0,32.05,32.05,32.05,0.0,0.0
2018-03-04,33.04,33.04,33.04,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.04,33.04,33.04,0.0,0.0,33.34,33.34,33.34,0.0,0.0
2018-03-11,32.89,32.89,32.89,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2018-03-18,32.09,32.09,32.09,0.0,0.0,32.09,32.09,32.09,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2018-03-25,31.47,31.47,31.47,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.74,31.74,31.74,0.0,0.0
2018-04-01,31.95,31.95,31.95,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.1,31.1,31.1,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2018-04-08,31.92,31.92,31.92,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.95,31.95,31.95,0.0,0.0
2018-04-15,32.86,32.86,32.86,0.0,0.0,33.02,33.02,33.02,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.74,32.74,32.74,0.0,0.0
2018-04-22,33.15,33.15,33.15,0.0,0.0,33.15,33.15,33.15,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.59,32.59,32.59,0.0,0.0
2018-04-29,32.2,32.2,32.2,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.69,32.69,32.69,0.0,0.0
2018-05-06,33.64,33.64,33.64,0.0,0.0,33.8,33.8,33.8,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.65,33.65,33.65,0.0,0.0
2018-05-13,33.67,33.67,33.67,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.78,33.78,33.78,0.0,0.0
2018-05-20,34.45,34.45,34.45,0.0,0.0,34.45,34.45,34.45,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.08,34.08,34.08,0.0,0.0
2018-05-27,34.6,34.6,34.6,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.6,34.6,34.6,0.0,0.0
