Date,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_Open_average,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_Open_max,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_Open_min,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_Open_volatility,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_Open_change,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_High_average,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_High_max,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_High_min,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_High_volatility,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_High_change,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_Low_average,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_Low_max,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_Low_min,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_Low_volatility,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_Low_change,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_Close_average,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_Close_max,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_Close_min,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_Close_volatility,Guggenheim Invest S&P SmallCap 600 Pure ValueEtf_Close_change
2018-01-14,74.77,74.77,74.77,0.0,0.0,76.1,76.1,76.1,0.0,0.0,74.77,74.77,74.77,0.0,0.0,75.99,75.99,75.99,0.0,0.0
2018-01-21,75.67,75.67,75.67,0.0,0.0,75.68,75.68,75.68,0.0,0.0,75.18,75.18,75.18,0.0,0.0,75.55,75.55,75.55,0.0,0.0
2018-01-28,72.62,72.62,72.62,0.0,0.0,72.62,72.62,72.62,0.0,0.0,70.83,70.83,70.83,0.0,0.0,70.84,70.84,70.84,0.0,0.0
2018-02-04,68.81,68.81,68.81,0.0,0.0,68.91,68.91,68.91,0.0,0.0,66.96,66.96,66.96,0.0,0.0,68.89,68.89,68.89,0.0,0.0
2018-02-11,71.2,71.2,71.2,0.0,0.0,72.34,72.34,72.34,0.0,0.0,71.2,71.2,71.2,0.0,0.0,71.62,71.62,71.62,0.0,0.0
2018-02-18,71.01,71.01,71.01,0.0,0.0,71.48,71.48,71.48,0.0,0.0,70.76,70.76,70.76,0.0,0.0,71.48,71.48,71.48,0.0,0.0
2018-02-25,68.89,68.89,68.89,0.0,0.0,70.19,70.19,70.19,0.0,0.0,68.73,68.73,68.73,0.0,0.0,70.19,70.19,70.19,0.0,0.0
2018-03-04,72.02,72.02,72.02,0.0,0.0,72.24,72.24,72.24,0.0,0.0,71.75,71.75,71.75,0.0,0.0,72.18,72.18,72.18,0.0,0.0
2018-03-11,71.24,71.24,71.24,0.0,0.0,72.43,72.43,72.43,0.0,0.0,71.24,71.24,71.24,0.0,0.0,72.3,72.3,72.3,0.0,0.0
2018-03-18,70.23,70.23,70.23,0.0,0.0,70.24,70.24,70.24,0.0,0.0,69.34,69.34,69.34,0.0,0.0,69.34,69.34,69.34,0.0,0.0
2018-03-25,70.13,70.13,70.13,0.0,0.0,70.48,70.48,70.48,0.0,0.0,70.06,70.06,70.06,0.0,0.0,70.26,70.26,70.26,0.0,0.0
2018-04-01,72.08,72.08,72.08,0.0,0.0,72.08,72.08,72.08,0.0,0.0,70.35,70.35,70.35,0.0,0.0,70.78,70.78,70.78,0.0,0.0
2018-04-08,72.84,72.84,72.84,0.0,0.0,73.05,73.05,73.05,0.0,0.0,72.27,72.27,72.27,0.0,0.0,72.29,72.29,72.29,0.0,0.0
2018-04-15,72.92,72.92,72.92,0.0,0.0,72.92,72.92,72.92,0.0,0.0,72.34,72.34,72.34,0.0,0.0,72.42,72.42,72.42,0.0,0.0
2018-04-22,72.5,72.5,72.5,0.0,0.0,72.64,72.64,72.64,0.0,0.0,72.13,72.13,72.13,0.0,0.0,72.13,72.13,72.13,0.0,0.0
2018-04-29,71.08,71.08,71.08,0.0,0.0,72.62,72.62,72.62,0.0,0.0,71.08,71.08,71.08,0.0,0.0,72.31,72.31,72.31,0.0,0.0
2018-05-06,73.94,73.94,73.94,0.0,0.0,74.09,74.09,74.09,0.0,0.0,73.71,73.71,73.71,0.0,0.0,73.92,73.92,73.92,0.0,0.0
2018-05-13,75.73,75.73,75.73,0.0,0.0,75.73,75.73,75.73,0.0,0.0,75.47,75.47,75.47,0.0,0.0,75.7,75.7,75.7,0.0,0.0
2018-05-20,76.09,76.09,76.09,0.0,0.0,76.09,76.09,76.09,0.0,0.0,75.87,75.87,75.87,0.0,0.0,76.06,76.06,76.06,0.0,0.0
