Date,SPDR Solactive Japan_Open_average,SPDR Solactive Japan_Open_max,SPDR Solactive Japan_Open_volatility,SPDR Solactive Japan_Open_change,SPDR Solactive Japan_High_average,SPDR Solactive Japan_High_max,SPDR Solactive Japan_High_volatility,SPDR Solactive Japan_High_change,SPDR Solactive Japan_Low_average,SPDR Solactive Japan_Low_max,SPDR Solactive Japan_Low_volatility,SPDR Solactive Japan_Low_change,SPDR Solactive Japan_Close_average,SPDR Solactive Japan_Close_max,SPDR Solactive Japan_Close_volatility,SPDR Solactive Japan_Close_change
2016-01-03,61.05,61.05,0.0,0.0,61.06,61.06,0.0,0.0,61.03,61.03,0.0,0.0,61.06,61.06,0.0,0.0
2016-01-10,59.4,59.4,0.0,0.0,59.81,59.81,0.0,0.0,59.4,59.4,0.0,0.0,59.8,59.8,0.0,0.0
2016-01-17,59.75,59.75,0.0,0.0,60.29,60.29,0.0,0.0,59.71,59.71,0.0,0.0,60.29,60.29,0.0,0.0
2016-01-24,61.44,61.44,0.0,0.0,61.53,61.53,0.0,0.0,61.35,61.35,0.0,0.0,61.53,61.53,0.0,0.0
2016-01-31,60.63,60.63,0.0,0.0,60.63,60.63,0.0,0.0,60.63,60.63,0.0,0.0,60.63,60.63,0.0,0.0
2016-02-07,56.51,56.51,0.0,0.0,56.93,56.93,0.0,0.0,56.3,56.3,0.0,0.0,56.93,56.93,0.0,0.0
2016-02-14,60.19,60.19,0.0,0.0,60.19,60.19,0.0,0.0,59.78,59.78,0.0,0.0,59.78,59.78,0.0,0.0
2016-02-21,60.0,60.0,0.0,0.0,60.0,60.0,0.0,0.0,60.0,60.0,0.0,0.0,60.0,60.0,0.0,0.0
2016-02-28,62.63,62.63,0.0,0.0,63.04,63.04,0.0,0.0,62.61,62.61,0.0,0.0,63.04,63.04,0.0,0.0
2016-03-06,62.68,62.68,0.0,0.0,63.03,63.03,0.0,0.0,62.68,62.68,0.0,0.0,63.03,63.03,0.0,0.0
2016-03-13,62.85,62.85,0.0,0.0,63.0,63.0,0.0,0.0,62.85,62.85,0.0,0.0,63.0,63.0,0.0,0.0
2016-03-20,63.46,63.46,0.0,0.0,63.46,63.46,0.0,0.0,63.46,63.46,0.0,0.0,63.46,63.46,0.0,0.0
2016-03-27,61.5,61.5,0.0,0.0,61.59,61.59,0.0,0.0,61.28,61.28,0.0,0.0,61.28,61.28,0.0,0.0
2016-04-03,62.44,62.44,0.0,0.0,62.55,62.55,0.0,0.0,62.44,62.44,0.0,0.0,62.55,62.55,0.0,0.0
2016-04-10,64.23,64.23,0.0,0.0,64.89,64.89,0.0,0.0,64.23,64.23,0.0,0.0,64.89,64.89,0.0,0.0
2016-04-17,65.49,65.49,0.0,0.0,65.59,65.59,0.0,0.0,65.49,65.49,0.0,0.0,65.59,65.59,0.0,0.0
2016-04-24,63.68,63.68,0.0,0.0,63.87,63.87,0.0,0.0,63.62,63.62,0.0,0.0,63.87,63.87,0.0,0.0
2016-05-01,63.47,63.47,0.0,0.0,63.47,63.47,0.0,0.0,63.18,63.18,0.0,0.0,63.18,63.18,0.0,0.0
2016-05-08,64.11,64.11,0.0,0.0,64.11,64.11,0.0,0.0,64.11,64.11,0.0,0.0,64.11,64.11,0.0,0.0
2016-05-15,63.17,63.17,0.0,0.0,63.17,63.17,0.0,0.0,63.17,63.17,0.0,0.0,63.17,63.17,0.0,0.0
2016-05-22,63.71,63.71,0.0,0.0,63.78,63.78,0.0,0.0,63.71,63.71,0.0,0.0,63.78,63.78,0.0,0.0
2016-05-29,64.74,64.74,0.0,0.0,64.85,64.85,0.0,0.0,64.58,64.58,0.0,0.0,64.58,64.58,0.0,0.0
2016-06-05,63.1,63.1,0.0,0.0,63.1,63.1,0.0,0.0,63.1,63.1,0.0,0.0,63.1,63.1,0.0,0.0
2016-06-12,63.85,63.85,0.0,0.0,63.85,63.85,0.0,0.0,63.85,63.85,0.0,0.0,63.85,63.85,0.0,0.0
2016-06-19,62.23,62.23,0.0,0.0,62.23,62.23,0.0,0.0,61.88,61.88,0.0,0.0,62.15,62.15,0.0,0.0
2016-06-26,64.33,64.33,0.0,0.0,64.49,64.49,0.0,0.0,64.33,64.33,0.0,0.0,64.49,64.49,0.0,0.0
2016-07-03,63.89,63.89,0.0,0.0,63.89,63.89,0.0,0.0,63.89,63.89,0.0,0.0,63.89,63.89,0.0,0.0
2016-07-10,64.96,64.96,0.0,0.0,65.03,65.03,0.0,0.0,64.94,64.94,0.0,0.0,65.03,65.03,0.0,0.0
